Uke,År,Lokalitetsnummer,Lokalitetsnavn,Sykdom,Status,Fra dato,Til dato,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,UtbruddsId,Subtype,Mistanke-dato,Påvist-dato,Tømt-dato,Avsluttet-dato
14,2026,12988,Aukrasanden,ILA,Mistanke,2025-08-04,,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,751fcedd-666c-4a26-9564-b36f67127a51,,2025-08-04,,2025-09-06,
14,2026,12625,Bjørgan,ILA,Påvist,2025-11-24,,5049,FLATANGER,50,Trøndelag,64.59268,10.908333,7,Nord-Trøndelag med Bindal,ac74aa03-a3ee-4a2e-8e9a-6e4d3602751a,,2025-11-24,2025-12-10,2025-12-26,
14,2026,45072,Bleket,PD,Påvist,2025-12-03,,4602,KINN,46,Vestland,61.911667,5.092217,4,Nordhordaland til Stadt,a1de9bfa-48ce-4a28-9c88-e8c010874d01,SAV3,2025-12-03,2025-12-18,,
14,2026,13841,Brunsvik,PD,Påvist,2026-02-13,,4602,KINN,46,Vestland,61.910183,5.29085,4,Nordhordaland til Stadt,baf84c77-5287-40f4-b7e1-73d347760178,SAV3,2026-02-13,2026-02-24,,
14,2026,11543,Buholmen,PD,Påvist,2025-01-22,,4625,AUSTEVOLL,46,Vestland,60.020466,5.080083,3,Karmøy til Sotra,3f4af387-0e08-4129-b4b5-01f4b31748f4,SAV3,2025-01-22,2025-03-26,,
14,2026,10757,Dåvøya,ILA,Påvist,2025-10-10,,5534,KARLSØY,55,Troms,70.0722,19.341066,11,Kvaløya til Loppa,a4b09de8-9d00-4976-abbc-19e5fd294399,,2025-10-10,2025-10-22,2025-12-04,
14,2026,13711,Dyvika,PD,Påvist,2025-03-05,,4645,ASKVOLL,46,Vestland,61.479282,5.375283,4,Nordhordaland til Stadt,0fa28ddb-cc32-42c4-9250-342795f6ed59,SAV3,2025-03-05,2025-03-25,2025-12-14,
14,2026,33077,Elveneset,PD,Påvist,2025-08-27,,4637,HYLLESTAD,46,Vestland,61.205833,5.131717,4,Nordhordaland til Stadt,0efdb5cf-fa39-45ae-b5d6-03d9ec216e15,SAV3,2025-08-27,2025-09-08,,
14,2026,13241,Endal Vest,PD,Mistanke,2026-01-12,,4648,BREMANGER,46,Vestland,61.909832,5.464267,4,Nordhordaland til Stadt,6868a1f4-b700-4708-846c-56649e28f8e3,SAV3,2026-01-12,,2026-01-21,
14,2026,25835,Flatøyflu,PD,Påvist,2025-02-03,,4625,AUSTEVOLL,46,Vestland,60.156033,5.2315,3,Karmøy til Sotra,9f7ad7b4-2406-4db8-93f8-a2130c1ca130,SAV3,2025-02-03,2025-03-27,,
14,2026,31357,Geitryggen,ILA,Påvist,2026-02-20,,5060,NÆRØYSUND,50,Trøndelag,64.75127,11.189217,7,Nord-Trøndelag med Bindal,358d11b9-3a84-4c31-898b-fd16514c4dbd,,2026-02-20,2026-03-04,,
