Horizon,Feature,Importance
0w,FWD 1m,0.016055749247365764
0w,Acc 1w,0.009397404258925168
0w,∆ FWD 1m,0.0031806928471552038
0w,FWD Slope,0.0025271447011480067
0w,∆ Salmon (NOK/KG) 1w,0.002059527351334737
0w,∆ Total Biomass Monthly,0.00204471483986837
0w,∆ Spread (FP - SSB),0.0010630805930868042
0w,∆ Export Volume 1m,0.0009177530152477813
0w,FWD Curvature,0.000896182869455429
0w,∆ Chilean Exports 1m,0.0008503442917807826
0w,∆ FWD 3m,0.0007850216618937569
0w,∆ Broiler Price (EU) 1m,0.0007825534823173336
0w,RVol 52w,0.0007177480049857424
0w,FWD 3m,0.0006849992553608479
0w,∆ EURNOK 1w,0.0006229894957777626
0w,Lice Outbreak 3m,0.0006218175107638262
0w,Sea Temp,0.0005768773079264192
0w,∆ Chilean Exports 3m,0.0005754685742625131
0w,Harvest Intensity 1m Monthly,0.0005750920089375118
0w,∆ Salmon (NOK/KG) 3m,0.0005699018020489305
0w,∆ Broiler Price (EU) 2w,0.0005295064794962713
0w,∆ Pig Price (EU) 1m,0.0005096856972875294
0w,∆ EURNOK 1m,0.0005032020207395257
0w,FWD 12m,0.0004903837867014398
0w,∆ Broiler Price (EU) 1w,0.000488511999754536
0w,Smolt Release 10m Monthly,0.0004786037633001105
0w,Lice Outbreak,0.00046717536289842687
0w,∆ Pig Price (EU),0.00045588087359887106
0w,Loss Rate 1m Monthly,0.0004305189461823498
0w,ISA Outbreak,0.00043001212156558774
0w,∆ EURNOK 2w,0.00039945031688982876
0w,ISA Outbreak 3m,0.0003947129682653764
0w,∆ Export Volume 2w,0.0003889419173309788
0w,∆YOY Total Biomass Monthly,0.0003861527014274453
0w,Smolt Release 17m Monthly,0.0003823221896803791
0w,∆ Salmon (NOK/KG) 2w,0.0003727261773909706
0w,Soybean FWD Slope,0.0003642444865507266
0w,Soybean FWD Curvature,0.0003635783698471441
0w,NIBOR 3m,0.000352387814537918
0w,∆ FWD 12m,0.0003515837040888655
0w,Smolt Release 5m Monthly,0.0003500721965983695
0w,∆ FWD 6m,0.00034898553634354706
0w,∆ Chilean Exports 2w,0.00034809797561566514
0w,∆ Shrimp Price (Global) 6m Monthly,0.0003467193641606977
0w,Smolt Release 7m Monthly,0.0003451837546444754
0w,Smolt Release 18m Monthly,0.00033606619337211454
0w,∆ Shrimp Price (Global) 12m Monthly,0.0003313832329017096
0w,Smolt Release 16m Monthly,0.00031377065884717067
0w,∆ Fishmeal 12m Monthly,0.00030835370759462345
0w,Avg Weight (KG) Monthly,0.0003073089860847227
0w,∆ Pig Price (EU) 12m,0.0003013867638585252
