Horizon,Feature,Importance
3m,FWD 3m,0.03807979130905069
3m,Smolt Release 15m Monthly,0.0178616857850142
3m,FWD 1m,0.013292751265364592
3m,FWD 6m,0.012552505196694217
3m,FWD 12m,0.01135910682005031
3m,Smolt Release 8m Monthly,0.010015938914051935
3m,ISA Outbreak 3m,0.009764183235125491
3m,Smolt Release 4m Monthly,0.009761142927602239
3m,Soybean FWD Curvature,0.006651026555062677
3m,Smolt Release 3m Monthly,0.00659643733378904
3m,Spread (FP - SSB),0.006257044079901
3m,Avg Weight (KG) Monthly,0.005766621939132534
3m,∆YOY Total Biomass Monthly,0.004812095038990443
3m,Smolt Release 16m Monthly,0.0046425306775173016
3m,Lice Outbreak 1m,0.004448940976217474
3m,ISA Outbreak 1m,0.004383636309061325
3m,Smolt Release 14m Monthly,0.004326184346093444
3m,∆ Salmon (NOK/KG) 6m,0.0039274956047037
3m,RVol 52w,0.0037545377736325656
3m,Harvest Intensity 3m Monthly,0.0036782605226990304
3m,FWD Slope,0.0036095045666585286
3m,∆ Salmon (NOK/KG) 12m,0.0034658607529225068
3m,Soybean FWD Slope,0.0034217702551639874
3m,Smolt Release 2m Monthly,0.003419632062940838
3m,Meat CPI (EU) Monthly,0.003283348030031794
3m,Lice Outbreak 3m,0.0032692320784955247
3m,∆ Pig Price (EU) 1w,0.002867778340854192
3m,Lice Outbreak,0.0028125505751076187
3m,Smolt Release 7m Monthly,0.002806129282893181
3m,∆ Shrimp Price (Global) 6m Monthly,0.0027521612886376307
3m,∆ Total Biomass Monthly,0.002731649010942801
3m,Loss Rate 6m Monthly,0.002709098909146909
3m,∆ Shrimp Price (Global) 3m Monthly,0.002517645532084682
3m,Harvest Intensity 1m Monthly,0.002336062811379497
3m,∆ Fishmeal 6m Monthly,0.0022785815486124263
3m,∆ Pig Price (EU) 6m,0.002267072856779243
3m,RVol 13w,0.0022237963660198495
3m,∆ Fishmeal 12m Monthly,0.002057837209598578
3m,Sea Temp 12m Avg,0.0019916495504444785
3m,∆ Fishmeal 1m Monthly,0.0019492497903076682
3m,∆ Shrimp Price (Global) 12m Monthly,0.0018961125839089198
3m,Smolt Release 9m Monthly,0.0018613843244142613
3m,∆ EURNOK 12m,0.0018253989441396766
3m,Smolt Release 18m Monthly,0.001779792446614211
3m,Smolt Release 17m Monthly,0.0017236155933299702
3m,Smolt Release 11m Monthly,0.0016291571303910359
3m,∆ Salmon (NOK/KG) 3m,0.0016227023387416699
3m,Loss Rate 3m Monthly,0.0015935656018235163
3m,Smolt Release 5m Monthly,0.0015753174166164817
3m,∆ Broiler Price (EU) 3m,0.0014926429821912278
3m,Loss Rate 1m Monthly,0.0014406045076295142
3m,YOY Avg Weight (KG) Monthly,0.0014036204286880672
3m,Sea Temp,0.0013552121262182554
3m,ISA Outbreak,0.0012960153087499496
3m,∆ EURNOK 6m,0.00109960922643123
3m,Brent FWD Slope,0.0009780632959403889
3m,NIBOR 3m,0.0009280377376197929
3m,∆ Broiler Price (EU) 12m,0.0008737261733116166
3m,Smolt Release 12m Monthly,0.0008541378252970147
3m,Smolt Release 10m Monthly,0.0008517953717318766
3m,CPI NO Monthly,0.00085095808434353
3m,∆ Fishmeal 3m Monthly,0.0008447558240915463
3m,∆ Pig Price (EU) 12m,0.000799880112643458
3m,∆ Broiler Price (EU) 6m,0.0007717324511415177
3m,∆ Shrimp Price (Global) 1m Monthly,0.0006386593056846239
3m,∆ Pig Price (EU) 2w,0.0006379148699944166
3m,Smolt Release 6m Monthly,0.0006016372541035502
3m,∆ Chilean Exports 3m,0.0005972519425835409
3m,FWD Curvature,0.0005440302315321576
3m,∆ Broiler Price (EU) 1m,0.0005333159637732735
3m,∆ Chilean Exports 1m,0.0005157012679051263
3m,∆ Pig Price (EU),0.00047335603003589627
3m,Brent FWD Curvature,0.00045497537851103836
3m,∆ Export Volume 1m,0.0004309899375809752
3m,Smolt Release 13m Monthly,0.00041851684031392875
3m,∆ EURNOK 3m,0.0004063432562607097
3m,∆ Salmon (NOK/KG) 1m,0.00036074137829332845
3m,Month_06,0.000340866167645249
3m,∆ Export Volume 1w,0.0003343205076412349
3m,∆ Pig Price (EU) 3m,0.00033315235444431073
3m,∆ FWD 6m,0.00032939536262689733
3m,∆ Broiler Price (EU) 1w,0.00032671522638731926
3m,∆ FWD 1m,0.00025820190239079534
3m,∆ Salmon (NOK/KG) 2w,0.0002516671974529843
3m,∆ EURNOK 1w,0.00024647517793555216
3m,Acc 1w,0.00024426264592619824
3m,∆ Spread (FP - SSB),0.00023235777866303708
3m,∆ Broiler Price (EU) 2w,0.0002281350157198728
3m,Acc 1m,0.00020957636792798384
3m,RVol 4w,0.00019581837834278419
3m,∆ EURNOK,0.00018059894355799757
3m,∆ FWD 12m,0.00017521993437384943
3m,∆ Chilean Exports 1w,0.0001607137901882422
3m,∆ EURNOK 2w,0.00015487791669936918
3m,∆ EURNOK 1m,0.000149089166379952
3m,∆ Pig Price (EU) 1m,9.550876892699813e-05
3m,∆ FWD 3m,8.62938136637609e-05
3m,∆ Salmon (NOK/KG) 1w,7.148894293397963e-05
3m,Month_05,6.396943082885252e-05
3m,Month_04,5.52497587333713e-05
3m,∆ Chilean Exports 2w,4.9159509732770155e-05
3m,∆ Export Volume 2w,4.26517632836827e-05
3m,Month_01,0.0
3m,Month_02,0.0
3m,Month_03,0.0
3m,Month_07,0.0
3m,Month_08,0.0
3m,Month_09,0.0
3m,Month_10,0.0
3m,Month_11,0.0
