Horizon,Fold,Feature,Importance
2w,1,∆ Salmon (NOK/KG) 1w,0.00021658622759335186
2w,1,∆ Salmon (NOK/KG) 2w,0.001953981338270508
2w,1,∆ Salmon (NOK/KG) 1m,0.0017734272411898838
2w,1,∆ Salmon (NOK/KG) 3m,0.0017930681255313025
2w,1,∆ Salmon (NOK/KG) 6m,0.0004536937708681915
2w,1,∆ Salmon (NOK/KG) 12m,0.00013584771382054364
2w,1,Acc 1w,0.0005046861415214644
2w,1,Acc 1m,0.0
2w,1,RVol 4w,0.0015261538270698396
2w,1,RVol 13w,0.0002309969053312041
2w,1,RVol 52w,0.0017882142948848366
2w,1,Spread (FP - SSB),0.0019482408700571584
2w,1,∆ Spread (FP - SSB),0.0003863430754971057
2w,1,FWD 1m,0.03229583482035665
2w,1,∆ FWD 1m,0.0005115738855932879
2w,1,FWD 3m,0.0009494573686748531
2w,1,∆ FWD 3m,0.0001504166151474128
2w,1,FWD 6m,0.0003900198963318319
2w,1,∆ FWD 6m,0.0018481375358988098
2w,1,FWD 12m,0.0015962533148546976
2w,1,∆ FWD 12m,0.0
2w,1,FWD Slope,0.0009528986351865191
2w,1,FWD Curvature,0.0002802224747218904
2w,1,∆ Export Volume 1w,0.0011573754726037536
2w,1,∆ Export Volume 2w,0.001535737785841984
2w,1,∆ Export Volume 1m,0.003882629972035147
2w,1,∆ Chilean Exports 1w,0.0002422115520465286
2w,1,∆ Chilean Exports 2w,0.0004813312692446014
2w,1,∆ Chilean Exports 1m,0.00025536807872379567
2w,1,∆ Chilean Exports 3m,0.00018370885770255523
2w,1,∆ Total Biomass Monthly,0.001934352204647864
2w,1,∆YOY Total Biomass Monthly,0.0035236313352952926
2w,1,Avg Weight (KG) Monthly,0.001560855421454167
2w,1,YOY Avg Weight (KG) Monthly,0.004818497417401113
2w,1,Harvest Intensity 1m Monthly,0.0038801487547899956
2w,1,Harvest Intensity 3m Monthly,0.003309932596662629
2w,1,Loss Rate 1m Monthly,0.0015450250722872894
2w,1,Loss Rate 3m Monthly,0.006333854483002832
2w,1,Loss Rate 6m Monthly,0.00043125631719646883
2w,1,Smolt Release 2m Monthly,0.000150305755162169
2w,1,Smolt Release 3m Monthly,0.0021983886006911404
2w,1,Smolt Release 4m Monthly,0.0018338528609820428
2w,1,Smolt Release 5m Monthly,0.0007867307835298817
2w,1,Smolt Release 6m Monthly,0.0015102745739809895
2w,1,Smolt Release 7m Monthly,0.0006953965545884611
2w,1,Smolt Release 8m Monthly,0.007762510671223692
