Horizon,Fold,Feature,Importance
3m,1,∆ Salmon (NOK/KG) 1w,0.00021239808177422526
3m,1,∆ Salmon (NOK/KG) 2w,0.000557887836711414
3m,1,∆ Salmon (NOK/KG) 1m,0.0004298224002185671
3m,1,∆ Salmon (NOK/KG) 3m,0.003937080273290143
3m,1,∆ Salmon (NOK/KG) 6m,0.004093274442222241
3m,1,∆ Salmon (NOK/KG) 12m,0.008551244486554989
3m,1,Acc 1w,0.0002780057695256506
3m,1,Acc 1m,0.00039737098968599215
3m,1,RVol 4w,0.00044001883547330314
3m,1,RVol 13w,0.006201779776395981
3m,1,RVol 52w,0.01128646007474935
3m,1,Spread (FP - SSB),0.004324332952171556
3m,1,∆ Spread (FP - SSB),0.00042402869658751896
3m,1,FWD 1m,0.02039920587510389
3m,1,∆ FWD 1m,0.00031509406885326665
3m,1,FWD 3m,0.033752172566687784
3m,1,∆ FWD 3m,0.00011972543341053889
3m,1,FWD 6m,0.0070259343452775385
3m,1,∆ FWD 6m,0.0006004331282761792
3m,1,FWD 12m,0.005243936337662793
3m,1,∆ FWD 12m,0.0006126229246814364
3m,1,FWD Slope,0.00039741519378550476
3m,1,FWD Curvature,0.0004512404420904845
3m,1,∆ Export Volume 1w,0.0002807037452244325
3m,1,∆ Export Volume 2w,0.00017094157676832817
3m,1,∆ Export Volume 1m,0.0003791534711993468
3m,1,∆ Chilean Exports 1w,0.0005387977664180952
3m,1,∆ Chilean Exports 2w,0.00019702360371329837
3m,1,∆ Chilean Exports 1m,0.0013362708069980182
3m,1,∆ Chilean Exports 3m,0.0009509327758929879
3m,1,∆ Total Biomass Monthly,0.007950975445202185
3m,1,∆YOY Total Biomass Monthly,0.005816862175720453
3m,1,Avg Weight (KG) Monthly,0.006122140900598455
3m,1,YOY Avg Weight (KG) Monthly,0.002292459385310382
3m,1,Harvest Intensity 1m Monthly,0.0036095201887457926
3m,1,Harvest Intensity 3m Monthly,0.006913495869887706
3m,1,Loss Rate 1m Monthly,0.005412389298538198
3m,1,Loss Rate 3m Monthly,0.005710371252047894
3m,1,Loss Rate 6m Monthly,0.001869389456914327
3m,1,Smolt Release 2m Monthly,0.004808675687072058
3m,1,Smolt Release 3m Monthly,0.008510555583229912
3m,1,Smolt Release 4m Monthly,0.0016795956157348241
3m,1,Smolt Release 5m Monthly,0.001978309476377413
3m,1,Smolt Release 6m Monthly,0.0006818462203495804
3m,1,Smolt Release 7m Monthly,0.007436353999896867
3m,1,Smolt Release 8m Monthly,0.006620514028966384
3m,1,Smolt Release 9m Monthly,0.0015286877687011168
3m,1,Smolt Release 10m Monthly,0.0004133982412192003
3m,1,Smolt Release 11m Monthly,0.003330692675934795
3m,1,Smolt Release 12m Monthly,0.002066379481845386
3m,1,Smolt Release 13m Monthly,0.0005417990364000771
3m,1,Smolt Release 14m Monthly,0.0045378113776152005
3m,1,Smolt Release 15m Monthly,0.029292661183537558
3m,1,Smolt Release 16m Monthly,0.002571919307078756
3m,1,Smolt Release 17m Monthly,0.0013680381114009636
3m,1,Smolt Release 18m Monthly,0.0012603647537571263
3m,1,ISA Outbreak,0.003927416091710303
3m,1,ISA Outbreak 1m,0.008622173842929643
3m,1,ISA Outbreak 3m,0.029630769696384104
3m,1,Lice Outbreak,0.007854423960596673
3m,1,Lice Outbreak 1m,0.015264244975648553
3m,1,Lice Outbreak 3m,0.003096683130306225
3m,1,Sea Temp,0.0032361321135207285
3m,1,Sea Temp 12m Avg,0.006113349664217535
3m,1,∆ EURNOK,0.000159601606606337
3m,1,∆ EURNOK 1w,0.0008829428361450011
3m,1,∆ EURNOK 2w,0.0005121031451949253
3m,1,∆ EURNOK 1m,0.000355463451906125
3m,1,∆ EURNOK 3m,0.0009000805746012326
3m,1,∆ EURNOK 6m,0.002844766196847821
3m,1,∆ EURNOK 12m,0.0008038240215216505
3m,1,CPI NO Monthly,0.0009655015946670463
3m,1,NIBOR 3m,0.0019510697709352075
3m,1,∆ Shrimp Price (Global) 1m Monthly,0.001532426089948613
3m,1,∆ Shrimp Price (Global) 3m Monthly,0.0032950191070260197
3m,1,∆ Shrimp Price (Global) 6m Monthly,0.0022701679152204927
3m,1,∆ Shrimp Price (Global) 12m Monthly,0.001866295342486049
3m,1,∆ Broiler Price (EU) 1w,0.00025438033461618563
3m,1,∆ Broiler Price (EU) 2w,0.0005307709400263596
3m,1,∆ Broiler Price (EU) 1m,0.0005581232531971532
3m,1,∆ Broiler Price (EU) 3m,0.0037697252786319333
3m,1,∆ Broiler Price (EU) 6m,0.0008112032212352818
3m,1,∆ Broiler Price (EU) 12m,0.0011504680143214693
3m,1,∆ Pig Price (EU),0.0009384122649249806
3m,1,∆ Pig Price (EU) 1w,0.008226353689011525
3m,1,∆ Pig Price (EU) 2w,0.0011413129637418092
3m,1,∆ Pig Price (EU) 1m,0.00024892601439043964
3m,1,∆ Pig Price (EU) 3m,0.0006191986194900545
3m,1,∆ Pig Price (EU) 6m,0.0037726779151818777
3m,1,∆ Pig Price (EU) 12m,0.000365791075441777
3m,1,Meat CPI (EU) Monthly,0.002002206040656225
3m,1,∆ Fishmeal 1m Monthly,0.006660715860410371
3m,1,∆ Fishmeal 3m Monthly,0.0013472809072407983
3m,1,∆ Fishmeal 6m Monthly,0.00040328553349639856
3m,1,∆ Fishmeal 12m Monthly,0.0056757407851935355
3m,1,Brent FWD Slope,0.0015035104380443566
3m,1,Brent FWD Curvature,0.0007714611261711208
3m,1,Soybean FWD Slope,0.0013627789639129124
3m,1,Soybean FWD Curvature,0.0059169168969378195
3m,1,Month_01,0.0
3m,1,Month_02,0.0
3m,1,Month_03,0.0
3m,1,Month_04,0.00022143236637453157
3m,1,Month_05,0.0
3m,1,Month_06,0.0012026117227693946
3m,1,Month_07,0.0
3m,1,Month_08,0.0
3m,1,Month_09,0.0
3m,1,Month_10,0.0
3m,1,Month_11,0.0
3m,2,∆ Salmon (NOK/KG) 1w,7.411838755333281e-05
3m,2,∆ Salmon (NOK/KG) 2w,0.00010008503142069352
3m,2,∆ Salmon (NOK/KG) 1m,0.0003370015137107846
3m,2,∆ Salmon (NOK/KG) 3m,0.001169747912802907
3m,2,∆ Salmon (NOK/KG) 6m,0.004718814525911378
3m,2,∆ Salmon (NOK/KG) 12m,0.0009395488159109574
3m,2,Acc 1w,8.419784136551759e-05
3m,2,Acc 1m,0.00023481583440564436
3m,2,RVol 4w,0.0003447905083162083
3m,2,RVol 13w,0.00018150105398138244
3m,2,RVol 52w,0.001370481487467431
3m,2,Spread (FP - SSB),0.007081906534073554
3m,2,∆ Spread (FP - SSB),0.00010090170576130641
3m,2,FWD 1m,0.018802455266725773
3m,2,∆ FWD 1m,0.00018116081515182663
3m,2,FWD 3m,0.04979643587166112
3m,2,∆ FWD 3m,0.0
3m,2,FWD 6m,0.0074656483925130655
3m,2,∆ FWD 6m,0.0
3m,2,FWD 12m,0.009927339694842604
3m,2,∆ FWD 12m,8.963108680905061e-05
3m,2,FWD Slope,0.0014882347180109811
3m,2,FWD Curvature,0.0015662122342435224
3m,2,∆ Export Volume 1w,0.0010592004069690673
3m,2,∆ Export Volume 2w,0.0
3m,2,∆ Export Volume 1m,0.0009202385675619436
3m,2,∆ Chilean Exports 1w,5.28281378459889e-05
3m,2,∆ Chilean Exports 2w,0.0
3m,2,∆ Chilean Exports 1m,0.0004442529321616127
3m,2,∆ Chilean Exports 3m,0.0014427593234026149
3m,2,∆ Total Biomass Monthly,0.001261997993038484
3m,2,∆YOY Total Biomass Monthly,0.0015438372497141013
3m,2,Avg Weight (KG) Monthly,0.01079470631867613
3m,2,YOY Avg Weight (KG) Monthly,0.0022904393570531392
3m,2,Harvest Intensity 1m Monthly,0.004466062680322202
3m,2,Harvest Intensity 3m Monthly,0.00630552139054289
3m,2,Loss Rate 1m Monthly,0.000361327590863225
3m,2,Loss Rate 3m Monthly,0.0003289798076181671
3m,2,Loss Rate 6m Monthly,0.007537880507572123
3m,2,Smolt Release 2m Monthly,0.00379695040268534
3m,2,Smolt Release 3m Monthly,0.007987887016328292
3m,2,Smolt Release 4m Monthly,0.014077939324208833
3m,2,Smolt Release 5m Monthly,0.004318053638860687
3m,2,Smolt Release 6m Monthly,0.0006367829459977979
3m,2,Smolt Release 7m Monthly,0.0014504057026717258
3m,2,Smolt Release 8m Monthly,0.007474265180129833
3m,2,Smolt Release 9m Monthly,0.004573748816277803
3m,2,Smolt Release 10m Monthly,0.0024380363656995923
3m,2,Smolt Release 11m Monthly,0.0011141624158690834
3m,2,Smolt Release 12m Monthly,0.0004277172030173882
3m,2,Smolt Release 13m Monthly,0.000774444001008806
3m,2,Smolt Release 14m Monthly,0.008941049879066508
3m,2,Smolt Release 15m Monthly,0.014203689550458793
3m,2,Smolt Release 16m Monthly,0.006266099690272926
3m,2,Smolt Release 17m Monthly,0.003280557215182391
3m,2,Smolt Release 18m Monthly,0.00568185652803623
3m,2,ISA Outbreak,0.00032380298084489645
3m,2,ISA Outbreak 1m,0.006150430792465503
3m,2,ISA Outbreak 3m,0.0029055401993156598
3m,2,Lice Outbreak,0.0020040338211523836
3m,2,Lice Outbreak 1m,0.001979099646178721
3m,2,Lice Outbreak 3m,0.008365470433937304
