Horizon,Fold,Test Start,Test End,n_train,n_test,depth,ntrees,RMSE,MAE,R2,Hit,RW RMSE,Skill%
0w,1,2006-06-14,2011-05-18,724,258,4,303,0.06343771153601863,0.042675621961838994,0.16782882626459938,0.686046511627907,0.06954187874667528,8.777685217410792
0w,2,2011-05-25,2016-04-27,724,258,4,327,0.05380325592628967,0.042330995779114186,0.27121906704469234,0.686046511627907,0.06304411815725827,14.657770623292798
0w,3,2016-05-04,2021-04-07,724,258,4,215,0.05936072867879834,0.04671292470603808,0.17370903822762152,0.6627906976744186,0.0653057869051975,9.103417182660145
0w,4,2021-04-14,2026-04-01,774,260,4,182,0.06307944353899236,0.0489030249443876,0.20692613318514552,0.6576923076923077,0.07083941755384829,10.95431651305887
1w,1,2006-06-14,2011-05-18,724,258,2,399,0.0830198751429112,0.060392967546197475,0.2590634279783077,0.6821705426356589,0.09645388307648092,13.927907830229636
1w,2,2011-05-25,2016-04-27,723,258,2,67,0.08026079903611133,0.06475974729292706,0.18503023658646855,0.6511627906976745,0.08898274732026659,9.801841982652249
1w,3,2016-05-04,2021-04-07,723,258,2,155,0.08868068173776737,0.07101272003851403,0.21286482549639962,0.6434108527131783,0.09995675467935432,11.280951425202657
1w,4,2021-04-14,2026-04-01,773,260,2,502,0.09961675556060558,0.07793142787044698,0.21221699037464636,0.676923076923077,0.1122569633208084,11.260065644283978
2w,1,2006-06-14,2011-05-18,723,258,2,603,0.09102789654003175,0.06721064161301056,0.2596661680051464,0.7054263565891473,0.10581451851186813,13.974095596511093
2w,2,2011-05-25,2016-04-27,721,258,2,332,0.0879303120615221,0.07041216684044989,0.2546598734372909,0.6589147286821705,0.1020410844695855,13.828520621288842
2w,3,2016-05-04,2021-04-07,721,258,2,424,0.10038440273260846,0.0816336849247218,0.2514201967387245,0.6666666666666666,0.1160239918554122,13.479616476472922
2w,4,2021-04-14,2026-03-25,772,259,2,418,0.11450470719247045,0.08935741296062717,0.2672824775758532,0.6988416988416989,0.13382315464234726,14.43580335668132
1m,1,2006-06-14,2011-05-11,722,257,5,90,0.10120461014114168,0.0788665137388671,0.21896593413002485,0.6536964980544747,0.11456037553278423,11.658276545907853
1m,2,2011-05-18,2016-04-13,718,257,5,60,0.10884050480579048,0.08641684374042687,0.2582847762310644,0.6964980544747081,0.12676844544890084,14.14227379662626
1m,3,2016-04-20,2021-03-17,718,257,5,57,0.12982076057562267,0.10687018836659806,0.23512242460342303,0.6653696498054474,0.14844535086361774,12.546428823564959
1m,4,2021-03-24,2026-03-11,767,260,5,106,0.13573291870680818,0.10261692017875179,0.29504348069949693,0.7346153846153847,0.16179148201496624,16.1062640527315
3m,1,2006-06-14,2011-04-27,715,255,3,579,0.1637250667910495,0.12851185029628295,0.24161554121182482,0.7137254901960784,0.18816135962775762,12.986881517571302
3m,2,2011-05-04,2016-03-16,702,255,3,247,0.16834953660600102,0.13434734720855318,0.3182379156374294,0.7647058823529411,0.20694967824356006,18.65194571219886
3m,3,2016-03-23,2021-02-03,702,255,3,44,0.18069983711435977,0.1496517975929962,0.36052789093206805,0.7529411764705882,0.2259961683277727,20.042964245180283
3m,4,2021-02-10,2026-01-07,752,257,3,159,0.23350790403301955,0.19213114615469093,0.35639056373568523,0.754863813229572,0.29177243218420984,19.969168339524657
6m,1,2006-06-14,2011-04-06,705,252,2,166,0.1893744774722902,0.15276439417381307,0.34344275484475373,0.7182539682539683,0.23379407724715986,18.99945469016764
6m,2,2011-04-13,2016-02-03,679,252,2,92,0.20012106498001986,0.15978573600418333,0.3961849009071462,0.7619047619047619,0.26906202566881565,25.622701872338606
6m,3,2016-02-10,2020-12-02,679,252,2,163,0.18052176502085773,0.14686102098699946,0.4360383463183395,0.7817460317460317,0.2408591142273423,25.050888939802917
6m,4,2020-12-09,2025-10-08,730,253,2,83,0.282206939706233,0.23334132411899663,0.4023327094050866,0.7865612648221344,0.36790629802323216,23.293800290308564
12m,1,2006-06-14,2011-02-16,686,245,2,1,0.2898515715639765,0.21263143295780046,-0.20978883224558054,0.5755102040816327,0.26357563717280674,-9.969030018484837
12m,2,2011-02-23,2015-10-28,634,245,2,434,0.29372782173650275,0.24429321053303632,-0.19163230788175367,0.6326530612244898,0.308414704332185,4.76205653925742
12m,3,2015-11-04,2020-07-08,634,245,2,587,0.24902488599309772,0.19482435190793201,-0.4537118209125195,0.49795918367346936,0.2082449125670786,-19.582698527092845
12m,4,2020-07-15,2025-04-09,683,248,2,6,0.2441000945502916,0.18950399794226397,0.05008651868053915,0.6814516129032258,0.26380466797840196,7.4693801209475215
