Horizon,Feature,Importance
2w,FWD 1m,0.021082093221481843
2w,∆ FWD 1m,0.004109577073015868
2w,Smolt Release 4m Monthly,0.0028391586013717424
2w,Harvest Intensity 1m Monthly,0.002656180165484254
2w,Smolt Release 10m Monthly,0.0024817594070739315
2w,FWD 12m,0.0022538283794991715
2w,Loss Rate 1m Monthly,0.0021953105850905357
2w,∆ Shrimp Price (Global) 1m Monthly,0.0019169886862888997
2w,Smolt Release 8m Monthly,0.0018934364166773058
2w,∆ Total Biomass Monthly,0.0017635334832570922
2w,∆ Pig Price (EU) 2w,0.001447065654299879
2w,Avg Weight (KG) Monthly,0.0011007913860047406
2w,∆ Pig Price (EU) 1m,0.0010882403942395224
2w,∆YOY Total Biomass Monthly,0.0010229348703633884
2w,Smolt Release 9m Monthly,0.0010021328234937322
2w,∆ Fishmeal 6m Monthly,0.000993346084006593
2w,Smolt Release 17m Monthly,0.000991045687287429
2w,∆ FWD 12m,0.000988295645022416
2w,∆ Pig Price (EU) 1w,0.0009738311494717544
2w,Smolt Release 12m Monthly,0.0009711048878197858
2w,Smolt Release 5m Monthly,0.0009280717481962304
2w,∆ Export Volume 1m,0.0008944868736834677
2w,Smolt Release 14m Monthly,0.0008300479514596076
2w,∆ FWD 6m,0.0007842203213535409
2w,∆ Salmon (NOK/KG) 2w,0.0006766114168742042
2w,Smolt Release 11m Monthly,0.0006595124240433357
2w,∆ Broiler Price (EU) 1w,0.0006540819808338153
2w,YOY Avg Weight (KG) Monthly,0.0006276375181585205
2w,∆ Fishmeal 12m Monthly,0.0006146976033978384
2w,∆ EURNOK,0.000575266782060735
2w,∆ Salmon (NOK/KG) 3m,0.0005714233087051094
2w,∆ EURNOK 12m,0.000563068170889353
2w,CPI NO Monthly,0.0005288600426689248
2w,∆ Salmon (NOK/KG) 6m,0.0005278082889197866
2w,FWD 3m,0.0005175349430283693
2w,Sea Temp,0.0004866776078863413
2w,Meat CPI (EU) Monthly,0.00048526551522387737
2w,∆ Pig Price (EU) 3m,0.0004671076373906631
2w,Smolt Release 15m Monthly,0.0004578449538013324
2w,∆ Export Volume 2w,0.00045459999331915184
2w,∆ Fishmeal 3m Monthly,0.0004410009085134319
2w,Soybean FWD Slope,0.00042608926242212303
2w,FWD 6m,0.0004165734162198706
2w,Lice Outbreak 1m,0.00040511943325990035
2w,Smolt Release 13m Monthly,0.00039853676644087995
2w,∆ Pig Price (EU) 6m,0.00039220221988355247
2w,Lice Outbreak 3m,0.0003749448154611051
2w,Brent FWD Slope,0.0003329575480175889
2w,FWD Slope,0.0003291312929239719
2w,Smolt Release 18m Monthly,0.0003280257725841881
2w,Loss Rate 3m Monthly,0.0002984057233990463
2w,Spread (FP - SSB),0.0002963390078447731
2w,∆ Broiler Price (EU) 12m,0.0002795572142607069
2w,Month_01,0.0002641502986722785
2w,FWD Curvature,0.0002630250156768094
2w,∆ Export Volume 1w,0.0002620244897520725
2w,Smolt Release 6m Monthly,0.0002604379182416834
2w,∆ Salmon (NOK/KG) 1w,0.00025224860416840487
2w,∆ Spread (FP - SSB),0.00023115240804163852
2w,Smolt Release 16m Monthly,0.00022632850897293024
2w,Smolt Release 3m Monthly,0.00021432782905372183
2w,Harvest Intensity 3m Monthly,0.0002063236054826815
2w,Sea Temp 12m Avg,0.0002059803589292529
2w,Loss Rate 6m Monthly,0.00017838878782519072
2w,ISA Outbreak 3m,0.00017173709317988282
2w,∆ Pig Price (EU) 12m,0.00016983901673576707
2w,Month_08,0.00016135465194099988
2w,ISA Outbreak 1m,0.00015378463970099646
2w,∆ Shrimp Price (Global) 3m Monthly,0.00014985261017659983
2w,RVol 4w,0.0001460829873745794
2w,∆ Salmon (NOK/KG) 1m,0.0001339993558894426
2w,∆ EURNOK 1w,0.00013182243169322985
2w,∆ Broiler Price (EU) 2w,0.00012636271911251813
2w,Brent FWD Curvature,0.0001253168094411039
2w,∆ Pig Price (EU),0.00011164287359118705
2w,∆ EURNOK 6m,0.00010437843236793095
2w,Smolt Release 2m Monthly,0.00010378347129087387
2w,∆ Shrimp Price (Global) 12m Monthly,5.369039202229602e-05
2w,∆ FWD 3m,5.070074513451679e-05
2w,∆ Chilean Exports 1w,4.6476636426693674e-05
2w,Soybean FWD Curvature,4.523369386051358e-05
2w,∆ Fishmeal 1m Monthly,3.855721837808225e-05
2w,Smolt Release 7m Monthly,1.6761480278904464e-05
2w,Acc 1m,0.0
2w,Acc 1w,0.0
2w,RVol 52w,0.0
2w,∆ Chilean Exports 1m,0.0
2w,∆ Chilean Exports 2w,0.0
2w,∆ Chilean Exports 3m,0.0
2w,∆ Salmon (NOK/KG) 12m,0.0
2w,RVol 13w,0.0
2w,∆ EURNOK 2w,0.0
2w,ISA Outbreak,0.0
2w,Lice Outbreak,0.0
2w,∆ Shrimp Price (Global) 6m Monthly,0.0
2w,NIBOR 3m,0.0
2w,∆ EURNOK 1m,0.0
2w,∆ EURNOK 3m,0.0
2w,∆ Broiler Price (EU) 1m,0.0
2w,∆ Broiler Price (EU) 6m,0.0
2w,∆ Broiler Price (EU) 3m,0.0
2w,Month_02,0.0
2w,Month_03,0.0
2w,Month_04,0.0
2w,Month_06,0.0
2w,Month_05,0.0
2w,Month_07,0.0
2w,Month_09,0.0
2w,Month_10,0.0
2w,Month_11,0.0
