Horizon,Feature,Importance
6m,FWD 6m,0.04676840320820954
6m,FWD 12m,0.027024160995278323
6m,ISA Outbreak,0.02437024052101505
6m,ISA Outbreak 1m,0.022187916654901246
6m,∆YOY Total Biomass Monthly,0.017089187306958804
6m,Spread (FP - SSB),0.013338683144892177
6m,FWD Slope,0.011422269169827488
6m,FWD Curvature,0.011381448270704511
6m,∆ Fishmeal 3m Monthly,0.009843597128559667
6m,∆ Total Biomass Monthly,0.00854296726188556
6m,Smolt Release 13m Monthly,0.008068854104360902
6m,Harvest Intensity 1m Monthly,0.007233479325342181
6m,Brent FWD Curvature,0.006789780697221281
6m,Meat CPI (EU) Monthly,0.006388015769239339
6m,ISA Outbreak 3m,0.005272666641583356
6m,Smolt Release 6m Monthly,0.005054276642929975
6m,Harvest Intensity 3m Monthly,0.004678334575092942
6m,Sea Temp,0.0038994239973079007
6m,FWD 3m,0.0037644054843433685
6m,∆ Salmon (NOK/KG) 3m,0.0034352274061711227
6m,Smolt Release 12m Monthly,0.002853048523494029
6m,Avg Weight (KG) Monthly,0.0027492818698140334
6m,YOY Avg Weight (KG) Monthly,0.0026230282144804142
6m,Smolt Release 5m Monthly,0.002507106721007667
6m,Loss Rate 3m Monthly,0.002296063123861103
6m,Smolt Release 14m Monthly,0.0021888297336438624
6m,Brent FWD Slope,0.0020303696817548763
6m,Smolt Release 11m Monthly,0.001992648467957925
6m,CPI NO Monthly,0.0018747406919476348
6m,∆ Fishmeal 6m Monthly,0.001836833122509022
6m,Smolt Release 3m Monthly,0.0017421696283821662
6m,Smolt Release 2m Monthly,0.0014307320411734107
6m,Smolt Release 7m Monthly,0.00123835940388632
6m,Smolt Release 17m Monthly,0.0011677734809901114
6m,∆ Broiler Price (EU) 12m,0.0010971840747465798
6m,∆ Shrimp Price (Global) 6m Monthly,0.0008063858159389434
6m,∆ EURNOK 6m,0.0007623975118895738
6m,∆ Fishmeal 1m Monthly,0.0007557308712299913
6m,∆ Shrimp Price (Global) 12m Monthly,0.0007460388812325321
6m,∆ EURNOK 3m,0.0007130560137955329
6m,∆ Salmon (NOK/KG) 1m,0.0006637230592164428
6m,Smolt Release 10m Monthly,0.0006296045279032273
6m,∆ Shrimp Price (Global) 3m Monthly,0.0005842135913449794
6m,∆ Pig Price (EU) 1m,0.00045958741187203774
6m,Loss Rate 6m Monthly,0.0004231137659331386
6m,∆ Pig Price (EU) 2w,0.0003795603772892975
6m,∆ Fishmeal 12m Monthly,0.0002977031565577717
6m,RVol 13w,0.0002257006939324119
6m,Smolt Release 16m Monthly,0.00017757862714312382
6m,NIBOR 3m,0.00011369448722796364
6m,∆ Broiler Price (EU) 1m,0.00011001282879577602
6m,∆ Broiler Price (EU) 2w,0.0
6m,∆ Broiler Price (EU) 3m,0.0
6m,∆ Broiler Price (EU) 1w,0.0
6m,∆ Broiler Price (EU) 6m,0.0
6m,∆ Pig Price (EU),0.0
6m,∆ Salmon (NOK/KG) 1w,0.0
6m,∆ Pig Price (EU) 1w,0.0
6m,∆ Pig Price (EU) 3m,0.0
6m,∆ Pig Price (EU) 6m,0.0
6m,Soybean FWD Slope,0.0
6m,Soybean FWD Curvature,0.0
6m,Month_01,0.0
6m,Month_02,0.0
6m,Month_03,0.0
6m,Month_04,0.0
6m,Month_05,0.0
6m,Month_06,0.0
6m,Month_07,0.0
6m,Month_08,0.0
6m,Month_09,0.0
6m,Month_10,0.0
6m,∆ Pig Price (EU) 12m,0.0
6m,Smolt Release 18m Monthly,0.0
6m,∆ Shrimp Price (Global) 1m Monthly,0.0
6m,∆ EURNOK 12m,0.0
6m,∆ Export Volume 1m,0.0
6m,∆ Export Volume 2w,0.0
6m,∆ Export Volume 1w,0.0
6m,∆ FWD 12m,0.0
6m,∆ FWD 6m,0.0
6m,∆ FWD 3m,0.0
6m,∆ FWD 1m,0.0
6m,FWD 1m,0.0
6m,∆ Spread (FP - SSB),0.0
6m,RVol 52w,0.0
6m,RVol 4w,0.0
6m,Acc 1m,0.0
6m,Acc 1w,0.0
6m,∆ Salmon (NOK/KG) 12m,0.0
6m,∆ Salmon (NOK/KG) 6m,0.0
6m,∆ Chilean Exports 1w,0.0
6m,∆ Chilean Exports 2w,0.0
6m,∆ Chilean Exports 1m,0.0
6m,Lice Outbreak 1m,0.0
6m,∆ EURNOK 1m,0.0
6m,∆ EURNOK 2w,0.0
6m,∆ EURNOK 1w,0.0
6m,∆ EURNOK,0.0
6m,Sea Temp 12m Avg,0.0
6m,Lice Outbreak 3m,0.0
6m,Lice Outbreak,0.0
6m,∆ Chilean Exports 3m,0.0
6m,∆ Salmon (NOK/KG) 2w,0.0
6m,Smolt Release 15m Monthly,0.0
6m,Smolt Release 9m Monthly,0.0
6m,Smolt Release 8m Monthly,0.0
6m,Smolt Release 4m Monthly,0.0
6m,Loss Rate 1m Monthly,0.0
6m,Month_11,0.0
