,∆ Salmon (NOK/KG) 1w,∆ Salmon (NOK/KG) 2w,∆ Salmon (NOK/KG) 1m,∆ Salmon (NOK/KG) 3m,∆ Salmon (NOK/KG) 6m,∆ Salmon (NOK/KG) 12m,Acc 1w,Acc 1m,RVol 4w,RVol 13w,RVol 52w,Spread (FP - SSB),∆ Spread (FP - SSB),FWD 1m,∆ FWD 1m,FWD 3m,∆ FWD 3m,FWD 6m,∆ FWD 6m,FWD 12m,∆ FWD 12m,FWD Slope,FWD Curvature,∆ Export Volume 1w,∆ Export Volume 2w,∆ Export Volume 1m,∆ Chilean Exports 1w,∆ Chilean Exports 2w,∆ Chilean Exports 1m,∆ Chilean Exports 3m,∆ Total Biomass Monthly,∆YOY Total Biomass Monthly,Avg Weight (KG) Monthly,YOY Avg Weight (KG) Monthly,Harvest Intensity 1m Monthly,Harvest Intensity 3m Monthly,Loss Rate 1m Monthly,Loss Rate 3m Monthly,Loss Rate 6m Monthly,Smolt Release 2m Monthly,Smolt Release 3m Monthly,Smolt Release 4m Monthly,Smolt Release 5m Monthly,Smolt Release 6m Monthly,Smolt Release 7m Monthly,Smolt Release 8m Monthly,Smolt Release 9m Monthly,Smolt Release 10m Monthly,Smolt Release 11m Monthly,Smolt Release 12m Monthly,Smolt Release 13m Monthly,Smolt Release 14m Monthly,Smolt Release 15m Monthly,Smolt Release 16m Monthly,Smolt Release 17m Monthly,Smolt Release 18m Monthly,ISA Outbreak,ISA Outbreak 1m,ISA Outbreak 3m,Lice Outbreak,Lice Outbreak 1m,Lice Outbreak 3m,Sea Temp,Sea Temp 12m Avg,∆ EURNOK,∆ EURNOK 1w,∆ EURNOK 2w,∆ EURNOK 1m,∆ EURNOK 3m,∆ EURNOK 6m,∆ EURNOK 12m,CPI NO Monthly,NIBOR 3m,∆ Shrimp Price (Global) 1m Monthly,∆ Shrimp Price (Global) 3m Monthly,∆ Shrimp Price (Global) 6m Monthly,∆ Shrimp Price (Global) 12m Monthly,∆ Broiler Price (EU) 1w,∆ Broiler Price (EU) 2w,∆ Broiler Price (EU) 1m,∆ Broiler Price (EU) 3m,∆ Broiler Price (EU) 6m,∆ Broiler Price (EU) 12m,∆ Pig Price (EU),∆ Pig Price (EU) 1w,∆ Pig Price (EU) 2w,∆ Pig Price (EU) 1m,∆ Pig Price (EU) 3m,∆ Pig Price (EU) 6m,∆ Pig Price (EU) 12m,Meat CPI (EU) Monthly,∆ Fishmeal 1m Monthly,∆ Fishmeal 3m Monthly,∆ Fishmeal 6m Monthly,∆ Fishmeal 12m Monthly,Brent FWD Slope,Brent FWD Curvature,Soybean FWD Slope,Soybean FWD Curvature,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11
2022-01-05,-0.0026190971070963907,0.00018887314478309276,6.992028882554397e-05,0.0004733705214128247,-0.00015502360368795516,0.00018177859799624332,0.0018141821822172072,0.00010333187455678631,-0.00027347737589318853,0.00015702407842857136,-0.0022829937413314984,-0.00017752965897128525,-0.0014241085445986326,0.019091565641880172,0.006288458721515375,0.0003817684539961533,0.0015373252215745996,9.418059647920249e-05,8.152417240230885e-05,-0.0002551991948407603,-0.00021409461595960565,0.001708888548240959,0.0009083290738345509,0.0008129720301435288,0.0007634425288394202,-0.0009880763668018505,0.00033319167699357425,-7.183308120488723e-05,0.0014707545182918525,0.0005587118898800514,0.0024422592330559604,0.0005574729836696694,-0.0005098639930529198,-5.214238797429994e-05,0.0008872800266484119,0.00014371258714037478,-1.1985141194574043e-05,2.892726718262199e-05,0.0001035461556669355,-0.00011166507738875298,-0.0007138029822326825,-0.00011182550214645413,5.8310339108992205e-05,0.0005061793774098815,0.00021587725705108225,-3.860254665413788e-05,-0.00011785430372030996,-1.863911229568718e-05,0.00023780597475910097,1.667375288981965e-05,-0.00014658962251467154,-0.0004043897400683954,0.00030168181935259753,-0.00016008450271328897,-0.0002192773183105628,0.00013721258682191338,-0.00021122812897920925,0.0002149751468539788,0.0004123549582078331,-2.1586623079814963e-05,2.2948143803447575e-05,9.792718305484107e-05,0.0005968319087493238,1.5377872270801597e-05,7.053009501192825e-05,-0.002459551268001508,-0.002084985241590303,-0.00021338908298689803,-4.378373543600215e-05,0.0009294895340767134,0.0009315368895998606,3.0301811520844112e-05,1.6976344840172325e-05,0.001350110478986169,0.00024939970556397983,0.00021100812256131615,0.00023405180812591535,-6.031490508824784e-06,-0.0004905337900004081,-0.0003001073399140309,-0.00015242996308768362,-4.5063068589510724e-05,1.1580986847717063e-05,-6.1908624138813295e-06,-0.0005587480075179709,-0.0005294612851529314,-0.00025816035316133807,-0.0005002492837475474,0.00016231868991726178,0.00013568171419593697,-0.00018837357145278904,-0.0004747475440336186,-0.00036317552576745993,-0.00015679283693053404,-0.0003087626744544006,-0.0004205544321004245,-1.2652231124006529e-05,0.0014687020789071986,0.00011969764996287697,0.0,1.3573711939413835e-05,0.0,0.0,-5.713910189197201e-07,6.722433439263427e-05,0.0,0.0,0.0,2.8539952158186e-05,0.0
2022-01-12,0.001345080738749558,0.00019026764453192695,-0.0001033840650383488,0.0007817108549659421,8.790924135063615e-07,-9.613922636241108e-05,0.010620618352245481,0.00010557652358947182,-0.00035653877329351743,-0.00019478288999316855,-0.002029268979396996,-0.00032483885224913214,0.0009411258738831257,0.012600699484365334,-0.0015905745542031651,2.599336423345482e-05,-0.0010950583466645882,0.00019831489159505636,-0.0001859794709298049,-0.00018921734861416807,1.7980998137731674e-05,0.0019150437208989863,0.0007980711778208199,0.0012096417925153606,0.0011765098510684944,-0.0007999456631767077,-0.001063160851085399,5.3117334049499033e-05,-0.00019897848668316894,-0.0013726748559935002,0.002417704865391401,0.0004959369508393124,0.00033746453372832986,6.709937275803581e-05,0.0010137420576840361,2.937985567325561e-05,0.0003587077389538728,-1.3508028123365582e-05,6.62045643773517e-05,-0.00010773814907304101,-0.0007633067301444674,-0.0001098499983554666,-0.00010563744933182235,0.0004447954787920606,0.00014440204886859986,3.055548773424554e-05,-4.176980090679423e-05,1.2127166046729934e-05,0.00018543178427351322,1.667375288981965e-05,2.4796201972454465e-05,-0.0004653819247420985,-5.168080212304897e-05,-0.00020711067958964236,-9.362513171691445e-05,7.397768921357803e-05,-0.0003736404749223331,6.606205883181405e-05,0.00016861018805148614,-0.0004191895050596105,3.555713877651631e-05,0.00012370335694051617,0.00039271734631210047,-5.805713710115551e-05,-0.0004860974133144396,0.0001840762947460701,-0.00039686654368069075,-0.0006854191037306518,7.91058415107882e-06,8.743003534863203e-05,0.0004610969677581785,0.00017507184580009446,3.328122174836528e-05,0.001670209809813485,0.00022005287436365254,0.00029814256119258545,0.00025757603582617745,0.0005195261059991611,-0.0005685824726765914,8.324906828268943e-05,1.4251984052319309e-05,-0.00011813918986447894,-2.4728152956794235e-05,-6.1908624138813295e-06,-0.00047822613229848076,-0.0002509653596855548,-0.00024656000428824716,-0.000385674613914966,0.00010635450164619068,1.4725517517031946e-05,-0.00015549706980559974,-0.00039835925942273236,-0.0001776143234518164,-0.0004960939493730903,-0.00045242374868201675,-0.00047011493856804456,-8.957314247304671e-05,0.0015317014939649526,0.0002066705862630671,0.0,-1.9412009654436677e-05,0.0,0.0,-8.74921921550402e-06,8.235648600348041e-06,0.0,0.0,0.0,4.1070204114515097e-05,0.0
2022-01-19,0.00278659204558756,-0.00033181617012395645,-0.00019441675779265793,0.00037746140946761666,9.344004504953496e-05,-0.00012782441356029177,0.01190730581164645,-0.00026520800655498774,-8.234109470990784e-06,-0.0004850261331505997,-0.0017872142787996766,0.00024078070528315217,0.000611790909272701,-0.013542091641781856,-0.005324108960255139,6.57785451511973e-05,0.00018399566091844866,0.00015675996477248924,8.905698296691078e-05,-0.00020233641758259796,0.0004170438086216655,0.0020776404113632164,0.00012501295960903286,-0.0005502257342656541,0.00046000296801363295,-0.0006499628677661058,0.0002920665952710394,0.00023148275939017404,-0.00039125772260224686,0.0005436144765516718,0.0017628852124310433,9.315201935963788e-05,-0.0004943776318860919,0.00014518352853846775,0.0011823278707777333,-0.00015382741068174042,0.0004519309102023038,-9.872346847017376e-05,-0.0004119397813406841,5.249995581611021e-05,-0.0006864925052814288,0.00011819995329015727,-0.0002124112205011457,0.0005257308296606172,0.00013231540819097541,-7.92488377666607e-05,-7.045102917522324e-05,9.577601784986766e-05,0.00020051770167385866,-5.3264582904559274e-05,-0.0003758518042700696,-0.00040875389719478004,9.511337632838208e-05,-0.00016413082263408435,-0.00021842555408115122,0.0002655508690356316,-0.00037187953106149944,0.0002164466473046204,0.001656431940118385,-3.7977611600600655e-05,-1.0374268091198634e-06,6.502843258773437e-05,0.0003887913442949936,-5.805713710115551e-05,-0.00022194914109003545,-0.0020932998149452773,-0.000406001938812033,-0.00024672235919249964,6.961178104027169e-05,-0.00045095528770502805,0.0004048550776655776,0.00017507184580009446,5.2534244138451936e-05,0.0011736305264861842,0.00030296847647136,0.0003696794293101886,0.00017820170437925816,0.0005098236440591811,0.001801532386786305,0.00029887372448561946,-1.8668407891266368e-05,-9.454868890988559e-05,2.3020521209213043e-05,-2.6945866123036776e-05,-0.0005467278401901848,-0.0003006636666403538,-0.00035742132663270604,-0.0003922477339301275,0.0001099407244057754,-5.864646761619679e-05,-0.0004075564013711595,-0.0004394662501111804,-0.00015288878522454826,-1.3366505567121357e-05,-0.00024951982667783303,-5.127604773694377e-05,-8.001365475041564e-05,0.0009343211629789672,-0.000413067480198397,0.0,-1.9412009654436677e-05,0.0,0.0,-8.74921921550402e-06,8.235648600348041e-06,0.0,0.0,0.0,2.8539952158186e-05,0.0
2022-01-26,0.0018545919992902624,-0.0006090311149593645,-0.0001673163386233051,0.00019805729304221104,-0.0003066488411841182,-9.571006312963766e-05,-0.014830292746505118,-0.00012025257226272545,5.1810954182426614e-05,-0.000451029821181203,-0.0019141456897973524,9.05249599466871e-06,-0.0011554265842521124,-0.01582818743855851,0.00164201954098242,0.0004384736150570904,-0.00015112215244607134,-0.00024349149765604265,-0.0001294389580966378,-0.00027047477993020504,-0.00039473115294049685,0.0015287730062301108,2.541049768829168e-05,0.00011502149218840357,-0.0015936077437176586,-0.0007482172231152713,0.00029181233116959144,3.202267219716231e-05,-0.0011679704510008332,0.0004702207463292904,0.0019455672679623201,4.8976563012611995e-05,-4.1329806242452314e-05,-2.2862323054984425e-05,0.0004555231115690026,-0.0002182235134811847,0.00022923833992295685,-9.872346847017376e-05,2.6393145333892773e-06,-0.00013881657600068863,-0.0006464623963629106,9.998574850830709e-05,-0.00014486153024909678,0.00013789866222862953,-8.945945145602295e-05,3.055548773424554e-05,-6.390179789064874e-05,6.473676869701788e-05,0.00012478547359762065,-2.371446697523347e-05,-0.0001929958185292537,-0.00038289802677622913,-5.168080212304897e-05,-0.00023059600605508993,-0.0002538202005164047,5.879451088359489e-05,-0.0003116055228667717,0.00012305013353385944,0.000570504214653403,-0.00024139216565174823,1.3188121775258778e-05,1.6078218327495122e-05,0.0002683775663123557,1.5377872270801597e-05,8.43469903647183e-05,0.0006020781035835156,-0.00023804791023289686,-0.0005167647615624591,-7.910051424388708e-06,-0.000127699421996141,0.0007083637667658351,0.0002844359558129566,-2.3025541695147296e-05,0.0010414763145559344,0.0001906527100757835,0.00024609996002236326,0.0001784137726599977,0.001035768357937573,-0.0003117063242136664,0.00029954325809405756,-0.00023246802518373452,0.00014971480478136518,6.123548899518708e-06,3.845111252847694e-05,-0.000717603930792094,-0.0002402824792012348,-0.0002593497815679637,-0.0006081867056230719,7.950177888265132e-05,0.0001005876776121567,-0.00010505742034800736,-0.0006529622734669219,-0.00029856028914501697,-8.092422535911204e-05,-0.000278193979096394,-0.00034218966135538963,-0.00032708091573151535,0.000999390430566915,-0.00048462423121170377,0.0,8.337580970184392e-06,0.0,0.0,-5.713910189197201e-07,1.0019637045967925e-05,0.0,0.0,0.0,3.4645669006948694e-05,0.0
2022-02-02,-0.0017802836586615627,5.799567732082847e-05,-0.00015346802331802248,0.00028664179558903283,0.0005258582575425706,-4.124163578910853e-05,-0.0027578848652228395,-0.00044478514776404097,0.000277850855589161,-0.00015167042313543998,-0.0019008606335188716,0.0001785699332192533,0.0011410656519492825,-0.003823839086814458,0.0019446825374790026,-0.00010060606735658894,-0.0007602786296710699,-0.00015709216323740114,-0.0004154979267396769,-0.0003438223469034913,-0.0002168511152636935,0.0018037343353434242,0.0002426646080428678,8.348563184452983e-05,0.0005967509265721785,-3.171058054148437e-05,0.0003140384327787246,-0.00015928000908689235,-0.0004201625637991563,0.0005526425457381952,0.0025525235756303512,0.0010779106691612733,-5.0495912995666194e-05,-6.561561895607532e-05,0.0006530004120553423,-0.0002176108743103878,-0.0003239401850934002,-4.396178103873268e-05,0.0005640657170023485,3.000318178813077e-05,-0.0005382690392322631,-8.007627690233258e-05,2.3136832233208773e-05,0.0003323475530253669,0.00043799264226945274,0.00011057325844173549,-8.318924958845775e-05,0.00028105928040680537,0.00011813532632630743,1.667375288981965e-05,-0.0001929958185292537,-0.00010914829224443866,-0.000217885770689268,-0.00014121852707884238,-0.00019847958317329494,0.00028831614230272456,-0.0003116055228667717,0.00012305013353385944,0.000495067611103458,-0.00014136368301019157,1.3188121775258778e-05,0.00014862521536724595,0.0003888011142753761,1.5377872270801597e-05,0.0002289347361034686,0.00021072462146962733,0.0003233577259829035,-0.0003633588018805961,-6.69728142879576e-05,-0.0002227198078786386,0.0003669444679922684,-2.930803822040401e-05,2.3693294023333883e-05,-0.00020145355100742644,0.00026981267115304354,0.00042916726137782904,0.0004976556613651169,0.0005652123470693249,0.0003591247451218501,0.0006356788923944087,-0.00010713609244143577,-0.00010603854863941675,-9.004584730239912e-06,-0.00010676781077444589,-0.0003436951615355484,0.00016892525107974353,-0.00023057772329454599,-0.0003922477339301275,0.0001208428672382423,3.377279396675274e-05,-0.00010505742034800736,0.0003342998652289809,-0.00014023472816041487,-0.0003088419110284808,-0.0002486700309699656,-0.0005650672186774009,-0.00019134932837321412,0.0015786861671635778,-0.0004502447972477251,0.0,-3.959228618353765e-05,0.0,0.0,-5.713910189197201e-07,8.235648600348041e-06,0.0,0.0,0.0,2.8539952158186e-05,0.0
2022-02-09,0.002258861241501421,-7.327882525908877e-05,0.00019896797886288287,0.00026474515705719916,0.0007381252267182756,-1.2628417480564179e-05,0.011920271658034241,-9.541164550854425e-05,0.00023256646532744975,-0.0004129711106485419,-0.0018136610180158818,-0.0005956552774071488,-0.0013129222610109483,-0.014175331867474735,-0.0030403567218854005,-0.00040004652805728793,-0.0005715243459396433,0.00013320133014754326,9.912950858091317e-05,-0.00027784050067689915,4.1693428366776724e-05,0.0020748730307968448,0.00010937039772084151,-3.0125814225485643e-05,-0.0004301596614608542,0.0006511916620499245,0.000328082264988194,0.00016050537889041508,0.0011077921398099187,0.0005839812334517734,0.002165361704412011,0.00048705916770239383,-0.00045742524706379923,0.00012383963206727443,0.0006530004120553423,-0.00015321477151094352,0.0002790263354057923,-9.872346847017376e-05,2.862730444633327e-05,0.0002213197136049296,-0.0007380330372362455,6.152700756858245e-05,-0.00025543116370860437,0.0003695802058149254,0.0004190349073993725,0.00011150249036246774,-2.8135391492663416e-05,0.0003131202764773721,0.00015404438404324135,-5.3264582904559274e-05,-0.0003758518042700696,-0.00022606835078310724,-0.00043733067775853526,-0.00012141790370449931,-0.0002527416882621553,0.00015296702504033192,-0.00031951512151672803,0.0002164466473046204,0.0011636554205599996,-0.00023059033139662311,-1.0374268091198634e-06,3.8738575858317486e-05,0.0005473836384433193,1.5377872270801597e-05,-0.0001303971256109323,-0.002762471998699103,-0.0002740008697736455,9.949698780134025e-05,0.00013361108819996394,-0.0002513502942671304,0.00039225327014508904,0.0006800223048148456,-2.3025541695147296e-05,-7.59485876222467e-05,0.0002768036961891334,0.00042916726137782904,0.0004238992322071279,0.0001952541472061941,-0.000518136996755989,0.0009107586739081486,-5.1415020703407475e-05,-0.0004551599556880081,2.3020521209213043e-05,7.5229205499382215e-06,-0.00034421088324106916,-0.0004749612119446042,-0.0003884477209394156,-0.00043433089292180694,0.00011424684487545012,9.562032137054447e-05,-0.00020833947413257216,0.00037026458428308435,-9.537946634486539e-05,-0.00015871601517394884,-0.00018926431883314662,-0.000529608567451572,-0.0002346543658064952,0.0009854157130883311,-0.00033295817537066824,0.0,0.00014915947282968952,0.0,0.0,-8.74921921550402e-06,8.235648600348041e-06,0.0,0.0,0.0,2.8539952158186e-05,0.0
2022-02-16,0.0027266922951437304,-0.00033451190235272895,1.0974500193125336e-05,-0.0024655682652700768,-0.00015118034978212313,-9.11263067752967e-05,0.012146721794118118,0.00018915879190921695,0.0006612026411475692,-0.00043862253943329155,-0.0021731010813609494,0.0002478408878002957,0.0016874496156151406,-0.013266844513325587,-0.0041962456785575,-0.00032076010204666383,-0.0003313755461122351,0.00013320133014754326,0.00016346278765201388,-0.00027784050067689915,0.00048725246313869583,0.00233006784470062,0.0003083699638732256,0.0002508822215246013,0.0008509330220303947,-0.0009233315749344463,0.0004071094811067033,9.830970908255398e-05,-0.00022615929180534215,0.0005839812334517734,0.0022589509819459603,0.00108474406279508,-9.461364264921188e-06,0.00012383963206727443,0.0005245575552922998,-0.00020847601053289078,0.00016197936291321524,-9.872346847017376e-05,-0.000357415882166794,0.0002213197136049296,-0.0006550982990429443,6.152700756858245e-05,-0.0002523444165470558,0.00035221335868812736,0.00042590600159182827,-1.6029897990299787e-07,-2.8135391492663416e-05,0.0004634788816019486,0.00012980287168062177,1.667375288981965e-05,-0.0002467348247636703,-0.00010365885562958058,-0.00019717593982536275,-0.00015201435414142583,-0.00021842555408115122,0.0002752603500970709,-0.00037187953106149944,9.529184640815757e-05,9.753688281551276e-05,-0.00023059033139662311,-1.0374268091198634e-06,3.8738575858317486e-05,0.0005905098940653509,1.5377872270801597e-05,-4.1749706318877575e-05,0.001215632051245948,0.00020116653956031856,-0.0004904708556883191,2.8479943531758098e-05,0.00011933700811672366,0.00020351312462234272,6.806107287901818e-05,7.911483728763446e-05,-0.00022456177985092515,-0.0005337725073649406,0.00042916726137782904,0.00045184419304036144,0.0005575347782675597,-0.0006675274161740672,0.0008271356084804153,9.87368262082415e-05,2.1804091510008403e-05,4.403347335298035e-05,-0.0011131126601533175,0.000376258049909384,-0.00033238774858237427,-0.0003286492683592883,-0.0003922477339301275,-0.0002141117044549748,0.0003843950921196786,-0.0003672959257306752,0.0003275359341079258,-0.0001148126917933772,-0.00010348925926639932,-0.00026048241962894675,-0.0005266722279618928,-0.0002346543658064952,0.0010352232704844086,0.0002726528132865803,0.0,0.00014915947282968952,0.0,0.0,1.5846315240464145e-05,8.235648600348041e-06,0.0,0.0,0.0,2.8539952158186e-05,0.0
2022-02-23,0.0031716717614866693,-0.0009890362667455957,0.0007268998912031976,-0.002357476515139244,-0.00030352348825090616,-0.00012822375093196126,0.011815257830925041,0.00015251208889902995,0.0003033130656019601,-0.00043862253943329155,-0.002180342605501133,0.0002632024133045549,0.0017611018183896193,-0.018729716309007414,-0.0041544758860883385,-0.0018286545881106364,-0.0004893623022190413,-0.00011351489133591298,0.00031621655809764587,-0.0007085111408026406,-7.524644412906177e-05,0.005480014826574178,0.000324012525761417,4.9894194267145793e-05,0.0009554532466073023,0.00011839167947027391,0.0003127565948917853,0.0005124321133439893,0.0014404974882858542,0.0006329492005482806,0.002143578272653045,0.0016972214339967997,0.00018647729641134357,0.00016473604221465114,-0.0007004285311018574,-0.00020847601053289078,0.0005548031437933025,-9.872346847017376e-05,-0.00011417363106018183,2.5949747003710176e-05,-0.0007798122990984072,6.152700756858245e-05,-0.00011889300431606668,0.000324387441854345,-0.0010319599571166603,-1.6029897990299787e-07,-1.818161751690783e-05,0.0004634788816019486,9.601270694459327e-05,1.667375288981965e-05,-0.0001424495328546508,-7.392397852407412e-05,-7.109159223783699e-05,-0.0005513490071251484,-6.925175667429221e-05,-0.00041424131285995933,0.00012030790454598167,0.000938788227459438,0.00026549358016126305,-0.00023059033139662311,-1.0374268091198634e-06,8.943660817072236e-05,0.0005851953512846979,1.5377872270801597e-05,0.0005623826929252051,0.000682668048291974,0.0006238287917882271,-0.00035565326204623485,8.47897576640457e-05,0.00011535657734420104,-2.6939890286992573e-05,8.582511819802424e-05,5.8976594718335816e-05,-0.0006370788673115161,-0.000549610181258736,0.0005501283617036348,0.0005772304651225948,0.0008617219366096789,0.0026421872351397317,0.0013685892162349294,8.407424952071935e-05,2.597902329225366e-05,4.403347335298035e-05,-0.00011137352952327002,0.0006244203820384803,0.00012995841815292044,-0.00040029413453447583,-0.00021839192122886247,-0.0003459092262894066,0.0003319342253713185,-0.0003093445482264715,0.0004048158436237835,-0.00014378161238268742,-0.00010348925926639932,-0.00026048241962894675,-0.000489333028280462,-0.0002435974340847017,0.0016015660601344747,0.0001654168062320657,0.0,0.00014915947282968952,0.0,0.0,1.5846315240464145e-05,1.0754938842463785e-05,0.0,0.0,0.0,2.8539952158186e-05,0.0
2022-03-02,-0.0019117051490835917,-0.0007169204223591206,0.0003553620427384168,-0.00017551889485181414,0.00029763896497653837,-0.00014347928099860848,-0.020681062789584908,-1.7491148972127913e-05,0.0004423586801357227,-0.00040462622746389483,-0.001591993461331762,0.0002700009312592309,-0.0014435336702561172,-0.022005702359930844,-0.005590305473013158,-0.002582438087101046,-0.0002042790933799845,3.015095460771975e-06,-9.317535000398367e-05,-0.0001078647675042666,-0.0004409621786873673,0.0014480118254725464,0.00011626306701237313,-0.00012050426487657237,0.0001498823978273044,0.00033658204022682473,-0.0021570433215278772,0.000350949158548394,-0.0006548317831513683,0.0006084106246396446,0.0020171610844801386,0.0017174583372687512,0.00015118785430709826,0.00013779278780992287,0.000142928391414016,-0.00027688794170481126,0.00047367306835104816,3.459499115563771e-05,1.314785958879843e-05,3.355800271742064e-05,-0.000411795126987808,4.331280278673228e-05,0.0003112846548733965,0.0002863899516977089,-3.52322921505341e-05,-0.0001913241268220368,-0.00016801173601529542,4.2231555963425995e-05,0.00035042544683982623,-5.3264582904559274e-05,-0.00021175888270753292,-0.00012310632644463524,-0.00013839153780750382,-0.0003822826191266912,-5.06110789054791e-05,-0.00017143027145261007,-0.0006617910645353562,0.0001776292007379357,0.002159910110140569,-0.00014136368301019157,3.75230983875004e-05,0.00011824984729646491,0.00030980622232314664,-0.00030659584730707444,0.000258216228866741,-0.0010622782911854328,-0.00016632473531597735,-0.0002272208420467176,-1.928837801032108e-05,0.00019720983061091948,4.861566085374067e-05,-0.0005188532532039307,2.791302805659597e-05,7.095427294941341e-05,0.0001906527100757835,0.00034592574755832445,0.0002635562333952921,-0.000279660870399309,0.0011683252553701222,0.00034198408635506967,-0.00014899569376938376,2.6893964160487582e-05,6.123548899518708e-06,-0.0011878120201060205,0.00019215137726377341,7.534751627968748e-05,-0.00036971466903007656,-0.0006081867056230719,-3.2763224967908605e-05,0.0001197772642050583,-0.0005191160472721553,0.00013536190792291097,-0.0006344331521332723,-8.287082293434562e-05,-0.00020697587830059385,-0.0003243386111845886,-0.0003679705857282298,0.0002582658366863783,7.279548163117016e-06,0.0,1.3573711939413835e-05,0.0,0.0,8.371701009765178e-05,-3.835128303934909e-05,0.0,0.0,0.0,3.94655199694857e-05,0.0
2022-03-09,-0.003064566516989452,0.00043899626356109405,-0.00012919940003030544,-3.02388442901714e-05,0.0007816415594396899,2.3706067491545494e-05,-0.011522744059039225,0.00012359534196647402,0.001025863206007495,-0.0003227760799477539,-0.0014117757229231166,0.0003744395328323236,-0.0012785639530561246,-0.0223218170982014,0.005841368908523369,-0.0007270614219850062,0.0017576791687886853,-0.00025828855067820574,-0.0001101836379263253,-0.0003158662926086352,-0.0005686248395211168,0.0037721671644092712,0.00021482180055054648,0.00012575840226397773,0.0002379432054261887,-0.00030905028937078607,0.00043938229565827384,-0.0003558994905346765,-0.0004097344627131415,0.0004692760304063582,0.0022564197138114418,0.0017174583372687512,0.0003210107569995532,0.0001770394377060725,3.749553113727454e-05,-0.0002052718698232923,-6.336371545405143e-05,3.2095138013076347e-05,8.640160077510156e-05,3.355800271742064e-05,-0.000302537320014096,4.331280278673228e-05,-8.088512945598007e-05,0.00024995702364926146,0.0003513685464954168,9.028925366581779e-05,-0.00016529213132409324,-1.863911229568718e-05,0.00019593234894589066,-5.3264582904559274e-05,-0.0001573764198952344,-4.3483210751949865e-05,0.00029094604138956266,-0.00022495819173674308,1.9434380392413075e-05,0.0003634390617856124,-0.0002468527265820768,6.0300473692431514e-05,0.0012084288681428084,-0.00014136368301019157,1.3188121775258778e-05,6.755181498406003e-05,0.0006856834199422942,-0.00030659584730707444,-0.00012099639677576343,-0.0014987204089149692,-0.0015529200671256902,6.0592227521492754e-05,0.0003528523105819528,6.86067719610962e-05,0.0007186190775392499,0.0004623907101797389,-2.887299125848641e-06,0.00024500608672884273,0.00013477403355884385,0.0001874098341098829,0.00016270047799131504,-0.000329820766710304,-0.00027739924560563544,-0.00018770723259570963,-7.317455704745471e-05,2.6893964160487582e-05,-1.48894032442486e-05,-0.0009669753699406439,0.00014753301560299688,0.0008475852444825175,0.00249158630508108,-0.0006081867056230719,-0.0003203948008882193,0.00017615335368373493,-0.0003290641391863191,0.0003116867530692713,-0.0004368747966591716,-0.00013324488966224714,-0.00020697587830059385,-0.00027477810471696854,-0.00033814325879556083,0.0016175248658177907,0.00020057402551354567,0.0,1.3573711939413835e-05,0.0,0.0,-5.713910189197201e-07,4.142028770949016e-05,0.0,0.0,0.0,3.4645669006948694e-05,0.0
