,∆ Salmon (NOK/KG) 1w,∆ Salmon (NOK/KG) 2w,∆ Salmon (NOK/KG) 1m,∆ Salmon (NOK/KG) 3m,∆ Salmon (NOK/KG) 6m,∆ Salmon (NOK/KG) 12m,Acc 1w,Acc 1m,RVol 4w,RVol 13w,RVol 52w,Spread (FP - SSB),∆ Spread (FP - SSB),FWD 1m,∆ FWD 1m,FWD 3m,∆ FWD 3m,FWD 6m,∆ FWD 6m,FWD 12m,∆ FWD 12m,FWD Slope,FWD Curvature,∆ Export Volume 1w,∆ Export Volume 2w,∆ Export Volume 1m,∆ Chilean Exports 1w,∆ Chilean Exports 2w,∆ Chilean Exports 1m,∆ Chilean Exports 3m,∆ Total Biomass Monthly,∆YOY Total Biomass Monthly,Avg Weight (KG) Monthly,YOY Avg Weight (KG) Monthly,Harvest Intensity 1m Monthly,Harvest Intensity 3m Monthly,Loss Rate 1m Monthly,Loss Rate 3m Monthly,Loss Rate 6m Monthly,Smolt Release 2m Monthly,Smolt Release 3m Monthly,Smolt Release 4m Monthly,Smolt Release 5m Monthly,Smolt Release 6m Monthly,Smolt Release 7m Monthly,Smolt Release 8m Monthly,Smolt Release 9m Monthly,Smolt Release 10m Monthly,Smolt Release 11m Monthly,Smolt Release 12m Monthly,Smolt Release 13m Monthly,Smolt Release 14m Monthly,Smolt Release 15m Monthly,Smolt Release 16m Monthly,Smolt Release 17m Monthly,Smolt Release 18m Monthly,ISA Outbreak,ISA Outbreak 1m,ISA Outbreak 3m,Lice Outbreak,Lice Outbreak 1m,Lice Outbreak 3m,Sea Temp,Sea Temp 12m Avg,∆ EURNOK,∆ EURNOK 1w,∆ EURNOK 2w,∆ EURNOK 1m,∆ EURNOK 3m,∆ EURNOK 6m,∆ EURNOK 12m,CPI NO Monthly,NIBOR 3m,∆ Shrimp Price (Global) 1m Monthly,∆ Shrimp Price (Global) 3m Monthly,∆ Shrimp Price (Global) 6m Monthly,∆ Shrimp Price (Global) 12m Monthly,∆ Broiler Price (EU) 1w,∆ Broiler Price (EU) 2w,∆ Broiler Price (EU) 1m,∆ Broiler Price (EU) 3m,∆ Broiler Price (EU) 6m,∆ Broiler Price (EU) 12m,∆ Pig Price (EU),∆ Pig Price (EU) 1w,∆ Pig Price (EU) 2w,∆ Pig Price (EU) 1m,∆ Pig Price (EU) 3m,∆ Pig Price (EU) 6m,∆ Pig Price (EU) 12m,Meat CPI (EU) Monthly,∆ Fishmeal 1m Monthly,∆ Fishmeal 3m Monthly,∆ Fishmeal 6m Monthly,∆ Fishmeal 12m Monthly,Brent FWD Slope,Brent FWD Curvature,Soybean FWD Slope,Soybean FWD Curvature,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11
2022-01-05,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.008789110203664588,-0.006202829011822878,0.0010116875682952104,-1.0197207591907334e-05,-0.00033871842957700413,0.0010248540952786287,0.0003537828600355037,-0.0034381721785008475,0.007107360510037048,9.612760868134461e-05,8.351230301013586e-05,0.0,0.024366030259186797,-0.00011795171272993622,-0.014178738905651864,0.0,0.007169082139418835,-7.10603027145598e-05,-9.627189694469873e-05,-0.0027895454918995663,0.0,-0.0001604713698767828,-0.0017420225224966473,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.004036056028447052,0.018109564853915683,0.006268126264446793,-0.0017868855477512445,0.0,-0.00035678406796913576,2.8124330524523153e-05,0.0,-0.001399554757198238,0.0052684164006011735,0.013958986812521028,0.009275388652525893,0.000339240070035058,0.0,-0.0008225707707454809,0.008734240000533529,0.005390291530736679,-0.000356090734278461,0.0003515501385269695,7.055712562675395e-05,0.0012978727192970044,0.0019245332784176426,0.003310951951617037,0.0009289627060701808,0.0,0.00014587740969230806,0.00519431016768763,0.012426914502129049,0.00551405902837934,-0.0004039929911353497,0.00039587239560335776,0.00019738393016879532,0.0,-4.5838888074068796e-05,-2.581659935750174e-05,0.0,0.0007885085671440657,9.588433344834152e-05,0.0,-0.001044002355451911,0.004375016171568775,-0.0004976165497460316,0.0012185214277679194,0.000497775042907625,-0.0003807428339913197,0.0011622986351033325,-0.001775097215416709,4.1616754690665995e-05,8.963003493322953e-05,9.901125132354686e-05,0.0002569792680539847,-6.448835667919083e-05,0.00018478877026584332,-0.0010465270074619681,-0.0013667856077308291,-0.0015534467656568576,0.0,0.00027645892048103714,0.00029637732912648454,-0.0001140156603179426,-0.01237862765566242,-0.0004252768622415286,-0.0018999773859203102,-0.0004576609309673745,-0.00012102544974325818,0.001795537154480004,-6.15592257015622e-05,0.0008744041698522649,0.0005148436151831816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.008143183929231967,-0.006299278522908043,0.0010116875682952104,-1.0197207591907334e-05,-6.924581204405353e-07,0.0010248540952786287,0.0005929744830059377,-0.0034381721785008475,0.007281470829016756,-0.0002299963816202217,-0.0028345007732236555,0.0,0.02166606440856567,-0.00011795171272993622,-0.015052810023580087,0.0,0.007204137085359788,-7.10603027145598e-05,-9.627189694469873e-05,-0.0028871455228433956,0.0,-0.0001604713698767828,-0.0017420225224966473,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.004036056028447052,0.01740377141910902,0.006158051452709737,-0.0020869985514028505,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.0009259310025148858,0.0052684164006011735,0.013430301288310647,0.009880832600263215,0.00023137125751674612,0.0,-0.0008225707707454809,0.008734240000533529,0.005793244707942361,-0.000356090734278461,0.0003515501385269695,7.477019719716062e-05,0.0012978727192970044,0.0019360508819196436,0.003310951951617037,0.0009289627060701808,0.0,0.00014587740969230806,0.007067366037314858,0.011667131366860779,0.0005927236358483333,-0.0004039929911353497,0.00039587239560335776,-7.357177532840547e-05,0.0,0.0004663888403574001,6.65935870606327e-05,0.0,-0.00044001594148664384,9.588433344834152e-05,0.0,-0.0010306937934357779,0.002469125868508358,-0.0004976165497460316,0.00037772367594242546,0.000497775042907625,9.036475139962562e-05,0.0011622986351033325,-0.001775097215416709,0.00020261187745172716,8.963003493322953e-05,9.901125132354686e-05,0.00025434845213846995,-6.448835667919083e-05,0.00026426831733411554,0.0004144246949549393,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.00029637732912648454,-6.141072229862527e-06,0.001132753411620407,-0.0004252768622415286,-0.0017507442250071844,-0.0004576609309673745,-0.00012102544974325818,0.0030513248112693818,4.28308840750706e-06,0.0009172916381491172,0.008735877887873689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,-1.758863995435937e-05,0.0,-5.987989061269851e-05,-0.008143183929231967,-0.006269251276657314,0.0010116875682952104,-1.0197207591907334e-05,-6.117240781614407e-05,0.0010248540952786287,0.0003590756557785554,-0.0034381721785008475,0.005692949184434041,-0.0002299963816202217,-0.006419971978371017,0.0,0.0028063806378702785,-0.00011795171272993622,-0.01958234339188348,0.0,-0.004561472470117012,-0.00017998235708991905,-9.627189694469873e-05,-0.0028281818849802336,0.0,-0.0001604713698767828,-0.0017420225224966473,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.003943518727103418,0.020046010109612492,0.006830597137606588,0.0017031249571099775,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.0052684164006011735,0.013534781643556456,0.009315504104835639,0.00023137125751674612,0.0,-0.0008225707707454809,0.008586605609868254,0.005793244707942361,-0.000356090734278461,-0.0004131520406420589,7.477019719716062e-05,0.0012978727192970044,0.0019360508819196436,0.0038491705247903265,0.0009371905009377263,0.0,0.00014587740969230806,0.006831081531590942,0.011273255645697353,0.0005927236358483333,-8.656751320194283e-05,0.00039587239560335776,-7.357177532840547e-05,0.0,0.0004663888403574001,-2.581659935750174e-05,0.0,0.0007885085671440657,9.588433344834152e-05,0.0,-0.002244610739543263,0.0028493748488697774,-0.0001233762286418636,9.174102476662091e-05,0.000497775042907625,0.0010405030223097256,0.0013621833899624804,-0.001775097215416709,0.00020261187745172716,-0.0008191976161111404,2.6882324156208916e-05,0.00025434845213846995,-6.448835667919083e-05,0.00026426831733411554,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.00029637732912648454,-6.141072229862527e-06,0.001132753411620407,-0.0005363934799169959,-0.0017507442250071844,-0.000689170955313645,-0.0005343322292530028,0.0030513248112693818,-6.15592257015622e-05,0.00036603340446138635,0.00854321394186632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.008143183929231967,-0.006309262869704921,0.0010116875682952104,-1.0197207591907334e-05,-6.117240781614407e-05,0.0010248540952786287,0.0003590756557785554,-0.0034381721785008475,0.006510013373066048,9.612760868134461e-05,-0.006256144618759425,0.0,0.0031012918386680425,-0.00011795171272993622,-0.01958234339188348,0.0,-0.004474670977291658,-0.00017998235708991905,-9.627189694469873e-05,-0.0028281818849802336,0.0,0.00037547176323981943,-0.0017420225224966473,0.0,-3.604973248079922e-05,-0.00035496194480982103,-5.164661821414753e-05,-0.0039022336257280195,0.021473407294840423,0.006830597137606588,0.0017031249571099775,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.0052684164006011735,0.013344717376270132,0.0097950714328007,0.0006498812128134988,0.0,-0.0008225707707454809,0.008586605609868254,0.0056420201292792195,-0.000356090734278461,-0.0004131520406420589,7.477019719716062e-05,0.0012978727192970044,0.0018789099959604233,0.0038491705247903265,0.0009371905009377263,0.0,0.00014587740969230806,0.006831081531590942,0.012647155144493017,0.0005927236358483333,-8.656751320194283e-05,0.00039587239560335776,-7.357177532840547e-05,0.0,0.0004663888403574001,-2.581659935750174e-05,0.0,0.0007885085671440657,9.588433344834152e-05,0.0,-0.0012193150654215895,0.0038072080892252906,-0.0001233762286418636,0.0003670007598712789,0.000497775042907625,0.0010405030223097256,0.002059098114219292,-0.0017645955908411333,0.00011585704891983347,8.963003493322953e-05,2.6882324156208916e-05,0.00025434845213846995,-6.448835667919083e-05,0.00026426831733411554,0.0005520230054403663,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.00029637732912648454,-6.141072229862527e-06,0.0012864191406073307,-0.0004252768622415286,-0.0017507442250071844,-0.0009618594525048721,-0.0005343322292530028,0.0030513248112693818,-0.0005444390001681616,0.0007668611429507156,0.00854321394186632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.007418994096701297,-0.008011913842934034,0.0010116875682952104,-1.0197207591907334e-05,-0.00039919837927270766,-0.0008695728631419358,0.0003590756557785554,-0.0034381721785008475,0.0010583238822264066,-0.0002299963816202217,-0.004084349925123731,0.0,0.004388264933169865,-0.00011795171272993622,-0.019636503994803427,0.0,-0.004030461850621927,-0.00017998235708991905,-9.627189694469873e-05,-0.002868135229901379,0.0,-0.0001604713698767828,-9.545423117120688e-05,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.003002863963432798,0.019071918194449502,0.007433882573137599,0.0008320983673010893,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.004622463093109434,0.012671004299670852,0.009735741716389017,0.00023137125751674612,0.0,-0.0007269219462236051,-0.006512730679986661,0.005793244707942361,-0.000356090734278461,-0.0008079359283705213,-0.0011065821755624696,0.001697724312173947,0.0019360508819196436,0.0038415415130917526,0.001548669648655829,0.0,0.00014587740969230806,0.007894909648635387,0.012643927245530713,0.0005927236358483333,-8.656751320194283e-05,0.00039587239560335776,-7.357177532840547e-05,0.0,0.0004663888403574001,6.65935870606327e-05,0.0,-0.00044001594148664384,-0.0001165831736848089,0.0,-0.002252475655473821,0.004468699319274047,-0.0001233762286418636,0.00037772367594242546,-0.00041897160603570553,0.0010405030223097256,0.0013621833899624804,-0.0018130431170520847,0.00020261187745172716,8.963003493322953e-05,-0.0004669035248183654,0.00025434845213846995,-6.448835667919083e-05,0.00026426831733411554,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.0003092564790776444,-6.141072229862527e-06,0.0011072293095561187,-0.0005798436358168185,-0.0013838286284936156,-0.005334829082009848,-0.0008336589615134261,0.0030513248112693818,-0.0005444390001681616,0.00036603340446138635,0.00886813996065263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.0074450973931259245,-0.008064586670095998,0.0010116875682952104,-1.0197207591907334e-05,-0.00039919837927270766,-0.0007046849256228589,0.0003590756557785554,-0.004518917498886959,0.0067904158937712854,9.612760868134461e-05,-0.004364667808021002,0.0,-0.0355982133898638,-0.0001796709949415977,-0.019636503994803427,0.0,-0.004548756698600707,-0.00017998235708991905,-9.627189694469873e-05,-0.002868135229901379,0.0,-0.0001604713698767828,0.0016065660188598226,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.003002863963432798,0.019789297807908807,0.006423321797485298,0.0017031249571099775,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.004622463093109434,0.011901899664914074,0.00926513933385486,0.0006498812128134988,0.0,-0.0007269219462236051,-0.006512730679986661,0.0056420201292792195,-0.000356090734278461,-0.00192981475303998,-0.0011065821755624696,-0.0011412986901837045,0.0013706753971187324,0.0038516530558016203,0.0015208884643220896,0.0,0.00014587740969230806,0.006831081531590942,0.012521003645944481,0.0005927236358483333,-8.656751320194283e-05,0.00039587239560335776,-7.357177532840547e-05,0.0,0.0004663888403574001,-2.581659935750174e-05,0.0,-0.00044001594148664384,9.588433344834152e-05,0.0,-0.0011561773709351485,0.0028493748488697774,-0.0001233762286418636,0.0003670007598712789,-0.00041897160603570553,0.0011319415868132632,0.0013621833899624804,-0.001775097215416709,0.00020261187745172716,8.963003493322953e-05,2.6882324156208916e-05,0.00025434845213846995,4.954882137404275e-05,0.00026426831733411554,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.0003092564790776444,-6.141072229862527e-06,0.000750715111839932,-0.0005798436358168185,-0.0013838286284936156,-0.005334829082009848,-0.0008336589615134261,0.001926963170643297,-0.0005444390001681616,0.0009172916381491172,0.00886813996065263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.008310527481825349,-0.007731941508128826,0.0005164490310750339,-1.0197207591907334e-05,-0.0004413288740097509,-0.0007046849256228589,-0.0005599645816170149,-0.00447842608294242,-0.024678193071183168,-0.0002299963816202217,-0.0033365484611051098,0.0,-0.04329717630563353,-0.0001796709949415977,-0.020604374493587815,0.0,-0.015164793382231263,-0.00017998235708991905,-9.627189694469873e-05,-0.003236801320319174,0.0,-0.0001604713698767828,-9.545423117120688e-05,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.0032517281504637835,0.025338989011526373,0.006880698003297314,0.0017031249571099775,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.0017845651473688004,0.0037551371525222296,0.011710051593034855,0.009290486495159367,0.00023137125751674612,0.0,-0.0007269219462236051,-0.0066826134748125526,0.005541516109399821,-0.0001492718893925289,-0.00192981475303998,-0.002317690108410494,-0.0011840066492210082,0.0013135345111595122,0.003632866339760081,0.0015208884643220896,0.0,0.00014587740969230806,0.006831081531590942,0.016323688528232422,0.0006855045191095927,-8.656751320194283e-05,0.00035765264291229385,-7.357177532840547e-05,0.0,0.00023973069824827567,-2.581659935750174e-05,0.0,-0.0005486827621335731,-0.00028897842587379707,0.0,-0.002214361438410822,0.000845153453660039,0.0011662070835808964,0.0003670007598712789,-0.00041897160603570553,0.0012765382024107123,0.002059098114219292,-0.0018130431170520847,4.1616754690665995e-05,8.963003493322953e-05,2.6882324156208916e-05,0.00025434845213846995,4.954882137404275e-05,4.319286934875092e-05,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.0003092564790776444,-6.141072229862527e-06,3.858091935388661e-05,-0.0009765128118234053,-0.0015030481171140915,-0.005334829082009848,-0.0008336589615134261,0.001926963170643297,0.0003763628326868926,0.00036603340446138635,-0.00293557382634208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,0.00027311525591016815,0.0,1.8968707490560357e-05,-0.008310527481825349,-0.007788379426166385,0.0005164490310750339,-1.0197207591907334e-05,-0.00039919837927270766,0.0007666104872524277,-0.0005495885215778744,-0.00447842608294242,-0.028653918393814707,-0.0002299963816202217,-0.0033365484611051098,0.0,-0.04344366308403101,-0.0001796709949415977,-0.020604374493587815,0.0,-0.014561674683172439,-0.00017998235708991905,-9.627189694469873e-05,-0.003236801320319174,0.0,-0.0001604713698767828,0.0005262284141860129,0.0,-3.604973248079922e-05,0.00021723998931778878,-5.164661821414753e-05,-0.0032517281504637835,0.024776584768207013,0.0069559396487796485,0.0017031249571099775,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.0037551371525222296,0.012318492460927954,0.009369554209436505,0.00023137125751674612,0.0,-0.0008225707707454809,-0.006512730679986661,0.004036095393390478,-0.0001492718893925289,-0.0016453718424271208,-0.002317690108410494,-0.0011840066492210082,0.0013135345111595122,0.003632866339760081,0.0015208884643220896,0.0,0.00014587740969230806,0.007894909648635387,0.01607658657622727,0.0006855045191095927,-8.656751320194283e-05,0.00035765264291229385,-7.357177532840547e-05,0.0,0.00023973069824827567,-2.581659935750174e-05,0.0,-0.0005486827621335731,-0.00028897842587379707,0.0,-0.0021354939120632652,-0.0006539223321635489,0.0011662070835808964,0.0003501185110741645,-0.00041897160603570553,0.0010572435875274913,0.002557866667821577,-0.0018130431170520847,-0.003833488278185472,-0.0008191976161111404,-0.0004669035248183654,0.00025434845213846995,4.954882137404275e-05,0.00012267241641702314,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.0003092564790776444,-6.141072229862527e-06,-0.00310285041774689,-0.0009765128118234053,-0.0015030481171140915,-0.005334829082009848,-0.0008336589615134261,0.001926963170643297,0.0003763628326868926,0.00036603340446138635,0.0066729718647602285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.008310527481825349,-0.007828391019213992,0.0005164490310750339,0.00017230666161710084,-0.00039919837927270766,0.0007666104872524277,-0.0005495885215778744,-0.005700701215882362,-0.02822819927368892,0.00024044747839623213,-0.0031727211014935175,0.0,-0.03861575013772743,-0.0001796709949415977,-0.01785287730769799,0.0,-0.015189571977946167,-0.00017998235708991905,-9.627189694469873e-05,-0.004422686855052232,0.0,-0.0001604713698767828,0.0005262284141860129,0.0,-3.604973248079922e-05,-0.00035496194480982103,-5.164661821414753e-05,-0.0032517281504637835,0.0254300515191864,0.006124425649842258,0.0010849671006880669,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.0007806658171363509,0.012793168117878234,0.00895573361779652,0.00023137125751674612,0.0,-4.208729261306573e-06,-0.007873823167977176,-0.0034545423980609476,-0.0001492718893925289,0.0027900701364788187,-0.0014842963962267597,-0.001178195664442046,-0.0019265673470471917,0.003427213042504783,0.0015208884643220896,0.0,-2.7408675108867463e-05,0.006731993429376697,0.01660970765254261,0.0006855045191095927,0.0004946201819712014,0.0003270181066741118,-7.357177532840547e-05,0.0,-0.00016415755594042145,6.65935870606327e-05,0.0,-0.0005486827621335731,0.00023767155130612557,0.0,-0.0021354939120632652,-0.0008639058908940249,0.00018525296191920982,0.00037772367594242546,-0.00041897160603570553,0.0011368701754131175,-0.0010844511507237913,-0.0018331968830847623,-2.525938250944542e-06,8.963003493322953e-05,2.6882324156208916e-05,0.00025434845213846995,4.954882137404275e-05,0.00012267241641702314,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.00033038183169417775,0.0003092564790776444,-6.141072229862527e-06,-0.002839678697488469,-0.0011389697342322903,0.0030586900198607842,-0.002480771541418184,-0.0011463009424491593,-0.0017300085477683193,0.0003763628326868926,0.00021560290926298477,0.008595733534771128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,-1.758863995435937e-05,0.0,1.8968707490560357e-05,-0.008310527481825349,-0.007828391019213992,0.0005164490310750339,-1.0197207591907334e-05,-0.00039919837927270766,0.0007666104872524277,-0.0005336760895048014,-0.005700701215882362,-0.01930523326334015,0.00024044747839623213,-0.0030781250261819183,0.0,-0.03861575013772743,-0.0001796709949415977,-0.017172435167396208,0.0,-0.015212372931915765,-0.00017998235708991905,-9.627189694469873e-05,-0.004422686855052232,0.0,-0.0001604713698767828,-9.545423117120688e-05,0.0,0.00024408005906252858,-0.0003310528395491207,-5.164661821414753e-05,-0.0032517281504637835,0.024533977090003087,0.006538747338500092,0.00021394051087917848,0.0,-0.00035678406796913576,9.309813518796405e-05,0.0,-0.001310941392685448,0.0007806658171363509,0.012793168117878234,0.008981032239953616,0.00023137125751674612,0.0,-4.208729261306573e-06,-0.007873823167977176,-0.0034545423980609476,-0.0001492718893925289,0.0027900701364788187,-0.0014842963962267597,-0.001178195664442046,-0.0019429544668205132,0.003632866339760081,0.0015208884643220896,0.0,-2.7408675108867463e-05,0.006731993429376697,0.015235808153746954,0.0006855045191095927,0.0004946201819712014,0.0003270181066741118,-7.357177532840547e-05,0.0,-0.00016415755594042145,-2.581659935750174e-05,0.0,0.0009832395097433633,0.00023767155130612557,0.0,-0.0022064965224802644,0.0051215043128879575,0.00018525296191920982,0.0004489027738505113,-0.0004960046259478104,0.0011368701754131175,-0.0005844739852949721,-0.0018505109560020042,-0.000753457817461284,8.963003493322953e-05,2.6882324156208916e-05,-0.00012909694654976341,4.954882137404275e-05,0.00012267241641702314,-0.0013939974884857732,-0.0013667856077308291,-0.0015534467656568576,0.0,-0.0026728163154849352,-0.0018600955361074624,7.22524394018271e-07,-0.0023190924031974073,-0.0011389697342322903,0.0030586900198607842,-0.002480771541418184,-0.0011463009424491593,-0.0017300085477683193,0.0003763628326868926,-0.001983799179386192,0.008704729280415723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
