Horizon,Feature,Importance
2w,FWD 1m,0.02893922141596713
2w,FWD 12m,0.005135455279481221
2w,Smolt Release 10m Monthly,0.004524555321386572
2w,∆ Total Biomass Monthly,0.004352778459277166
2w,Sea Temp,0.00426309926951685
2w,Harvest Intensity 1m Monthly,0.004046705468528997
2w,∆ Salmon (NOK/KG) 2w,0.004042133181382465
2w,Smolt Release 16m Monthly,0.003788425122558995
2w,YOY Avg Weight (KG) Monthly,0.003418288843053375
2w,FWD 3m,0.0029031711596162147
2w,Lice Outbreak 3m,0.002603818660541579
2w,Smolt Release 9m Monthly,0.002562058312630549
2w,Smolt Release 4m Monthly,0.0024852402423705283
2w,Spread (FP - SSB),0.0024180820171585426
2w,∆ Export Volume 2w,0.0023875522485059656
2w,∆ FWD 6m,0.00199760791712884
2w,Smolt Release 5m Monthly,0.0018976360650069292
2w,∆YOY Total Biomass Monthly,0.0018688991365472542
2w,∆ Export Volume 1m,0.0018523347533610996
2w,Brent FWD Curvature,0.0017615417547388688
2w,Brent FWD Slope,0.0017251262242474765
2w,Smolt Release 8m Monthly,0.0016599405684997878
2w,FWD 6m,0.0016541895764556535
2w,∆ Shrimp Price (Global) 6m Monthly,0.0016183218195186064
2w,∆ Shrimp Price (Global) 1m Monthly,0.0016023877132278423
2w,Loss Rate 3m Monthly,0.0016017515657080047
2w,∆ FWD 1m,0.0015972100342782943
2w,Loss Rate 1m Monthly,0.0015178697172918737
2w,Acc 1m,0.0014739887452812084
2w,∆ FWD 12m,0.001325787429896986
2w,∆ FWD 3m,0.0013160039091064512
2w,Smolt Release 6m Monthly,0.00130647522333583
2w,∆ Broiler Price (EU) 2w,0.0012623008566450486
2w,∆ Pig Price (EU) 1m,0.001251228404639423
2w,RVol 52w,0.001236607604902972
2w,∆ Export Volume 1w,0.0012364225748197019
2w,Avg Weight (KG) Monthly,0.001234223552882171
2w,∆ Pig Price (EU) 2w,0.001215789519788413
2w,FWD Slope,0.0011883160027545195
2w,Smolt Release 17m Monthly,0.001151413106010249
2w,Smolt Release 7m Monthly,0.0011306794570595396
2w,Harvest Intensity 3m Monthly,0.001119170689679726
2w,∆ Fishmeal 12m Monthly,0.0010842545280377413
2w,Smolt Release 18m Monthly,0.0010769367612937545
2w,∆ Salmon (NOK/KG) 3m,0.0010572830568810181
2w,∆ Broiler Price (EU) 1w,0.0010509110100694248
2w,Soybean FWD Slope,0.0010247200155539238
2w,CPI NO Monthly,0.0010079590761624309
2w,NIBOR 3m,0.0009526137223452534
2w,∆ Fishmeal 3m Monthly,0.0009396100235115242
2w,∆ Pig Price (EU) 3m,0.0009175631576670604
2w,RVol 4w,0.0009158752763379831
2w,∆ Pig Price (EU),0.0008760009657422096
2w,Meat CPI (EU) Monthly,0.0008724309783084516
2w,∆ Salmon (NOK/KG) 1w,0.0008672329433750909
2w,Smolt Release 13m Monthly,0.0008663900150450089
2w,∆ Broiler Price (EU) 6m,0.0008562614879579773
2w,ISA Outbreak 1m,0.0008151453926393676
2w,Soybean FWD Curvature,0.0007947323031229517
2w,RVol 13w,0.0007945318403957879
2w,∆ Salmon (NOK/KG) 12m,0.0007813747925709565
2w,ISA Outbreak 3m,0.0007729316873824701
2w,Smolt Release 11m Monthly,0.0007697138451726257
2w,∆ Pig Price (EU) 1w,0.0007322607083066696
2w,∆ Salmon (NOK/KG) 1m,0.0007125947494098127
2w,∆ EURNOK,0.0007076033951701822
2w,∆ Fishmeal 1m Monthly,0.0007028839763836694
2w,Lice Outbreak 1m,0.0006959019551289689
2w,∆ Fishmeal 6m Monthly,0.0006943255736090966
2w,∆ Shrimp Price (Global) 3m Monthly,0.0006875853019755404
2w,Sea Temp 12m Avg,0.000672430551780698
2w,FWD Curvature,0.0006559314551262831
2w,∆ Chilean Exports 2w,0.0006531635577111198
2w,∆ EURNOK 6m,0.0006451988376335808
2w,∆ EURNOK 2w,0.0006446814842151281
2w,∆ Pig Price (EU) 12m,0.0006347342511578741
2w,∆ Shrimp Price (Global) 12m Monthly,0.0006293762471866708
2w,∆ Chilean Exports 3m,0.0006249044079125492
2w,∆ EURNOK 1m,0.0006167522910450821
2w,∆ EURNOK 12m,0.0005954630759218239
2w,Smolt Release 3m Monthly,0.000564334369680056
2w,∆ Broiler Price (EU) 3m,0.0005436136345594345
2w,∆ EURNOK 1w,0.0005416029275336744
2w,∆ Broiler Price (EU) 1m,0.0005312565708844473
2w,∆ EURNOK 3m,0.0005233469294469305
2w,∆ Chilean Exports 1w,0.0005210144494393969
2w,Smolt Release 2m Monthly,0.0005161841671975593
2w,Smolt Release 14m Monthly,0.000510470934314107
2w,∆ Broiler Price (EU) 12m,0.0005074201700675001
2w,Smolt Release 12m Monthly,0.000489088967998897
2w,Smolt Release 15m Monthly,0.0004813358593031102
2w,ISA Outbreak,0.00047065133475904784
2w,∆ Salmon (NOK/KG) 6m,0.0004653984371168912
2w,Loss Rate 6m Monthly,0.00045672492194915513
2w,Month_02,0.0004039912853554555
2w,∆ Spread (FP - SSB),0.000386611779917155
2w,Acc 1w,0.0003670951473937877
2w,∆ Chilean Exports 1m,0.0003380923755448379
2w,Lice Outbreak,0.00033666740692565373
2w,∆ Pig Price (EU) 6m,0.00028882502413503207
2w,Month_07,5.3942847904397884e-05
2w,Month_06,5.280603915385528e-05
2w,Month_05,3.5636634781584836e-05
2w,Month_09,3.334905838657478e-05
2w,Month_10,2.684819883335486e-05
2w,Month_01,2.0401016757579712e-05
2w,Month_08,1.8162145990006603e-05
2w,Month_03,1.375899721146855e-05
2w,Month_04,0.0
2w,Month_11,0.0
