Horizon,Feature,Importance
6m,FWD 6m,0.05351110310634834
6m,FWD 3m,0.02555137432685955
6m,FWD Slope,0.020805657105602383
6m,ISA Outbreak 1m,0.019413360226338064
6m,FWD 12m,0.01877089474553657
6m,FWD Curvature,0.016813891375568914
6m,∆ Total Biomass Monthly,0.012471127305706608
6m,Spread (FP - SSB),0.012323176450999647
6m,ISA Outbreak,0.0120640898801317
6m,ISA Outbreak 3m,0.011387084450675402
6m,NIBOR 3m,0.009816440455555735
6m,Sea Temp,0.008305724141233584
6m,Harvest Intensity 1m Monthly,0.008175167884920155
6m,Smolt Release 13m Monthly,0.007726340521305945
6m,∆ Shrimp Price (Global) 12m Monthly,0.00741243851041268
6m,∆ Shrimp Price (Global) 6m Monthly,0.006891245156174832
6m,Smolt Release 14m Monthly,0.006859709938212152
6m,Meat CPI (EU) Monthly,0.006346441021653069
6m,∆ Fishmeal 6m Monthly,0.006240265450711701
6m,Sea Temp 12m Avg,0.0054806871278303675
6m,Smolt Release 18m Monthly,0.004817929847944909
6m,∆YOY Total Biomass Monthly,0.004469767750447461
6m,RVol 52w,0.0044682535805607515
6m,Brent FWD Slope,0.0038155984485121913
6m,∆ EURNOK 12m,0.0037234102056245026
6m,∆ Salmon (NOK/KG) 12m,0.0034328695500657233
6m,∆ Fishmeal 3m Monthly,0.003202463142545315
6m,Smolt Release 17m Monthly,0.0026433774796502546
6m,FWD 1m,0.002524215885111526
6m,Smolt Release 5m Monthly,0.002354873067078536
6m,Smolt Release 2m Monthly,0.0023253561474436035
6m,∆ Pig Price (EU) 6m,0.001990353669565127
6m,∆ Shrimp Price (Global) 3m Monthly,0.001969368534558317
6m,Soybean FWD Slope,0.0019365537696518966
6m,Brent FWD Curvature,0.0017958954665373758
6m,Loss Rate 1m Monthly,0.0017686480402356942
6m,∆ Pig Price (EU),0.001722956328610189
6m,∆ Pig Price (EU) 1w,0.0016304766929341294
6m,Loss Rate 6m Monthly,0.0016098365198081682
6m,YOY Avg Weight (KG) Monthly,0.0015174329531331653
6m,Smolt Release 12m Monthly,0.0013917717654635443
6m,Smolt Release 11m Monthly,0.0013365203547655116
6m,∆ FWD 1m,0.0012984370260109772
6m,∆ Salmon (NOK/KG) 1m,0.0012881179405055568
6m,∆ Salmon (NOK/KG) 3m,0.0012317910176787234
6m,Smolt Release 8m Monthly,0.0011313429981232317
6m,RVol 13w,0.001074836335519929
6m,Smolt Release 7m Monthly,0.0010619651293321496
6m,Smolt Release 9m Monthly,0.0009972700021223897
6m,∆ Fishmeal 12m Monthly,0.0009883594932065152
6m,Smolt Release 6m Monthly,0.0009273091425852418
6m,∆ Fishmeal 1m Monthly,0.0009127430516653545
6m,∆ Pig Price (EU) 1m,0.0008954794533810213
6m,∆ Chilean Exports 3m,0.0008714749764615395
6m,Avg Weight (KG) Monthly,0.000826209462634195
6m,CPI NO Monthly,0.0007438498072548348
6m,Soybean FWD Curvature,0.0006490820968480232
6m,∆ Pig Price (EU) 2w,0.0006325237429160186
6m,∆ Pig Price (EU) 3m,0.0006059731031562917
6m,Smolt Release 4m Monthly,0.0006018621847885008
6m,∆ EURNOK 6m,0.000593743277038953
6m,Smolt Release 10m Monthly,0.0005694582897887166
6m,∆ Broiler Price (EU) 6m,0.0004116316609332274
6m,∆ Export Volume 1m,0.00036412762727591286
6m,Lice Outbreak,0.0003513929115950131
6m,∆ Broiler Price (EU) 12m,0.0003385933494294623
6m,∆ EURNOK 3m,0.0003376963783123863
6m,∆ EURNOK,0.0003085669148720116
6m,Smolt Release 15m Monthly,0.00030299691903729753
6m,∆ Salmon (NOK/KG) 6m,0.0002966545701566646
6m,Harvest Intensity 3m Monthly,0.00029576385794684366
6m,∆ Export Volume 2w,0.0002368979768629219
6m,Lice Outbreak 3m,0.00019059841959591123
6m,Smolt Release 16m Monthly,0.0001670371379468273
6m,Loss Rate 3m Monthly,0.00016481478706129827
6m,∆ FWD 3m,0.00016442872495208848
6m,Acc 1w,0.00014933324232614895
6m,∆ EURNOK 2w,0.00010474933420330981
6m,RVol 4w,9.503058875153907e-05
6m,Month_05,9.436305467417929e-05
6m,∆ EURNOK 1m,8.553382499150333e-05
6m,Lice Outbreak 1m,7.996984090541996e-05
6m,∆ EURNOK 1w,5.281837611974088e-05
6m,∆ Salmon (NOK/KG) 1w,4.199414256271068e-05
6m,Acc 1m,3.248168274872847e-05
6m,∆ Chilean Exports 1m,2.8188804546940048e-05
6m,Smolt Release 3m Monthly,5.377267065719395e-06
6m,∆ Shrimp Price (Global) 1m Monthly,4.645274391288403e-06
6m,∆ Broiler Price (EU) 3m,0.0
6m,Month_01,0.0
6m,Month_10,0.0
6m,Month_09,0.0
6m,Month_08,0.0
6m,Month_07,0.0
6m,Month_06,0.0
6m,Month_04,0.0
6m,Month_03,0.0
6m,Month_02,0.0
6m,∆ FWD 6m,0.0
6m,∆ Spread (FP - SSB),0.0
6m,∆ Broiler Price (EU) 1m,0.0
6m,∆ FWD 12m,0.0
6m,∆ Export Volume 1w,0.0
6m,∆ Chilean Exports 1w,0.0
6m,∆ Chilean Exports 2w,0.0
6m,∆ Salmon (NOK/KG) 2w,0.0
6m,∆ Pig Price (EU) 12m,0.0
6m,∆ Broiler Price (EU) 1w,0.0
6m,∆ Broiler Price (EU) 2w,0.0
6m,Month_11,0.0
