Horizon,Fold,Feature,Importance
0w,1,∆ Salmon (NOK/KG) 1w,0.0014060261933151073
0w,1,∆ Salmon (NOK/KG) 2w,0.0004039317764713733
0w,1,∆ Salmon (NOK/KG) 1m,0.00015788859961012066
0w,1,∆ Salmon (NOK/KG) 3m,0.000593046346134855
0w,1,∆ Salmon (NOK/KG) 6m,0.0004489835729645827
0w,1,∆ Salmon (NOK/KG) 12m,0.0009456136200150924
0w,1,Acc 1w,0.007715045206220553
0w,1,Acc 1m,0.00032851291604018055
0w,1,RVol 4w,0.00026704028814586927
0w,1,RVol 13w,0.0002701810251771618
0w,1,RVol 52w,0.0011175260013259684
0w,1,Spread (FP - SSB),0.0001693144083524251
0w,1,∆ Spread (FP - SSB),0.0017322486187029992
0w,1,FWD 1m,0.014892535651487371
0w,1,∆ FWD 1m,0.0033288909203294114
0w,1,FWD 3m,0.0003485470935464851
0w,1,∆ FWD 3m,0.0005372119727928968
0w,1,FWD 6m,0.00013246664521563103
0w,1,∆ FWD 6m,0.0003268539250435957
0w,1,FWD 12m,0.0004466651192796481
0w,1,∆ FWD 12m,0.0007541232683095717
0w,1,FWD Slope,0.0006831791402740717
0w,1,FWD Curvature,0.00038350404826416725
0w,1,∆ Export Volume 1w,0.00043892671583055707
0w,1,∆ Export Volume 2w,0.0005366550019029083
0w,1,∆ Export Volume 1m,0.0015983515663322955
0w,1,∆ Chilean Exports 1w,0.00047691043204486433
0w,1,∆ Chilean Exports 2w,0.0002749043762446436
0w,1,∆ Chilean Exports 1m,0.0005262135041110554
0w,1,∆ Chilean Exports 3m,0.0012280871601165742
0w,1,∆ Total Biomass Monthly,0.0029528642293096363
0w,1,∆YOY Total Biomass Monthly,0.0006652487785409768
0w,1,Avg Weight (KG) Monthly,0.0007810221146589749
0w,1,YOY Avg Weight (KG) Monthly,0.0008573114938365972
0w,1,Harvest Intensity 1m Monthly,0.0007344442324060729
0w,1,Harvest Intensity 3m Monthly,0.0004545383150124784
0w,1,Loss Rate 1m Monthly,0.00027779348468776277
0w,1,Loss Rate 3m Monthly,0.0005454691572452924
0w,1,Loss Rate 6m Monthly,0.0001707310397973531
0w,1,Smolt Release 2m Monthly,0.00013166930678450993
0w,1,Smolt Release 3m Monthly,0.0002691405735882091
0w,1,Smolt Release 4m Monthly,0.000779123547822604
0w,1,Smolt Release 5m Monthly,0.0004490631792330369
0w,1,Smolt Release 6m Monthly,0.0001544098565104126
0w,1,Smolt Release 7m Monthly,0.0005623405734369786
0w,1,Smolt Release 8m Monthly,0.0007268003720491092
0w,1,Smolt Release 9m Monthly,0.0009549329936114027
0w,1,Smolt Release 10m Monthly,0.0004836990638129556
0w,1,Smolt Release 11m Monthly,0.00022279212602597623
0w,1,Smolt Release 12m Monthly,0.00011867256972025543
0w,1,Smolt Release 13m Monthly,0.00026831149334284376
0w,1,Smolt Release 14m Monthly,0.00016619717377827373
0w,1,Smolt Release 15m Monthly,0.00013521037974914926
0w,1,Smolt Release 16m Monthly,0.0009137870223387896
0w,1,Smolt Release 17m Monthly,0.00034717829806593745
0w,1,Smolt Release 18m Monthly,0.0004601444268151674
0w,1,ISA Outbreak,0.0002417212437300698
0w,1,ISA Outbreak 1m,0.000256720295583379
0w,1,ISA Outbreak 3m,0.00031534782272677755
0w,1,Lice Outbreak,0.0005284837669664224
0w,1,Lice Outbreak 1m,0.00026920700123571025
0w,1,Lice Outbreak 3m,0.00047144941010477857
0w,1,Sea Temp,0.0018873460611495312
0w,1,Sea Temp 12m Avg,0.0002717146683183296
0w,1,∆ EURNOK,0.0007729144516400176
0w,1,∆ EURNOK 1w,0.0005225941046760784
0w,1,∆ EURNOK 2w,0.0006907477368104818
0w,1,∆ EURNOK 1m,0.0005551539353039005
0w,1,∆ EURNOK 3m,0.00044095905417654036
0w,1,∆ EURNOK 6m,0.0002396583773062099
0w,1,∆ EURNOK 12m,0.00017754435331208393
0w,1,CPI NO Monthly,0.00021082286868054394
0w,1,NIBOR 3m,0.00041409774207023636
0w,1,∆ Shrimp Price (Global) 1m Monthly,0.0002579477590259399
0w,1,∆ Shrimp Price (Global) 3m Monthly,0.0005567017656515588
0w,1,∆ Shrimp Price (Global) 6m Monthly,0.0004465528314913663
0w,1,∆ Shrimp Price (Global) 12m Monthly,0.00038160033440583197
0w,1,∆ Broiler Price (EU) 1w,0.0008098763902979216
0w,1,∆ Broiler Price (EU) 2w,0.0008001392700074097
0w,1,∆ Broiler Price (EU) 1m,0.0014244454280418202
0w,1,∆ Broiler Price (EU) 3m,0.0007444461001467022
0w,1,∆ Broiler Price (EU) 6m,0.0005817053544824854
0w,1,∆ Broiler Price (EU) 12m,0.00038363280939034177
0w,1,∆ Pig Price (EU),0.0006229488556309235
0w,1,∆ Pig Price (EU) 1w,0.00047039959069090594
0w,1,∆ Pig Price (EU) 2w,0.00018608658731288644
0w,1,∆ Pig Price (EU) 1m,0.0009297366517090098
0w,1,∆ Pig Price (EU) 3m,0.00022958702823801727
0w,1,∆ Pig Price (EU) 6m,0.00023329966690713392
0w,1,∆ Pig Price (EU) 12m,0.00021810533314071747
0w,1,Meat CPI (EU) Monthly,0.00013535692882512437
0w,1,∆ Fishmeal 1m Monthly,0.0007903353927757564
0w,1,∆ Fishmeal 3m Monthly,0.00010261890730616177
0w,1,∆ Fishmeal 6m Monthly,0.0002982762755814224
0w,1,∆ Fishmeal 12m Monthly,0.00028216169821439446
0w,1,Brent FWD Slope,0.00024761049315012853
0w,1,Brent FWD Curvature,0.0008845657497692702
0w,1,Soybean FWD Slope,0.00041937105460215204
0w,1,Soybean FWD Curvature,0.0002880894031095571
0w,1,Month_01,0.0
0w,1,Month_02,6.747296779792937e-05
0w,1,Month_03,0.0
0w,1,Month_04,1.3782834077180737e-05
0w,1,Month_05,5.4554221375788394e-05
0w,1,Month_06,0.0
0w,1,Month_07,2.4519226823804385e-05
0w,1,Month_08,4.7402679450603065e-05
0w,1,Month_09,0.0
0w,1,Month_10,0.0
0w,1,Month_11,0.0
0w,2,∆ Salmon (NOK/KG) 1w,0.0036818880235808993
0w,2,∆ Salmon (NOK/KG) 2w,0.00031909059477071153
0w,2,∆ Salmon (NOK/KG) 1m,0.0005018643119602192
0w,2,∆ Salmon (NOK/KG) 3m,0.0005060713903682856
0w,2,∆ Salmon (NOK/KG) 6m,0.0004407487639839873
0w,2,∆ Salmon (NOK/KG) 12m,0.0002407789183544958
0w,2,Acc 1w,0.012234329815839202
0w,2,Acc 1m,0.0004920755849104716
0w,2,RVol 4w,0.0008386288556942368
0w,2,RVol 13w,0.0006994569388466854
0w,2,RVol 52w,0.0009329687404987973
0w,2,Spread (FP - SSB),0.0006105307262035258
0w,2,∆ Spread (FP - SSB),0.00120941578935931
0w,2,FWD 1m,0.019366042076675374
0w,2,∆ FWD 1m,0.0033880978109285544
