Horizon,Fold,Feature,Importance
1m,1,∆ Salmon (NOK/KG) 1w,0.0004144614112096851
1m,1,∆ Salmon (NOK/KG) 2w,0.00030703115788835737
1m,1,∆ Salmon (NOK/KG) 1m,0.0002675067243799921
1m,1,∆ Salmon (NOK/KG) 3m,0.0004563985539733301
1m,1,∆ Salmon (NOK/KG) 6m,0.0007360656821207895
1m,1,∆ Salmon (NOK/KG) 12m,0.00032401298885395677
1m,1,Acc 1w,0.00011697724563470392
1m,1,Acc 1m,0.0002963553831173441
1m,1,RVol 4w,0.0014641062699406538
1m,1,RVol 13w,0.0008490456562454511
1m,1,RVol 52w,0.0008194815353334007
1m,1,Spread (FP - SSB),0.000441405587861337
1m,1,∆ Spread (FP - SSB),0.0004605180761050367
1m,1,FWD 1m,0.039086814069896364
1m,1,∆ FWD 1m,0.00041969042826829346
1m,1,FWD 3m,0.0027937198729234944
1m,1,∆ FWD 3m,0.0009933939433538423
1m,1,FWD 6m,0.0026760726286775547
1m,1,∆ FWD 6m,0.0003997902417413254
1m,1,FWD 12m,0.005461734034648189
1m,1,∆ FWD 12m,0.0006071265873040722
1m,1,FWD Slope,0.0029544998265318002
1m,1,FWD Curvature,0.00032467118209001967
1m,1,∆ Export Volume 1w,0.0
1m,1,∆ Export Volume 2w,0.0010846765266146108
1m,1,∆ Export Volume 1m,0.0004617385090098002
1m,1,∆ Chilean Exports 1w,0.0002933285672968008
1m,1,∆ Chilean Exports 2w,0.00020500539254404793
1m,1,∆ Chilean Exports 1m,0.0017782666584266098
1m,1,∆ Chilean Exports 3m,0.0002724696088849356
1m,1,∆ Total Biomass Monthly,0.002722733939219138
1m,1,∆YOY Total Biomass Monthly,0.0040434319597716355
1m,1,Avg Weight (KG) Monthly,0.0024411449969318714
1m,1,YOY Avg Weight (KG) Monthly,0.001931187558418967
1m,1,Harvest Intensity 1m Monthly,0.003082240104920422
1m,1,Harvest Intensity 3m Monthly,0.0019238115254085963
1m,1,Loss Rate 1m Monthly,0.0007407154657375112
1m,1,Loss Rate 3m Monthly,0.003272795815067532
1m,1,Loss Rate 6m Monthly,0.0016976621049406679
1m,1,Smolt Release 2m Monthly,0.0002692550491214828
1m,1,Smolt Release 3m Monthly,0.0032302152421460786
1m,1,Smolt Release 4m Monthly,0.0020441419322842786
1m,1,Smolt Release 5m Monthly,0.0032717048006576247
1m,1,Smolt Release 6m Monthly,0.0010023036481410846
1m,1,Smolt Release 7m Monthly,0.0006221404883723342
1m,1,Smolt Release 8m Monthly,0.00567687727736041
1m,1,Smolt Release 9m Monthly,0.0008609063858868023
1m,1,Smolt Release 10m Monthly,0.0016347644268233847
1m,1,Smolt Release 11m Monthly,0.0006592418678282854
1m,1,Smolt Release 12m Monthly,0.00028907327387625543
1m,1,Smolt Release 13m Monthly,0.0009208449527197991
1m,1,Smolt Release 14m Monthly,0.0011478702419184968
1m,1,Smolt Release 15m Monthly,0.0013531025318792283
1m,1,Smolt Release 16m Monthly,0.004373412716905961
1m,1,Smolt Release 17m Monthly,0.002542918421660471
1m,1,Smolt Release 18m Monthly,0.0
1m,1,ISA Outbreak,0.00021689857828905085
1m,1,ISA Outbreak 1m,0.001534356516327009
1m,1,ISA Outbreak 3m,0.0017339531854666675
1m,1,Lice Outbreak,0.0022160031620051404
1m,1,Lice Outbreak 1m,0.000804853320576665
1m,1,Lice Outbreak 3m,0.010614725290659549
1m,1,Sea Temp,0.010496200024284114
1m,1,Sea Temp 12m Avg,0.001109829384845094
1m,1,∆ EURNOK,0.000147331322124193
1m,1,∆ EURNOK 1w,0.0002583367551201809
1m,1,∆ EURNOK 2w,0.0007118519485790944
1m,1,∆ EURNOK 1m,0.0004445403107044013
1m,1,∆ EURNOK 3m,0.00046217651665523743
1m,1,∆ EURNOK 6m,0.0012129820000687484
1m,1,∆ EURNOK 12m,0.0002968550458081602
1m,1,CPI NO Monthly,0.00027161392739641886
1m,1,NIBOR 3m,0.0004708291075099162
1m,1,∆ Shrimp Price (Global) 1m Monthly,0.001127841371754244
1m,1,∆ Shrimp Price (Global) 3m Monthly,0.00026935267147159544
1m,1,∆ Shrimp Price (Global) 6m Monthly,0.0004414639508181634
1m,1,∆ Shrimp Price (Global) 12m Monthly,0.0011290699237287026
1m,1,∆ Broiler Price (EU) 1w,0.000918908451659025
1m,1,∆ Broiler Price (EU) 2w,0.00020690646031897182
1m,1,∆ Broiler Price (EU) 1m,0.0002902401747874049
1m,1,∆ Broiler Price (EU) 3m,0.0014149820400921327
1m,1,∆ Broiler Price (EU) 6m,0.0008220901099111071
1m,1,∆ Broiler Price (EU) 12m,0.0016212143355880588
1m,1,∆ Pig Price (EU),0.0012273434058358407
1m,1,∆ Pig Price (EU) 1w,0.00015363129063747168
1m,1,∆ Pig Price (EU) 2w,0.0011506660767609137
1m,1,∆ Pig Price (EU) 1m,0.0018190761292547369
1m,1,∆ Pig Price (EU) 3m,0.0004637868783972575
1m,1,∆ Pig Price (EU) 6m,0.00021452380001270736
1m,1,∆ Pig Price (EU) 12m,0.0005650898599996916
1m,1,Meat CPI (EU) Monthly,0.0013497732926197475
1m,1,∆ Fishmeal 1m Monthly,0.003266062504263667
1m,1,∆ Fishmeal 3m Monthly,0.004172077184652036
1m,1,∆ Fishmeal 6m Monthly,0.0006673042726850283
1m,1,∆ Fishmeal 12m Monthly,0.0018402252847777504
1m,1,Brent FWD Slope,0.0044546807044398475
1m,1,Brent FWD Curvature,0.0004291152479602819
1m,1,Soybean FWD Slope,0.0002652712083122562
1m,1,Soybean FWD Curvature,0.0002833523142650027
1m,1,Month_01,0.0
1m,1,Month_02,0.0
1m,1,Month_03,0.0
1m,1,Month_04,0.0
1m,1,Month_05,0.0
1m,1,Month_06,0.0
1m,1,Month_07,0.0
1m,1,Month_08,7.534871481421933e-05
1m,1,Month_09,0.0002653185279833301
1m,1,Month_10,0.000121259614633427
1m,1,Month_11,0.0004937315286133343
1m,2,∆ Salmon (NOK/KG) 1w,0.0003038970631488992
1m,2,∆ Salmon (NOK/KG) 2w,0.0006421585520407108
