Horizon,Fold,Test Start,Test End,n_train,n_test,depth,ntrees,RMSE,MAE,R2,Hit,RW RMSE,Skill%
0w,1,2006-06-14,2011-05-18,724,258,6,214,0.06088663012171266,0.04078827248841874,0.23341286224080626,0.7015503875968992,0.06954187874667528,12.446095476499364
0w,2,2011-05-25,2016-04-27,724,258,6,282,0.054310197209114,0.043743700189675716,0.2574210307134164,0.6705426356589147,0.06304411815725827,13.85366502606672
0w,3,2016-05-04,2021-04-07,724,258,6,306,0.05893467499679518,0.046671124384195815,0.18552765767651713,0.6589147286821705,0.0653057869051975,9.755815235257915
0w,4,2021-04-14,2026-04-01,774,260,6,72,0.06428403636370249,0.049885466062587695,0.1763471443147221,0.6576923076923077,0.07083941755384829,9.253860938597857
1w,1,2006-06-14,2011-05-18,724,258,7,479,0.08014333807077124,0.0588100738049395,0.30951899658916404,0.7054263565891473,0.09645388307648092,16.910200486979466
1w,2,2011-05-25,2016-04-27,723,258,7,214,0.07688438218930956,0.06168410083516628,0.2521563750882103,0.6589147286821705,0.08898274732026659,13.596304334606145
1w,3,2016-05-04,2021-04-07,723,258,7,242,0.08868562298230953,0.07068923607804416,0.21277710547288964,0.6472868217054264,0.09995675467935432,11.27600804287896
1w,4,2021-04-14,2026-04-01,773,260,7,182,0.09878667857433186,0.0768980836120273,0.22529101751930003,0.6846153846153846,0.1122569633208084,11.999509293673928
2w,1,2006-06-14,2011-05-18,723,258,6,181,0.08962016336261684,0.0667285934208191,0.2823874185072289,0.6937984496124031,0.10581451851186813,15.304473693215293
2w,2,2011-05-25,2016-04-27,721,258,6,332,0.0892897372877011,0.07094450346621961,0.23143542269782502,0.6589147286821705,0.1020410844695855,12.496287400478467
2w,3,2016-05-04,2021-04-07,721,258,6,240,0.10331058478189734,0.08383160732262973,0.20714226659088686,0.6666666666666666,0.1160239918554122,10.957567370512622
2w,4,2021-04-14,2026-03-25,772,259,6,101,0.11537825375193793,0.09003071329230786,0.2560601553008218,0.694980694980695,0.13382315464234726,13.783041462222856
1m,1,2006-06-14,2011-05-11,722,257,5,114,0.10057173988874064,0.0762551875288017,0.22870358789046974,0.6848249027237354,0.11456037553278423,12.21071036035527
1m,2,2011-05-18,2016-04-13,718,257,5,94,0.1077925791575089,0.08568705568652511,0.27249861387854524,0.7120622568093385,0.12676844544890084,14.96891929548898
1m,3,2016-04-20,2021-03-17,718,257,5,79,0.12687719614535412,0.10441119963200876,0.26941495941793603,0.6731517509727627,0.14844535086361774,14.529356825785056
1m,4,2021-03-24,2026-03-11,767,260,5,116,0.13478275757047747,0.10359007191436934,0.3048786458168805,0.7346153846153847,0.16179148201496624,16.6935391827305
3m,1,2006-06-14,2011-04-27,715,255,2,124,0.15993829105917098,0.12587566984356363,0.27629099814896585,0.6862745098039216,0.18816135962775762,14.999396594721015
3m,2,2011-05-04,2016-03-16,702,255,2,41,0.16179855920936834,0.12890658558558518,0.37026432954406174,0.7843137254901961,0.20694967824356006,21.817438624404694
3m,3,2016-03-23,2021-02-03,702,255,2,97,0.17817321501503977,0.14850436095903802,0.37828561174634834,0.7490196078431373,0.2259961683277727,21.160957580206883
3m,4,2021-02-10,2026-01-07,752,257,2,100,0.23720347899550792,0.1916119025530222,0.3358573963026398,0.7042801556420234,0.29177243218420984,18.70257336520742
6m,1,2006-06-14,2011-04-06,705,252,2,235,0.21379024605068195,0.1755382831947352,0.16323120245902645,0.6111111111111112,0.23379407724715986,8.556175345421813
6m,2,2011-04-13,2016-02-03,679,252,2,30,0.20327482000616545,0.1594195154723329,0.3770036124094993,0.7380952380952381,0.26906202566881565,24.450572502426137
6m,3,2016-02-10,2020-12-02,679,252,2,395,0.1847771733800067,0.1538979180115071,0.40913662399897144,0.7341269841269841,0.2408591142273423,23.284126501603307
6m,4,2020-12-09,2025-10-08,730,253,2,73,0.26977998259160324,0.2230141576837864,0.45381023911235574,0.7272727272727273,0.36790629802323216,26.671550870116533
12m,1,2006-06-14,2011-02-16,686,245,8,103,0.27600050397924114,0.2018538198980277,-0.09692769715055194,0.5755102040816327,0.26357563717280674,-4.713966336079967
12m,2,2011-02-23,2015-10-28,634,245,8,367,0.2596726915777627,0.22091317700370725,0.06866771264093152,0.6979591836734694,0.308414704332185,15.804049570192868
12m,3,2015-11-04,2020-07-08,634,245,8,382,0.23631728687774048,0.1858427107495432,-0.30913310675629235,0.5020408163265306,0.2082449125670786,-13.48046104205276
12m,4,2020-07-15,2025-04-09,683,248,8,5,0.24620451646824773,0.19075730198902402,0.033637236531776415,0.6814516129032258,0.26380466797840196,6.671660378502164
