Horizon,Feature,Importance
1m,FWD 1m,0.027667935688207856
1m,FWD 12m,0.013097533683147623
1m,Smolt Release 5m Monthly,0.008275860094760966
1m,FWD 3m,0.008173621596461015
1m,Smolt Release 10m Monthly,0.005315649285055913
1m,∆ Fishmeal 3m Monthly,0.004946788879682016
1m,FWD 6m,0.00455294241966669
1m,∆ Shrimp Price (Global) 1m Monthly,0.004271571810853603
1m,∆ Total Biomass Monthly,0.003984319430741797
1m,∆ FWD 1m,0.0036879755420717087
1m,Smolt Release 4m Monthly,0.003669165140556347
1m,RVol 52w,0.0036146525871967755
1m,FWD Curvature,0.0035950364956449923
1m,Spread (FP - SSB),0.0034492498296658063
1m,∆ Fishmeal 1m Monthly,0.0031394697683448524
1m,∆ Salmon (NOK/KG) 2w,0.0027968201036381256
1m,YOY Avg Weight (KG) Monthly,0.0027522531468316775
1m,∆YOY Total Biomass Monthly,0.0027391874899207825
1m,Loss Rate 1m Monthly,0.0026787348364099837
1m,Harvest Intensity 1m Monthly,0.0026407124905200147
1m,Smolt Release 9m Monthly,0.00248097936576978
1m,Smolt Release 15m Monthly,0.002465400757861784
1m,Smolt Release 16m Monthly,0.002391421369272223
1m,∆ Fishmeal 6m Monthly,0.0023183021523069973
1m,Avg Weight (KG) Monthly,0.0022801050289757876
1m,Meat CPI (EU) Monthly,0.0022720393645292423
1m,∆ Pig Price (EU) 2w,0.002152807837494764
1m,∆ Shrimp Price (Global) 3m Monthly,0.002136863219398762
1m,Sea Temp,0.002107544903107674
1m,∆ Broiler Price (EU) 3m,0.0020778531455822083
1m,Soybean FWD Curvature,0.002049831011014667
1m,Soybean FWD Slope,0.0020183141462767973
1m,∆ Pig Price (EU) 1m,0.001892083438185792
1m,Brent FWD Slope,0.001788096409071874
1m,ISA Outbreak 1m,0.0017003356960153396
1m,Smolt Release 12m Monthly,0.0013951332159811726
1m,RVol 13w,0.0013944615920129931
1m,Sea Temp 12m Avg,0.0013780450857524215
1m,ISA Outbreak 3m,0.0013196711934345432
1m,∆ Broiler Price (EU) 12m,0.001312016025614716
1m,∆ Pig Price (EU) 12m,0.001270901354822907
1m,∆ FWD 3m,0.0012173957260655306
1m,Smolt Release 3m Monthly,0.001141501260447427
1m,Lice Outbreak 1m,0.00111275966935367
1m,Month_11,0.0010922636364324495
1m,∆ Pig Price (EU) 3m,0.0010359235514227382
1m,∆ FWD 6m,0.0010290483814752065
1m,∆ Pig Price (EU) 6m,0.0010071085363228547
1m,∆ Pig Price (EU),0.0010017015524057906
1m,NIBOR 3m,0.0009311960332435504
1m,Acc 1m,0.0009251203610991024
1m,Harvest Intensity 3m Monthly,0.0008638555502544619
1m,Smolt Release 8m Monthly,0.000850641256235
1m,FWD Slope,0.0008309061199676199
1m,∆ Salmon (NOK/KG) 6m,0.0008264213785799546
1m,ISA Outbreak,0.0008055616081424728
1m,∆ EURNOK 6m,0.000802427151460771
1m,Smolt Release 13m Monthly,0.0007994075663304005
1m,∆ Pig Price (EU) 1w,0.0007347417400326087
1m,Brent FWD Curvature,0.0007229867703640327
1m,Acc 1w,0.0007130452828515606
1m,Smolt Release 6m Monthly,0.0006928741090799803
1m,∆ EURNOK 12m,0.0006743647077213738
1m,Smolt Release 17m Monthly,0.0006692980430981397
1m,∆ Salmon (NOK/KG) 12m,0.0006204718126248146
1m,CPI NO Monthly,0.0006114469684193409
1m,∆ FWD 12m,0.0006035304363908128
1m,∆ EURNOK 3m,0.0006007264139271826
1m,Lice Outbreak,0.0005996316448054807
1m,∆ Shrimp Price (Global) 12m Monthly,0.0005895835316268304
1m,Smolt Release 14m Monthly,0.0005713966982578527
1m,RVol 4w,0.0005575825054813635
1m,∆ EURNOK 1m,0.0005571889707922473
1m,∆ Broiler Price (EU) 6m,0.000512770635434574
1m,Loss Rate 6m Monthly,0.0005096003945844056
1m,Smolt Release 11m Monthly,0.0004935023345531205
1m,∆ Chilean Exports 1w,0.0004891600183048781
1m,∆ Shrimp Price (Global) 6m Monthly,0.0004776719568145184
1m,Lice Outbreak 3m,0.0004597280718820487
1m,Loss Rate 3m Monthly,0.00042848019895954227
1m,∆ Chilean Exports 1m,0.00041432871710067284
1m,Smolt Release 18m Monthly,0.0004123799145427027
1m,∆ Salmon (NOK/KG) 1m,0.0004050775763870728
1m,Smolt Release 7m Monthly,0.00038635843953838345
1m,∆ Salmon (NOK/KG) 3m,0.0003604513350614388
1m,∆ Fishmeal 12m Monthly,0.0003602467523296044
1m,∆ Broiler Price (EU) 2w,0.00035946991331944526
1m,∆ Broiler Price (EU) 1m,0.0003447178535952031
1m,∆ Broiler Price (EU) 1w,0.00034105100909904924
1m,∆ EURNOK 1w,0.00031672353572731807
1m,∆ Spread (FP - SSB),0.0002957790700007326
1m,Smolt Release 2m Monthly,0.00028859188803175164
1m,∆ Chilean Exports 3m,0.00028227269184545226
1m,∆ EURNOK 2w,0.00026975853271416324
1m,Month_02,0.0002073114966008699
1m,∆ Export Volume 1m,0.0001996907069818658
1m,∆ Salmon (NOK/KG) 1w,0.00016965645515707432
1m,∆ Export Volume 1w,0.00010878416332493963
1m,∆ Export Volume 2w,9.48876447784013e-05
1m,∆ Chilean Exports 2w,3.3710318642019516e-05
1m,∆ EURNOK,0.0
1m,Month_01,0.0
1m,Month_03,0.0
1m,Month_04,0.0
1m,Month_06,0.0
1m,Month_05,0.0
1m,Month_07,0.0
1m,Month_08,0.0
1m,Month_09,0.0
1m,Month_10,0.0
