Horizon,Feature,Importance
2w,FWD 1m,0.02621338501307601
2w,FWD 12m,0.0069973756060683
2w,Smolt Release 10m Monthly,0.004928346371896055
2w,FWD 6m,0.0038542486701467083
2w,YOY Avg Weight (KG) Monthly,0.003681950696597544
2w,∆ Salmon (NOK/KG) 2w,0.003509529629835979
2w,FWD 3m,0.0027278207833225294
2w,Smolt Release 16m Monthly,0.0024349241109200997
2w,Harvest Intensity 1m Monthly,0.0024262834036934537
2w,Smolt Release 5m Monthly,0.002334372037645041
2w,∆YOY Total Biomass Monthly,0.0020595817582149
2w,Sea Temp,0.0020005997577919846
2w,∆ Export Volume 2w,0.0019841634216119204
2w,Loss Rate 1m Monthly,0.0018670123360330665
2w,CPI NO Monthly,0.001770592536622213
2w,∆ FWD 12m,0.0017582415834726149
2w,∆ FWD 1m,0.0017236379039287856
2w,∆ Total Biomass Monthly,0.001700151148110436
2w,∆ Spread (FP - SSB),0.0016633411725409779
2w,Smolt Release 4m Monthly,0.0016423784452120197
2w,∆ Pig Price (EU) 2w,0.0015839518251631512
2w,∆ Pig Price (EU) 1m,0.001487195158200389
2w,∆ FWD 6m,0.0014761887559255166
2w,∆ Export Volume 1m,0.0013250340180227184
2w,Brent FWD Slope,0.0013211481356560728
2w,∆ Pig Price (EU) 1w,0.0012815241268909047
2w,Smolt Release 13m Monthly,0.0012731757757605006
2w,Soybean FWD Slope,0.0012698619907868325
2w,Smolt Release 9m Monthly,0.0011644198656882208
2w,FWD Slope,0.0011609755265053175
2w,∆ Broiler Price (EU) 1w,0.0011550561111308441
2w,∆ Broiler Price (EU) 2w,0.0011507062367878552
2w,Brent FWD Curvature,0.0011492741252032749
2w,∆ Shrimp Price (Global) 1m Monthly,0.0011394818621325302
2w,ISA Outbreak,0.0011187348150711964
2w,Avg Weight (KG) Monthly,0.0010790744155911673
2w,Smolt Release 8m Monthly,0.0010476878085098446
2w,Spread (FP - SSB),0.0010209263305557394
2w,∆ Broiler Price (EU) 1m,0.0009958819523358886
2w,RVol 52w,0.0009800520583990876
2w,∆ Fishmeal 1m Monthly,0.0009754846772508058
2w,∆ Salmon (NOK/KG) 6m,0.0009653603166514353
2w,∆ Fishmeal 6m Monthly,0.0009388379190546659
2w,RVol 13w,0.0009146826629963322
2w,Smolt Release 14m Monthly,0.0009084852058513425
2w,Smolt Release 12m Monthly,0.0008448756912417406
2w,∆ EURNOK 1m,0.0008380860472086419
2w,∆ Broiler Price (EU) 3m,0.0007719334511296015
2w,∆ Shrimp Price (Global) 3m Monthly,0.0007114578010855225
2w,∆ Pig Price (EU) 3m,0.0007036917622355149
2w,∆ EURNOK,0.0006977838022938575
2w,Meat CPI (EU) Monthly,0.0006838496762488376
2w,∆ EURNOK 6m,0.0006586282411755286
2w,Loss Rate 6m Monthly,0.000613043001943357
2w,ISA Outbreak 3m,0.0006073882193202478
2w,∆ FWD 3m,0.0005971611803332964
2w,∆ Salmon (NOK/KG) 3m,0.0005671136172757659
2w,∆ Shrimp Price (Global) 12m Monthly,0.000559282600249482
2w,Sea Temp 12m Avg,0.0005440078402543132
2w,∆ Pig Price (EU),0.0005428945192447488
2w,Smolt Release 11m Monthly,0.0005419512016232599
2w,Lice Outbreak 1m,0.0005277864670268848
2w,∆ EURNOK 12m,0.0005217014926626632
2w,Acc 1m,0.0005201165640643001
2w,FWD Curvature,0.0005133191464140299
2w,∆ Fishmeal 12m Monthly,0.0005009171657368293
2w,Smolt Release 7m Monthly,0.00048625218909583806
2w,Smolt Release 18m Monthly,0.0004627711826725101
2w,∆ EURNOK 1w,0.00045739382653883076
2w,∆ Export Volume 1w,0.00045296074480557217
2w,∆ Salmon (NOK/KG) 1w,0.00045200507803277437
2w,Smolt Release 6m Monthly,0.00044828837729406136
2w,Smolt Release 2m Monthly,0.0004382132037624672
2w,Smolt Release 17m Monthly,0.00042796540221548085
2w,∆ Shrimp Price (Global) 6m Monthly,0.0004211432562928676
2w,∆ Pig Price (EU) 12m,0.00041926941449681973
2w,∆ Broiler Price (EU) 12m,0.0003961858650705104
2w,ISA Outbreak 1m,0.00038939125394123924
2w,Loss Rate 3m Monthly,0.00038344728356980336
2w,∆ Salmon (NOK/KG) 12m,0.0003524811797629397
2w,∆ EURNOK 2w,0.00033709875419611455
2w,NIBOR 3m,0.0003228361507818121
2w,RVol 4w,0.0003041665880447978
2w,∆ Chilean Exports 2w,0.0002980916464161462
2w,∆ Pig Price (EU) 6m,0.0002779119063688022
2w,∆ Chilean Exports 1m,0.0002586002829476215
2w,Acc 1w,0.00025805330757969766
2w,∆ Chilean Exports 3m,0.0002569319101848615
2w,∆ Fishmeal 3m Monthly,0.00024791180463254453
2w,Smolt Release 3m Monthly,0.00023719288881928594
2w,Harvest Intensity 3m Monthly,0.00023368582757643964
2w,∆ EURNOK 3m,0.00023334681856291
2w,∆ Chilean Exports 1w,0.0002003410726666781
2w,Month_02,0.0001931573083873561
2w,∆ Broiler Price (EU) 6m,0.00019007238185990007
2w,Soybean FWD Curvature,0.00015948275516863817
2w,Lice Outbreak,0.0001286320338552148
2w,∆ Salmon (NOK/KG) 1m,0.00010322826161905022
2w,Smolt Release 15m Monthly,0.00010298325277400343
2w,Month_07,7.272632176843549e-05
2w,Month_08,6.732578330346531e-05
2w,Month_06,0.0
2w,Month_10,0.0
2w,Month_09,0.0
2w,Month_03,0.0
2w,Month_05,0.0
2w,Month_04,0.0
2w,Month_01,0.0
2w,Lice Outbreak 3m,0.0
2w,Month_11,0.0
