,∆ Salmon (NOK/KG) 1w,∆ Salmon (NOK/KG) 2w,∆ Salmon (NOK/KG) 1m,∆ Salmon (NOK/KG) 3m,∆ Salmon (NOK/KG) 6m,∆ Salmon (NOK/KG) 12m,Acc 1w,Acc 1m,RVol 4w,RVol 13w,RVol 52w,Spread (FP - SSB),∆ Spread (FP - SSB),FWD 1m,∆ FWD 1m,FWD 3m,∆ FWD 3m,FWD 6m,∆ FWD 6m,FWD 12m,∆ FWD 12m,FWD Slope,FWD Curvature,∆ Export Volume 1w,∆ Export Volume 2w,∆ Export Volume 1m,∆ Chilean Exports 1w,∆ Chilean Exports 2w,∆ Chilean Exports 1m,∆ Chilean Exports 3m,∆ Total Biomass Monthly,∆YOY Total Biomass Monthly,Avg Weight (KG) Monthly,YOY Avg Weight (KG) Monthly,Harvest Intensity 1m Monthly,Harvest Intensity 3m Monthly,Loss Rate 1m Monthly,Loss Rate 3m Monthly,Loss Rate 6m Monthly,Smolt Release 2m Monthly,Smolt Release 3m Monthly,Smolt Release 4m Monthly,Smolt Release 5m Monthly,Smolt Release 6m Monthly,Smolt Release 7m Monthly,Smolt Release 8m Monthly,Smolt Release 9m Monthly,Smolt Release 10m Monthly,Smolt Release 11m Monthly,Smolt Release 12m Monthly,Smolt Release 13m Monthly,Smolt Release 14m Monthly,Smolt Release 15m Monthly,Smolt Release 16m Monthly,Smolt Release 17m Monthly,Smolt Release 18m Monthly,ISA Outbreak,ISA Outbreak 1m,ISA Outbreak 3m,Lice Outbreak,Lice Outbreak 1m,Lice Outbreak 3m,Sea Temp,Sea Temp 12m Avg,∆ EURNOK,∆ EURNOK 1w,∆ EURNOK 2w,∆ EURNOK 1m,∆ EURNOK 3m,∆ EURNOK 6m,∆ EURNOK 12m,CPI NO Monthly,NIBOR 3m,∆ Shrimp Price (Global) 1m Monthly,∆ Shrimp Price (Global) 3m Monthly,∆ Shrimp Price (Global) 6m Monthly,∆ Shrimp Price (Global) 12m Monthly,∆ Broiler Price (EU) 1w,∆ Broiler Price (EU) 2w,∆ Broiler Price (EU) 1m,∆ Broiler Price (EU) 3m,∆ Broiler Price (EU) 6m,∆ Broiler Price (EU) 12m,∆ Pig Price (EU),∆ Pig Price (EU) 1w,∆ Pig Price (EU) 2w,∆ Pig Price (EU) 1m,∆ Pig Price (EU) 3m,∆ Pig Price (EU) 6m,∆ Pig Price (EU) 12m,Meat CPI (EU) Monthly,∆ Fishmeal 1m Monthly,∆ Fishmeal 3m Monthly,∆ Fishmeal 6m Monthly,∆ Fishmeal 12m Monthly,Brent FWD Slope,Brent FWD Curvature,Soybean FWD Slope,Soybean FWD Curvature,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.879556319009254e-05,0.0,0.00020493906446673768,-0.003963085278142334,0.02106780290348864,0.0,0.0,0.0,0.007920415040013618,0.0,-0.03608093840126538,0.0,-0.0001997670226099959,0.0,0.0060862144091869685,-0.02952838298505078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.03204918327994768,-0.002055568684699663,-0.002661713467575909,0.008934304739891413,0.0008664364855112464,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.0023962942921272002,0.0,0.0043437361613773385,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0007217340215969219,0.0,0.0,-0.001095278150104076,0.0614732613648122,0.01972662153239436,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0027201366129290957,0.0,0.0012333862258434023,0.0,-0.0003973565141839232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009831239311553233,0.0,-0.018866667162532977,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.00397521292130902,0.02106780290348864,0.0,0.0,0.0,0.0035154014907805217,0.0,-0.03608093840126538,0.0,-0.0001997670226099959,0.0,0.008468050283785673,-0.02952838298505078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.03204918327994768,-0.002055568684699663,-0.002661713467575909,0.008934304739891413,0.0008664364855112464,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.0023962942921272002,0.0,0.0043437361613773385,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0007217340215969219,0.0,0.0,-0.001095278150104076,0.0614732613648122,0.01972662153239436,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0027201366129290957,0.0,0.0011307020098641199,0.0,-0.0003973565141839232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011606608998300562,0.0,-0.018866667162532977,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.004422909115347423,0.011890157391591442,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.039445899452214224,0.0,-0.0059396453018240505,0.0,0.009963575736318958,-0.027764741367208422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.01588294216907592,-0.002055568684699663,-0.002661713467575909,0.00954431309807866,0.0008664364855112464,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.0023962942921272002,0.0,0.0043437361613773385,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0009121649289539929,0.0,0.0,-0.001095278150104076,0.06194083841187992,0.01972662153239436,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0027201366129290957,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011606608998300562,0.0,-0.018866667162532977,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.00397521292130902,0.02106780290348864,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.039445899452214224,0.0,-0.004027005652031243,0.0,0.008468050283785673,-0.027033917956693302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.0474893953425075,-0.002055568684699663,-0.002661713467575909,0.008934304739891413,0.0008664364855112464,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,0.0043437361613773385,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0007217340215969219,0.0,0.0,-0.001095278150104076,0.06194083841187992,0.01972662153239436,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0027201366129290957,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011606608998300562,0.0,-0.018866667162532977,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.004783564211101534,-0.02532563937949918,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.03960765092659009,0.0,-0.004027005652031243,0.0,0.008468050283785673,-0.029165390661277966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.0474893953425075,-0.002055568684699663,-0.002661713467575909,0.010240781879476508,0.0008664364855112464,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,-0.0016245573243551246,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0006740540131658484,0.0,0.0,-0.001095278150104076,0.06510102460544503,0.021347082617915066,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0027201366129290957,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020554264170113907,0.0,-0.01906257465673151,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.00397521292130902,0.02106780290348864,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.039445899452214224,0.0,-0.007487749653810275,0.0,0.00704508568439945,-0.029165390661277966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.05156843143787019,-0.002055568684699663,-0.002661713467575909,0.00984978353799147,0.0008664364855112464,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,-0.0016245573243551246,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0007217340215969219,0.0,0.0,-0.001095278150104076,0.06194083841187992,0.01972662153239436,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0027201366129290957,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011606608998300562,0.0,-0.018866667162532977,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.004783564211101534,-0.02846751032636305,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.03773759506112983,0.0,-0.01015147078938786,0.0,0.00704508568439945,-0.029165390661277966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.05156843143787019,-0.002055568684699663,-0.002661713467575909,0.011156260677576564,0.0021755354882044492,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,-0.0016245573243551246,-0.000947805745738938,-0.00034708039796555227,0.0,0.0035843945759562903,0.0014624170415055541,-0.0006740540131658484,0.0,0.0,-0.001095278150104076,0.06510102460544503,0.021347082617915066,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.0004732720955846455,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030812225854881733,0.0,-0.01906257465673151,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.004783564211101534,-0.02896443738279508,0.0,0.0,0.0,-0.00933015665040533,0.0,-0.03691062430215953,0.0,-0.01015147078938786,0.0,-0.03357714158000247,-0.029165390661277966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300178058123933,0.05156843143787019,-0.002055568684699663,-0.002661713467575909,-0.0001589027360430588,0.0021755354882044492,0.0,0.0,0.0,0.01029590516881287,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,-0.0016245573243551246,-0.000947805745738938,-0.00020473386220946346,0.0,0.0035843945759562903,0.001342049051741507,-0.0006740540131658484,0.0,0.0,-0.0010290078169088023,0.06510102460544503,0.021347082617915066,0.016065331631112408,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.0003775432432513334,-0.0018539110176367544,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030812225854881733,0.0,-0.020962627227625926,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.004783564211101534,-0.028337439974944582,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.03773759506112983,0.0,-0.01015147078938786,0.0,0.007031694860107634,-0.028813633683741704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005653805496803239,0.051440366718070146,-0.002055568684699663,-0.002661713467575909,-0.0001589027360430588,0.0021755354882044492,0.0,0.0,0.0,0.0110717103126042,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,-0.0016245573243551246,-0.000947805745738938,-0.00020473386220946346,0.0,0.003910076334996382,0.0014624170415055541,-0.0006740540131658484,0.0,0.0,-0.001095278150104076,0.06510102460544503,0.01850051305514478,0.01437888509923889,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.0003775432432513334,-0.0018539110176367544,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030812225854881733,0.0,0.0319257766122027,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021743514603726166,0.0,8.089224747233346e-05,0.004783564211101534,-0.029688232674858067,0.0,0.0,0.0,-0.009813867928814864,0.0,-0.03773759506112983,0.0,-0.01015147078938786,0.0,-0.004123832684268448,-0.028813633683741704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005653805496803239,0.051440366718070146,-0.002055568684699663,-0.002661713467575909,-0.0001589027360430588,0.0021755354882044492,0.0,0.0,0.0,0.0110717103126042,0.0,0.0,0.0,0.0,-0.001827396360118047,0.0,-0.0016245573243551246,-0.000947805745738938,-0.00020473386220946346,0.0,0.003910076334996382,0.0014624170415055541,-0.0006740540131658484,0.0,0.0,-0.0010290078169088023,0.06510102460544503,0.01850051305514478,0.016065331631112408,0.0,0.0,-5.0093830861192363e-05,0.0,0.0,0.0,0.0,0.0,-0.0007410174943469898,-0.00019946750120293833,-0.00014881995567314464,0.00139470063931716,0.0,0.0011307020098641199,0.0,-0.00036341470883036913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030812225854881733,0.0,0.0319257766122027,-0.0017910361322773737,-0.0001937582246546402,-7.441963480607223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
