Horizon,Fold,OLS,Lasso,CatBoost,HTBoost
0w,1,,,0.0608866301217126,0.0593863181160793
0w,2,,0.0518613086625439,0.054310197209114,0.0553548909056291
0w,3,,0.0588759678400474,0.0589346749967951,0.0577771734353194
0w,4,,0.0640321252181162,0.0642840363637024,0.059193636511748
1w,1,,,0.0801433380707712,0.0790654951656458
1w,2,,0.0748180722821786,0.0768843821893095,0.0780505652224661
1w,3,,0.0882618486546593,0.0886856229823095,0.0856778762862584
1w,4,,0.0988139915083142,0.0987866785743318,0.0954702866435242
2w,1,,,0.0896201633626168,0.0917817391472656
2w,2,,0.0861612511345524,0.0892897372877011,0.0873703902171456
2w,3,,0.1015355118984838,0.1033105847818973,0.0996890969223625
2w,4,,0.1146370185126782,0.1153782537519379,0.1106781883241397
1m,1,0.0978732872122116,,0.1005717398887406,0.1014364927971087
1m,2,0.1045344792623664,0.0939813066064263,0.1077925791575089,0.1039623870422039
1m,3,0.1261128860614436,0.1236340022521699,0.1268771961453541,0.1227559129734935
1m,4,0.1322933510535675,0.1313922546702856,0.1347827575704774,0.1335721408630084
3m,1,0.1571199832923335,,0.1599382910591709,0.1626540481935217
3m,2,0.1713911508501929,0.1892065262889277,0.1617985592093683,0.1779098974836095
3m,3,0.165337226401544,0.1662153157269225,0.1781732150150397,0.1649001337057439
3m,4,0.2037166905958636,0.2044915189664983,0.2372034789955079,0.2307609800178849
6m,1,0.1828848015124523,,0.2137902460506819,0.1871892961761904
6m,2,0.2154541323433402,0.2529371196141862,0.2032748200061654,0.2047089684306139
6m,3,0.1625063116612113,0.1715909095392703,0.1847771733800067,0.1705370177779374
6m,4,0.2298694550460007,0.2376385838982614,0.2697799825916032,0.2689982008043402
12m,1,0.2483222033772545,,0.2760005039792411,0.266502530555881
12m,2,0.2441355083193283,0.3962375151193955,0.2596726915777627,0.2541547219520164
12m,3,0.2114278435144787,0.2093292773324125,0.2363172868777404,0.2359869423858241
12m,4,0.2222855694503598,0.210322836473113,0.2462045164682477,0.2590217011908892
