Feature,p (4w),p (13w),p (26w),p (52w)
∆ Salmon (NOK/KG) 1w,0.0,0.0,0.0,0.0
∆ Salmon (NOK/KG) 2w,0.0,0.0,0.0,0.0
∆ Salmon (NOK/KG) 1m,0.0,0.0,0.0,0.0
∆ Salmon (NOK/KG) 3m,0.0,0.0,0.0,0.0
∆ Salmon (NOK/KG) 6m,0.0,0.0,0.0,0.0
∆ Salmon (NOK/KG) 12m,0.0,0.0,0.0,0.0
Acc 1w,0.0,0.0,0.0,0.0
Acc 1m,0.0,0.0,0.0,0.0
RVol 4w,0.0,0.0,0.0,0.0
RVol 13w,0.0,0.0,0.0,0.0
RVol 52w,0.0,0.0,0.0,0.0
Spread (FP - SSB),0.0,0.0,0.0,0.0
∆ Spread (FP - SSB),0.0,0.0,0.0,0.0
FWD 1m,0.0,0.0,0.0,0.0
∆ FWD 1m,0.0,0.0,0.0,0.0
FWD 3m,0.0,0.0,0.0,0.0
∆ FWD 3m,0.0,0.0,0.0,0.0
FWD 6m,0.0,0.0,0.0,0.0
∆ FWD 6m,0.0,0.0,0.0,0.0
FWD 12m,0.0,0.0,0.0,0.0
∆ FWD 12m,0.0,0.0,0.0,0.0
FWD Slope,0.0,0.0,0.0,0.0
FWD Curvature,0.0,0.0,0.0,0.0
∆ Export Volume 1w,0.0,0.0,0.0,0.0
∆ Export Volume 2w,0.0,0.0,0.0,0.0
∆ Export Volume 1m,0.0,0.0,0.0,0.0
∆ Chilean Exports 1w,0.0,0.0,0.0,0.0
∆ Chilean Exports 2w,0.0,0.0,0.0,0.0
∆ Chilean Exports 1m,0.0,0.0,0.0,0.0
∆ Chilean Exports 3m,0.0,0.0,0.0,0.0
∆ Total Biomass Monthly,0.0,0.0,0.0,0.0
∆YOY Total Biomass Monthly,0.0,0.0,0.0,0.0
Avg Weight (KG) Monthly,0.0,0.0,0.0,0.0
YOY Avg Weight (KG) Monthly,0.0,0.0,0.0,0.0
Harvest Intensity 1m Monthly,0.0,0.0,0.0,0.0
Harvest Intensity 3m Monthly,0.0,0.0,0.0,0.0
Loss Rate 1m Monthly,0.0,0.0,0.0,0.0
Loss Rate 3m Monthly,0.0,0.0,0.0,0.0
Loss Rate 6m Monthly,0.0,0.0,0.0,0.0
Smolt Release 2m Monthly,0.0,0.0,0.0,0.0
Smolt Release 3m Monthly,0.0,0.0,0.0,0.0
Smolt Release 4m Monthly,0.0,0.0,0.0,0.0
Smolt Release 5m Monthly,0.0,0.0,0.0,0.0
Smolt Release 6m Monthly,0.0,0.0,0.0,0.0
