Feature,ADF stat,ADF p,ADF 5% cv,KPSS stat,KPSS p,KPSS 5% cv,Verdict,KPSS p note
∆ Salmon (NOK/KG) 1w,-28.023,0.0,-2.864,0.012,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Salmon (NOK/KG) 2w,-9.071,0.0,-2.864,0.012,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Salmon (NOK/KG) 1m,-9.163,0.0,-2.864,0.013,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Salmon (NOK/KG) 3m,-9.181,0.0,-2.864,0.017,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Salmon (NOK/KG) 6m,-9.662,0.0,-2.864,0.042,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Salmon (NOK/KG) 12m,-4.357,0.0004,-2.864,0.121,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Acc 1w,-11.122,0.0,-2.864,0.063,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Acc 1m,-9.756,0.0,-2.864,0.011,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
RVol 4w,-8.987,0.0,-2.864,0.151,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
RVol 13w,-5.602,0.0,-2.864,0.246,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
RVol 52w,-3.004,0.0345,-2.864,0.337,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Spread (FP - SSB),-6.85,0.0,-2.864,0.111,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Spread (FP - SSB),-10.846,0.0,-2.864,0.033,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
FWD 1m,-8.375,0.0,-2.864,0.112,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ FWD 1m,-19.032,0.0,-2.864,0.018,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
FWD 3m,-9.085,0.0,-2.864,0.247,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ FWD 3m,-29.152,0.0,-2.864,0.015,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
FWD 6m,-9.946,0.0,-2.864,0.207,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ FWD 6m,-9.326,0.0,-2.864,0.04,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
FWD 12m,-6.729,0.0,-2.864,0.524,0.0362,0.463,Ambiguous,
∆ FWD 12m,-21.969,0.0,-2.864,0.027,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
FWD Slope,-5.99,0.0,-2.865,0.534,0.0341,0.463,Ambiguous,
FWD Curvature,-8.686,0.0,-2.865,0.18,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Export Volume 1w,-9.714,0.0,-2.864,0.05,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Export Volume 2w,-9.815,0.0,-2.864,0.042,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Export Volume 1m,-9.64,0.0,-2.864,0.014,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Chilean Exports 1w,-9.701,0.0,-2.864,0.116,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Chilean Exports 2w,-7.784,0.0,-2.864,0.093,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Chilean Exports 1m,-7.732,0.0,-2.864,0.103,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Chilean Exports 3m,-9.252,0.0,-2.864,0.123,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Total Biomass Monthly,-3.976,0.0015,-2.874,0.031,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆YOY Total Biomass Monthly,-3.648,0.0049,-2.874,0.851,0.01,0.463,Ambiguous,"p-value capped at boundary (true p outside [0.01, 0.10])"
Avg Weight (KG) Monthly,-2.9,0.0453,-2.874,0.958,0.01,0.463,Ambiguous,"p-value capped at boundary (true p outside [0.01, 0.10])"
YOY Avg Weight (KG) Monthly,-4.353,0.0004,-2.874,0.053,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Harvest Intensity 1m Monthly,-1.609,0.4791,-2.874,1.413,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Harvest Intensity 3m Monthly,-0.751,0.8331,-2.874,1.662,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Loss Rate 1m Monthly,-2.455,0.1269,-2.874,0.296,0.1,0.463,Ambiguous,"p-value capped at boundary (true p outside [0.01, 0.10])"
Loss Rate 3m Monthly,-2.484,0.1195,-2.874,0.428,0.0649,0.463,Ambiguous,
Loss Rate 6m Monthly,-2.639,0.0851,-2.874,0.528,0.0353,0.463,I(1),
Smolt Release 2m Monthly,-2.172,0.2166,-2.874,0.689,0.0146,0.463,I(1),
Smolt Release 3m Monthly,-2.272,0.1813,-2.874,0.704,0.0132,0.463,I(1),
Smolt Release 4m Monthly,-2.325,0.1641,-2.874,0.713,0.0124,0.463,I(1),
Smolt Release 5m Monthly,-2.265,0.1834,-2.874,0.801,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 6m Monthly,-2.278,0.1793,-2.874,0.736,0.0103,0.463,I(1),
Smolt Release 7m Monthly,-2.26,0.1852,-2.874,0.696,0.0139,0.463,I(1),
Smolt Release 8m Monthly,-2.245,0.1903,-2.874,0.737,0.0102,0.463,I(1),
Smolt Release 9m Monthly,-2.26,0.1853,-2.874,0.795,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 10m Monthly,-2.253,0.1877,-2.874,0.836,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 11m Monthly,-2.268,0.1825,-2.874,0.756,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 12m Monthly,-2.261,0.1849,-2.874,0.779,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 13m Monthly,-2.272,0.181,-2.874,0.871,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 14m Monthly,-2.3,0.1721,-2.874,0.896,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 15m Monthly,-2.294,0.174,-2.874,0.886,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 16m Monthly,-2.27,0.1818,-2.874,0.879,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 17m Monthly,-2.262,0.1844,-2.875,0.862,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
Smolt Release 18m Monthly,-2.247,0.1896,-2.875,0.844,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
ISA Outbreak,-2.663,0.0806,-2.865,2.036,0.01,0.463,I(1),"p-value capped at boundary (true p outside [0.01, 0.10])"
