Column,Type,Mean,Std,Skew,Kurt,Min,Max,pct_NaN,pct_Zero
Y 0w ∆ Salmon (NOK/KG),Target,0.0012,0.0669,-0.3017,4.8446,-0.5468,0.3615,0.1,0.2
Y 1w ∆ Salmon (NOK/KG),Target,0.0024,0.0994,-0.0855,1.3808,-0.5513,0.4459,0.2,0.0
Y 2w ∆ Salmon (NOK/KG),Target,0.0036,0.1147,-0.0846,0.7647,-0.5276,0.4839,0.3,0.1
Y 1m ∆ Salmon (NOK/KG),Target,0.0059,0.1391,-0.1345,0.3537,-0.4895,0.4648,0.5,0.0
Y 3m ∆ Salmon (NOK/KG),Target,0.015,0.2326,-0.1376,-0.2904,-0.6009,0.6299,1.3,0.0
Y 6m ∆ Salmon (NOK/KG),Target,0.0243,0.2831,-0.0966,-0.3631,-0.8119,0.7765,2.6,0.0
Y 12m ∆ Salmon (NOK/KG),Target,0.0463,0.2592,-0.2216,-0.1754,-0.7183,0.7295,5.0,0.0
∆ Salmon (NOK/KG) 1w,Feature,0.0012,0.0669,-0.3032,4.8431,-0.5468,0.3615,0.1,0.2
∆ Salmon (NOK/KG) 2w,Feature,0.0013,0.0497,-0.0875,1.384,-0.2757,0.2229,0.2,0.0
∆ Salmon (NOK/KG) 1m,Feature,0.0012,0.0316,-0.0978,0.4327,-0.1235,0.1071,0.4,0.1
∆ Salmon (NOK/KG) 3m,Feature,0.0011,0.0173,-0.1599,-0.2405,-0.0469,0.05,1.2,0.0
∆ Salmon (NOK/KG) 6m,Feature,0.0009,0.0108,-0.1091,-0.383,-0.0319,0.0313,2.5,0.0
∆ Salmon (NOK/KG) 12m,Feature,0.0009,0.0049,-0.243,-0.0923,-0.0139,0.0124,4.9,0.0
RVol 4w,Feature,0.059,0.0342,3.2071,23.9299,0.0044,0.3818,0.4,0.0
RVol 13w,Feature,0.0635,0.0224,2.7043,13.9667,0.0205,0.2013,1.2,0.0
RVol 52w,Feature,0.0662,0.0132,1.7253,4.271,0.0433,0.1162,4.9,0.0
Spread (FP - SSB),Feature,-0.5364,2.7486,1.4735,7.3561,-14.58,17.21,0.0,0.5
∆ Spread (FP - SSB),Feature,0.0016,1.6251,-0.8322,17.7561,-15.9,13.17,0.1,0.3
FWD 1m,Feature,-0.0002,0.0954,-0.0838,0.4356,-0.3432,0.4263,2.1,0.1
∆ FWD 1m,Feature,0.0001,0.0695,0.4122,4.5381,-0.3181,0.5622,2.2,0.1
FWD 3m,Feature,0.004,0.156,-0.2102,-0.0346,-0.5239,0.4238,2.2,0.2
∆ FWD 3m,Feature,-0.0,0.0715,0.2335,3.9096,-0.3135,0.5468,2.4,0.0
FWD 6m,Feature,-0.0025,0.19,0.1617,-0.2942,-0.4959,0.5813,3.4,0.2
∆ FWD 6m,Feature,-0.0003,0.072,0.0107,3.6164,-0.3673,0.491,3.6,0.1
FWD 12m,Feature,-0.0201,0.1429,-0.0209,0.0533,-0.4627,0.4405,5.9,0.1
∆ FWD 12m,Feature,0.0001,0.0678,0.2049,3.6,-0.3514,0.4976,6.1,0.0
FWD Slope,Feature,-0.0198,0.1007,0.4139,1.1181,-0.3272,0.3943,5.9,1.3
FWD Curvature,Feature,-0.0277,0.2468,-0.4497,0.7514,-0.8231,0.6165,5.9,0.0
∆ Export Volume 1w,Feature,0.0006,0.1645,-2.5528,14.7362,-1.2693,0.7283,0.0,0.1
∆ Export Volume 2w,Feature,0.0004,0.1066,-1.7864,9.2517,-0.7119,0.492,0.0,0.0
∆ Export Volume 1m,Feature,0.0004,0.0563,-1.2612,4.3597,-0.3148,0.2187,0.0,0.2
∆ Chilean Exports 1w,Feature,-0.0001,0.3316,0.0479,2.3422,-1.2475,1.9437,0.0,0.0
∆ Chilean Exports 2w,Feature,-0.0002,0.1891,-0.0401,3.086,-1.0213,0.8922,0.0,0.0
∆ Chilean Exports 1m,Feature,-0.0002,0.0971,-0.1723,2.0521,-0.5033,0.3973,0.0,0.0
∆ Chilean Exports 3m,Feature,0.0002,0.0413,-0.0088,0.4059,-0.1227,0.1589,0.0,0.0
∆ Total Biomass Monthly,Feature,0.0031,0.0425,0.5502,-0.3534,-0.0846,0.1252,0.0,0.0
∆YOY Total Biomass Monthly,Feature,0.0465,0.06,0.9208,0.8949,-0.0605,0.2631,0.6,0.0
Avg Weight (KG) Monthly,Feature,1.8114,0.1561,-0.5691,0.0955,1.3307,2.1137,0.0,0.0
YOY Avg Weight (KG) Monthly,Feature,0.0055,0.0471,0.0073,-0.4757,-0.1212,0.1147,0.6,0.0
Harvest Intensity 1m Monthly,Feature,0.1456,0.0192,0.5541,0.3154,0.1032,0.2041,0.0,0.0
Harvest Intensity 3m Monthly,Feature,0.146,0.0149,0.8673,0.9461,0.1107,0.1948,0.0,0.0
Loss Rate 1m Monthly,Feature,0.0112,0.0032,1.5683,6.2611,0.0055,0.0308,0.0,0.0
Loss Rate 3m Monthly,Feature,0.0112,0.0022,0.3463,0.0676,0.0065,0.0181,0.0,0.0
Loss Rate 6m Monthly,Feature,0.0112,0.0016,-0.0018,-0.0778,0.0072,0.0161,0.0,0.0
Smolt Release 2m Monthly,Feature,16.3843,1.3848,-1.5917,3.6016,8.7948,18.1344,0.0,0.0
Smolt Release 3m Monthly,Feature,16.3798,1.3856,-1.58,3.5659,8.7948,18.1344,0.0,0.0
Smolt Release 4m Monthly,Feature,16.3723,1.3862,-1.5641,3.5209,8.7948,18.1344,0.0,0.0
Smolt Release 5m Monthly,Feature,16.3722,1.3862,-1.5641,3.5212,8.7948,18.1344,0.0,0.0
Smolt Release 6m Monthly,Feature,16.373,1.3868,-1.5625,3.5143,8.7948,18.1344,0.0,0.0
Smolt Release 7m Monthly,Feature,16.3707,1.3855,-1.5635,3.5267,8.7948,18.1344,0.0,0.0
Smolt Release 8m Monthly,Feature,16.3596,1.3911,-1.5345,3.3916,8.7948,18.1344,0.0,0.0
Smolt Release 9m Monthly,Feature,16.3451,1.4029,-1.5021,3.1922,8.7948,18.1344,0.0,0.0
Smolt Release 10m Monthly,Feature,16.3277,1.4118,-1.4746,3.0271,8.7948,18.1344,0.0,0.0
Smolt Release 11m Monthly,Feature,16.3127,1.4224,-1.4437,2.8519,8.7948,18.1344,0.0,0.0
Smolt Release 12m Monthly,Feature,16.3158,1.4246,-1.449,2.8532,8.7948,18.1344,0.3,0.0
Smolt Release 13m Monthly,Feature,16.3289,1.4127,-1.4725,3.0255,8.7948,18.1344,0.7,0.0
Smolt Release 14m Monthly,Feature,16.3323,1.4146,-1.4791,3.0321,8.7948,18.1344,1.1,0.0
Smolt Release 15m Monthly,Feature,16.33,1.4171,-1.4728,3.0052,8.7948,18.1344,1.5,0.0
Smolt Release 16m Monthly,Feature,16.3282,1.4198,-1.4669,2.9775,8.7948,18.1344,2.0,0.0
Smolt Release 17m Monthly,Feature,16.3244,1.4216,-1.4606,2.9564,8.7948,18.1344,2.4,0.0
Smolt Release 18m Monthly,Feature,16.3204,1.4233,-1.4544,2.9365,8.7948,18.1344,2.7,0.0
ISA Outbreak,Feature,9.9391,6.0228,0.3532,-0.8295,0.0,24.0,22.3,2.0
