Horizon,Fold,Test Start,Test End,n_train,n_test,depth,ntrees,RMSE,MAE,R2,Hit,RW RMSE,Skill%
0w,1,2006-06-14,2011-05-18,724,258,2,19,0.06954534168610559,0.048723398229151,-0.00012375484613036392,0.4883720930232558,0.06954187874667528,-0.004979646067537757
0w,2,2011-05-25,2016-04-27,724,258,2,18,0.0630710181324756,0.05000727091442525,-0.0014737473336781104,0.5155038759689923,0.06304411815725827,-0.04266849311815868
0w,3,2016-05-04,2021-04-07,724,258,2,19,0.06530542919474602,0.05188579631356537,-7.629097448447197e-05,0.5426356589147286,0.0653057869051975,0.0005477469431580673
0w,4,2021-04-14,2026-04-01,774,260,1,13,0.07090837281587109,0.053958661287440236,-0.002150554685671713,0.49615384615384617,0.07083941755384829,-0.09734024418026621
1w,1,2006-06-14,2011-05-18,724,258,2,19,0.09669432509143334,0.07192007524907655,-0.005122171211040749,0.47674418604651164,0.09645388307648092,-0.24928184048511604
1w,2,2011-05-25,2016-04-27,723,258,2,19,0.08918492185955765,0.07158774391531005,-0.006276684736492566,0.4689922480620155,0.08898274732026659,-0.22720644774361087
1w,3,2016-05-04,2021-04-07,723,258,2,19,0.09995812215991191,0.07885770428465573,-6.321098225559041e-05,0.4728682170542636,0.09995675467935432,-0.00136807218480417
1w,4,2021-04-14,2026-04-01,773,260,2,19,0.11229467987094244,0.08716935010584533,-0.0010601808607182406,0.47692307692307695,0.1122569633208084,-0.033598405852353075
2w,1,2006-06-14,2011-05-18,723,258,3,19,0.1060072183470557,0.08134996861684471,-0.0040364031957922375,0.5038759689922481,0.10581451851186813,-0.18211095972238134
2w,2,2011-05-25,2016-04-27,721,258,2,19,0.10199277048395303,0.08051970592572565,-0.002803986375893075,0.5116279069767442,0.1020410844695855,0.04734758149975704
2w,3,2016-05-04,2021-04-07,721,258,2,19,0.11620135826594802,0.09275147978655679,-0.0030625959007184456,0.45348837209302323,0.1160239918554122,-0.15287046041032593
2w,4,2021-04-14,2026-03-25,772,259,5,410,0.13349656956622827,0.10604939440129797,0.004067033606941939,0.528957528957529,0.13382315464234726,0.24404227877590223
1m,1,2006-06-14,2011-05-11,722,257,1,2091,0.11359124250340247,0.08783278192992741,0.01608159548587662,0.5136186770428015,0.11456037553278423,0.8459583209941668
1m,2,2011-05-18,2016-04-13,718,257,5,2091,0.12350355894429038,0.09870731015034534,0.044974333387187815,0.5214007782101168,0.12676844544890084,2.5754725421213043
1m,3,2016-04-20,2021-03-17,718,257,5,2091,0.14526486737973673,0.11812523643944028,0.042310305652743074,0.5642023346303502,0.14844535086361774,2.1425281865533385
1m,4,2021-03-24,2026-03-11,767,260,6,2090,0.15813040747640553,0.12096407722509174,0.043196544016286254,0.5538461538461539,0.16179148201496624,2.2628351585419315
3m,1,2006-06-14,2011-04-27,715,255,1,1218,0.18982699117723914,0.14970445143356803,-0.01947129096082212,0.5294117647058824,0.18816135962775762,-0.8852144525191896
3m,2,2011-05-04,2016-03-16,702,255,3,19,0.20448327365357274,0.16879249838009328,-0.00582997195895274,0.5333333333333333,0.20694967824356006,1.1917895262850253
3m,3,2016-03-23,2021-02-03,702,255,1,880,0.22363979418176938,0.17862939805181524,0.020500422793548134,0.48627450980392156,0.2259961683277727,1.0426611050262435
3m,4,2021-02-10,2026-01-07,752,257,1,19,0.2915200267638631,0.24705704559660785,-0.0031272355402269802,0.5408560311284046,0.29177243218420984,0.08650763146373919
6m,1,2006-06-14,2011-04-06,705,252,1,2091,0.241297029803022,0.19248556949912646,-0.06594219820016312,0.5357142857142857,0.23379407724715986,-3.2092141273237784
6m,2,2011-04-13,2016-02-03,679,252,1,216,0.26430366959798857,0.21440062133825627,-0.05323369340539341,0.6349206349206349,0.26906202566881565,1.7684978246183536
6m,3,2016-02-10,2020-12-02,679,252,1,19,0.2444075420376951,0.19850727169371868,-0.03375980071477924,0.5079365079365079,0.2408591142273423,-1.4732379223995284
6m,4,2020-12-09,2025-10-08,730,253,1,19,0.3653792069437888,0.31400164096154376,-0.001870911561816735,0.5533596837944664,0.36790629802323216,0.6868844303621557
12m,1,2006-06-14,2011-02-16,686,245,1,19,0.2783997516069002,0.20657640903511046,-0.11608157652962947,0.5755102040816327,0.26357563717280674,-5.6242354540432915
12m,2,2011-02-23,2015-10-28,634,245,1,19,0.283416460233244,0.24234457161267436,-0.10943596210831652,0.6857142857142857,0.308414704332185,8.105399563574656
12m,3,2015-11-04,2020-07-08,634,245,1,16,0.2263337727518898,0.17984870975628206,-0.20085770097651046,0.45714285714285713,0.2082449125670786,-8.686339542141042
12m,4,2020-07-15,2025-04-09,683,248,1,1,0.2506964690234018,0.1947473521949734,-0.001946633112581031,0.6814516129032258,0.26380466797840196,4.968903338766295
