Horizon,Feature,Importance
1m,FWD 1m,22.899311
1m,Smolt Release 4m Monthly,8.044682
1m,∆ Total Biomass Monthly,4.5552363
1m,RVol 52w,4.449424
1m,FWD 6m,4.096135
1m,Month_11,3.7045078
1m,Harvest Intensity 3m Monthly,3.2941017
1m,Month_05,3.222497
1m,∆YOY Total Biomass Monthly,3.1686807
1m,Month_02,3.0046742
1m,Smolt Release 8m Monthly,2.9952726
1m,Harvest Intensity 1m Monthly,2.159925
1m,Soybean FWD Slope,1.7905216
1m,RVol 13w,1.6735274
1m,Month_08,1.6550914
1m,Smolt Release 9m Monthly,1.6357902
1m,Brent FWD Slope,1.5972857
1m,Lice Outbreak 3m,1.556234
1m,Loss Rate 6m Monthly,1.5256208
1m,Month_07,1.5050914
1m,FWD 12m,1.4275411
1m,Smolt Release 15m Monthly,1.4247993
1m,∆ Shrimp Price (Global) 1m Monthly,1.3609989
1m,Sea Temp,1.3200675
1m,ISA Outbreak 1m,1.2990592
1m,Avg Weight (KG) Monthly,1.2097228
1m,FWD 3m,1.1569923
1m,Month_03,1.1067989
1m,Month_10,1.0020952
1m,ISA Outbreak,0.96088314
1m,Smolt Release 12m Monthly,0.94171834
1m,Spread (FP - SSB),0.89977515
1m,NIBOR 3m,0.83368003
1m,Smolt Release 7m Monthly,0.8246867
1m,∆ Pig Price (EU) 12m,0.78729
1m,Month_06,0.7829276
1m,∆ Pig Price (EU) 1m,0.63742137
1m,ISA Outbreak 3m,0.56724626
1m,Brent FWD Curvature,0.45272535
1m,Soybean FWD Curvature,0.4454477
1m,RVol 4w,0.41588962
1m,∆ Spread (FP - SSB),0.36727265
1m,Loss Rate 3m Monthly,0.36702767
1m,FWD Curvature,0.3009465
1m,YOY Avg Weight (KG) Monthly,0.1935769
1m,Month_04,0.14258789
1m,Month_01,0.13357837
1m,Smolt Release 2m Monthly,0.103641
1m,∆ Fishmeal 1m Monthly,0.0
1m,∆ Pig Price (EU),0.0
1m,∆ Fishmeal 6m Monthly,0.0
1m,∆ Fishmeal 3m Monthly,0.0
1m,Month_09,0.0
1m,∆ Fishmeal 12m Monthly,0.0
1m,∆ FWD 6m,0.0
1m,∆ FWD 3m,0.0
1m,∆ FWD 12m,0.0
1m,∆ Export Volume 2w,0.0
1m,∆ Export Volume 1w,0.0
1m,∆ Export Volume 1m,0.0
1m,∆ FWD 1m,0.0
1m,∆ Pig Price (EU) 2w,0.0
1m,∆ Pig Price (EU) 1w,0.0
1m,∆ EURNOK 3m,0.0
1m,∆ Pig Price (EU) 3m,0.0
1m,∆ Pig Price (EU) 6m,0.0
1m,∆ Salmon (NOK/KG) 12m,0.0
1m,∆ Salmon (NOK/KG) 1m,0.0
1m,∆ Salmon (NOK/KG) 1w,0.0
1m,∆ Salmon (NOK/KG) 2w,0.0
1m,∆ Salmon (NOK/KG) 3m,0.0
1m,∆ Salmon (NOK/KG) 6m,0.0
1m,∆ Shrimp Price (Global) 12m Monthly,0.0
1m,CPI NO Monthly,0.0
1m,∆ Shrimp Price (Global) 3m Monthly,0.0
1m,∆ Shrimp Price (Global) 6m Monthly,0.0
1m,∆ EURNOK 6m,0.0
1m,∆ EURNOK,0.0
1m,∆ EURNOK 2w,0.0
1m,∆ EURNOK 1w,0.0
1m,Meat CPI (EU) Monthly,0.0
1m,Sea Temp 12m Avg,0.0
1m,Smolt Release 10m Monthly,0.0
1m,Smolt Release 11m Monthly,0.0
1m,Smolt Release 13m Monthly,0.0
1m,Smolt Release 14m Monthly,0.0
1m,Loss Rate 1m Monthly,0.0
1m,Smolt Release 16m Monthly,0.0
1m,Smolt Release 17m Monthly,0.0
1m,Smolt Release 18m Monthly,0.0
1m,Smolt Release 3m Monthly,0.0
1m,Lice Outbreak 1m,0.0
1m,Smolt Release 5m Monthly,0.0
1m,Smolt Release 6m Monthly,0.0
1m,Acc 1w,0.0
1m,Lice Outbreak,0.0
1m,FWD Slope,0.0
1m,∆ Broiler Price (EU) 12m,0.0
1m,∆ Broiler Price (EU) 1m,0.0
1m,∆ Broiler Price (EU) 1w,0.0
1m,∆ Broiler Price (EU) 2w,0.0
1m,∆ Broiler Price (EU) 3m,0.0
1m,∆ Broiler Price (EU) 6m,0.0
1m,∆ Chilean Exports 1m,0.0
1m,∆ Chilean Exports 1w,0.0
1m,∆ Chilean Exports 2w,0.0
1m,∆ Chilean Exports 3m,0.0
1m,∆ EURNOK 12m,0.0
1m,∆ EURNOK 1m,0.0
1m,Acc 1m,0.0
