Horizon,Feature,Importance
1w,FWD 1m,20.281013
1w,∆ Total Biomass Monthly,7.450122
1w,Soybean FWD Slope,4.572608
1w,∆ Export Volume 1m,4.502968
1w,∆ FWD 1m,4.117979
1w,Smolt Release 8m Monthly,3.7775006
1w,Harvest Intensity 3m Monthly,3.1605992
1w,Smolt Release 10m Monthly,2.7622893
1w,RVol 52w,2.5617352
1w,FWD Curvature,2.420147
1w,∆ Shrimp Price (Global) 6m Monthly,2.4000854
1w,∆ Shrimp Price (Global) 1m Monthly,2.3627625
1w,RVol 13w,2.2589972
1w,∆YOY Total Biomass Monthly,2.2426484
1w,∆ Shrimp Price (Global) 12m Monthly,2.1466978
1w,Acc 1w,2.1383526
1w,RVol 4w,2.039525
1w,∆ Export Volume 2w,1.8774034
1w,∆ Export Volume 1w,1.7353547
1w,Soybean FWD Curvature,1.5964456
1w,CPI NO Monthly,1.3095803
1w,FWD 6m,1.2899065
1w,Month_02,1.2516373
1w,Brent FWD Slope,1.2356256
1w,∆ Salmon (NOK/KG) 3m,1.1349835
1w,∆ FWD 12m,1.0774286
1w,Sea Temp,1.0745351
1w,Month_10,1.0606859
1w,∆ Spread (FP - SSB),1.0098367
1w,Month_01,0.92767406
1w,Month_09,0.8753754
1w,Brent FWD Curvature,0.82499176
1w,∆ Fishmeal 1m Monthly,0.7946151
1w,Lice Outbreak 3m,0.7944289
1w,YOY Avg Weight (KG) Monthly,0.7892054
1w,∆ Pig Price (EU) 1m,0.78205985
1w,Month_04,0.73730403
1w,Smolt Release 15m Monthly,0.7372156
1w,∆ Pig Price (EU) 12m,0.61213976
1w,ISA Outbreak,0.5808338
1w,Acc 1m,0.5485404
1w,ISA Outbreak 3m,0.5333348
1w,Avg Weight (KG) Monthly,0.5304658
1w,NIBOR 3m,0.4583981
1w,Harvest Intensity 1m Monthly,0.44907326
1w,Smolt Release 17m Monthly,0.44775882
1w,∆ Shrimp Price (Global) 3m Monthly,0.37595287
1w,Month_07,0.3627107
1w,Month_05,0.30492315
1w,Lice Outbreak,0.2899663
1w,Smolt Release 14m Monthly,0.21546033
1w,Smolt Release 13m Monthly,0.17811659
1w,Lice Outbreak 1m,0.0
1w,∆ Pig Price (EU),0.0
1w,∆ Fishmeal 6m Monthly,0.0
1w,∆ Fishmeal 3m Monthly,0.0
1w,∆ FWD 6m,0.0
1w,∆ Fishmeal 12m Monthly,0.0
1w,∆ FWD 3m,0.0
1w,∆ Pig Price (EU) 1w,0.0
1w,Loss Rate 1m Monthly,0.0
1w,Loss Rate 3m Monthly,0.0
1w,Loss Rate 6m Monthly,0.0
1w,Sea Temp 12m Avg,0.0
1w,∆ Salmon (NOK/KG) 12m,0.0
1w,∆ Pig Price (EU) 2w,0.0
1w,∆ Pig Price (EU) 3m,0.0
1w,∆ Pig Price (EU) 6m,0.0
1w,Month_03,0.0
1w,∆ Salmon (NOK/KG) 1m,0.0
1w,∆ Salmon (NOK/KG) 1w,0.0
1w,∆ Salmon (NOK/KG) 2w,0.0
1w,ISA Outbreak 1m,0.0
1w,∆ Salmon (NOK/KG) 6m,0.0
1w,FWD Slope,0.0
1w,FWD 3m,0.0
1w,FWD 12m,0.0
1w,Meat CPI (EU) Monthly,0.0
1w,∆ EURNOK 1w,0.0
1w,∆ EURNOK 6m,0.0
1w,∆ Broiler Price (EU) 12m,0.0
1w,Smolt Release 12m Monthly,0.0
1w,Smolt Release 16m Monthly,0.0
1w,Smolt Release 18m Monthly,0.0
1w,Smolt Release 2m Monthly,0.0
1w,Smolt Release 3m Monthly,0.0
1w,Smolt Release 4m Monthly,0.0
1w,Smolt Release 5m Monthly,0.0
1w,Smolt Release 6m Monthly,0.0
1w,Month_11,0.0
1w,Month_08,0.0
1w,Smolt Release 9m Monthly,0.0
1w,Month_06,0.0
1w,Spread (FP - SSB),0.0
1w,∆ Broiler Price (EU) 1m,0.0
1w,∆ EURNOK 3m,0.0
1w,∆ Broiler Price (EU) 1w,0.0
1w,∆ Broiler Price (EU) 2w,0.0
1w,∆ Broiler Price (EU) 3m,0.0
1w,∆ Broiler Price (EU) 6m,0.0
1w,∆ Chilean Exports 1m,0.0
1w,∆ Chilean Exports 1w,0.0
1w,∆ Chilean Exports 2w,0.0
1w,∆ Chilean Exports 3m,0.0
1w,∆ EURNOK,0.0
1w,∆ EURNOK 12m,0.0
1w,∆ EURNOK 1m,0.0
1w,Smolt Release 11m Monthly,0.0
1w,∆ EURNOK 2w,0.0
1w,Smolt Release 7m Monthly,0.0
