Horizon,Fold,Test Start,Test End,n_train,n_test,depth,ntrees,RMSE,MAE,R2,Hit,RW RMSE,Skill%
0w,1,2006-06-14,2011-05-18,724,258,5,31,0.05938631811607937,0.03862052419164614,0.2707264658616997,0.7364341085271318,0.06954187874667528,14.603517784715347
0w,2,2011-05-25,2016-04-27,724,258,3,21,0.05535489090562919,0.04358017079891622,0.228578241776901,0.6201550387596899,0.06304411815725827,12.19658149940166
0w,3,2016-05-04,2021-04-07,724,258,6,78,0.05777717343531941,0.045528619403569656,0.21720663027511045,0.6627906976744186,0.0653057869051975,11.528248608055458
0w,4,2021-04-14,2026-04-01,774,260,5,59,0.059193636511748096,0.04682138411567728,0.3016261407858146,0.6961538461538461,0.07083941755384829,16.439690562457976
1w,1,2006-06-14,2011-05-18,724,258,4,76,0.07906549516564582,0.05799317480281172,0.3279665810292943,0.7015503875968992,0.09645388307648092,18.02767017378386
1w,2,2011-05-25,2016-04-27,723,258,3,38,0.07805056522246615,0.0626045638075335,0.22929772152799077,0.6472868217054264,0.08898274732026659,12.285732264989925
1w,3,2016-05-04,2021-04-07,723,258,3,44,0.08567787628625845,0.06809297398191101,0.26526849971975697,0.6821705426356589,0.09995675467935432,14.285056011372399
1w,4,2021-04-14,2026-04-01,773,260,1,136,0.09547028664352421,0.07429735017518187,0.2764337906802071,0.6653846153846154,0.1122569633208084,14.953795453482165
2w,1,2006-06-14,2011-05-18,723,258,3,54,0.09178173914726567,0.0689755245815976,0.24735332490975714,0.6937984496124031,0.10581451851186813,13.261676716913417
2w,2,2011-05-25,2016-04-27,721,258,3,51,0.0873703902171456,0.06971576245117943,0.2641219910265593,0.6666666666666666,0.1020410844695855,14.377242586845174
2w,3,2016-05-04,2021-04-07,721,258,3,103,0.09968909692236257,0.07949116242750551,0.26175425853532686,0.6821705426356589,0.1160239918554122,14.078894090634286
2w,4,2021-04-14,2026-03-25,772,259,3,72,0.11067818832413977,0.08680100516436301,0.31543612125744525,0.694980694980695,0.13382315464234726,17.29518810109073
1m,1,2006-06-14,2011-05-11,722,257,6,65,0.10143649279710877,0.07858730702106875,0.21538278246665377,0.6498054474708171,0.11456037553278423,11.455865673135591
1m,2,2011-05-18,2016-04-13,718,257,2,230,0.1039623870422039,0.083151415209537,0.3232806676064476,0.7042801556420234,0.12676844544890084,17.990327424098496
1m,3,2016-04-20,2021-03-17,718,257,3,56,0.1227559129734935,0.10092014303404902,0.3161065073139946,0.7042801556420234,0.14844535086361774,17.305653387370867
1m,4,2021-03-24,2026-03-11,767,260,1,49,0.1335721408630084,0.09953885154758753,0.3173097053287858,0.7461538461538462,0.16179148201496624,17.441796564634636
3m,1,2006-06-14,2011-04-27,715,255,1,77,0.16265404819352175,0.1274249603037827,0.25150513479985037,0.6823529411764706,0.18816135962775762,13.556083717027434
3m,2,2011-05-04,2016-03-16,702,255,4,1569,0.1739253882647971,0.14039937580903286,0.272329184556672,0.6862745098039216,0.20694967824356006,15.957642582027365
3m,3,2016-03-23,2021-02-03,702,255,7,69,0.16490013370574397,0.13692672029876263,0.46746506831732515,0.7647058823529411,0.2259961683277727,27.034101982392166
3m,4,2021-02-10,2026-01-07,752,257,2,113,0.23076098001788498,0.18617716528338255,0.3714439933216791,0.7665369649805448,0.29177243218420984,20.910629462006693
6m,1,2006-06-14,2011-04-06,705,252,3,2091,0.18718929617619046,0.15092786195552424,0.35850728930343134,0.7341269841269841,0.23379407724715986,19.93411536328197
6m,2,2011-04-13,2016-02-03,679,252,4,87,0.20470896843061392,0.16158923998221042,0.36818184984653546,0.7619047619047619,0.26906202566881565,23.917554726735357
6m,3,2016-02-10,2020-12-02,679,252,4,306,0.17053701777793745,0.14036082534111802,0.49669903705775675,0.7738095238095238,0.2408591142273423,29.196360982640325
6m,4,2020-12-09,2025-10-08,730,253,2,174,0.2689982008043402,0.2229565970382971,0.45697120391588253,0.8695652173913043,0.36790629802323216,26.8840456796546
12m,1,2006-06-14,2011-02-16,686,245,4,29,0.266502530555881,0.19630893841422578,-0.022729838096580135,0.5755102040816327,0.26357563717280674,-1.1104567229615947
12m,2,2011-02-23,2015-10-28,634,245,2,12,0.25415472195201644,0.21885059171946647,0.10782825307200228,0.726530612244898,0.308414704332185,17.593189176131695
12m,3,2015-11-04,2020-07-08,634,245,7,9,0.2359869423858241,0.18475151709980167,-0.30547562872315037,0.4489795918367347,0.2082449125670786,-13.321828359100675
12m,4,2020-07-15,2025-04-09,683,248,6,8,0.25902170119088924,0.2087643584611033,-0.06959769611000688,0.6532258064516129,0.26380466797840196,1.8130713243877494
