Horizon,Feature,Importance
2w,FWD 1m,20.910854
2w,∆ Total Biomass Monthly,9.896577
2w,FWD 12m,8.702889
2w,∆ Shrimp Price (Global) 6m Monthly,7.903833
2w,∆YOY Total Biomass Monthly,7.6422477
2w,Smolt Release 10m Monthly,6.4118457
2w,RVol 52w,6.2104053
2w,Brent FWD Slope,6.1520057
2w,Smolt Release 8m Monthly,5.3807554
2w,ISA Outbreak,4.3067985
2w,Smolt Release 4m Monthly,3.7750714
2w,Soybean FWD Slope,3.2680337
2w,∆ Shrimp Price (Global) 1m Monthly,3.018612
2w,∆ Export Volume 2w,2.8898337
2w,ISA Outbreak 3m,1.7741005
2w,Month_02,1.7561336
2w,∆ EURNOK 12m,0.0
2w,∆ EURNOK 6m,0.0
2w,∆ EURNOK 3m,0.0
2w,∆ EURNOK 1m,0.0
2w,∆ EURNOK 2w,0.0
2w,ISA Outbreak 1m,0.0
2w,∆ EURNOK 1w,0.0
2w,∆ EURNOK,0.0
2w,Smolt Release 12m Monthly,0.0
2w,Smolt Release 18m Monthly,0.0
2w,Smolt Release 17m Monthly,0.0
2w,Smolt Release 16m Monthly,0.0
2w,Smolt Release 15m Monthly,0.0
2w,Smolt Release 14m Monthly,0.0
2w,Smolt Release 13m Monthly,0.0
2w,NIBOR 3m,0.0
2w,CPI NO Monthly,0.0
2w,Brent FWD Curvature,0.0
2w,∆ Shrimp Price (Global) 3m Monthly,0.0
2w,Month_03,0.0
2w,Month_10,0.0
2w,Month_09,0.0
2w,Month_08,0.0
2w,Month_07,0.0
2w,Month_06,0.0
2w,Month_05,0.0
2w,Month_04,0.0
2w,Month_01,0.0
2w,∆ Shrimp Price (Global) 12m Monthly,0.0
2w,Soybean FWD Curvature,0.0
2w,Smolt Release 9m Monthly,0.0
2w,∆ Fishmeal 12m Monthly,0.0
2w,∆ Fishmeal 6m Monthly,0.0
2w,∆ Fishmeal 3m Monthly,0.0
2w,∆ Fishmeal 1m Monthly,0.0
2w,Meat CPI (EU) Monthly,0.0
2w,Smolt Release 11m Monthly,0.0
2w,Loss Rate 1m Monthly,0.0
2w,Smolt Release 7m Monthly,0.0
2w,RVol 4w,0.0
2w,FWD 6m,0.0
2w,∆ FWD 3m,0.0
2w,FWD 3m,0.0
2w,∆ FWD 1m,0.0
2w,∆ Spread (FP - SSB),0.0
2w,Spread (FP - SSB),0.0
2w,RVol 13w,0.0
2w,Acc 1m,0.0
2w,Smolt Release 6m Monthly,0.0
2w,Acc 1w,0.0
2w,∆ Salmon (NOK/KG) 12m,0.0
2w,∆ Salmon (NOK/KG) 6m,0.0
2w,∆ Salmon (NOK/KG) 3m,0.0
2w,∆ Salmon (NOK/KG) 1m,0.0
2w,∆ Salmon (NOK/KG) 2w,0.0
2w,∆ Salmon (NOK/KG) 1w,0.0
2w,∆ FWD 6m,0.0
2w,∆ FWD 12m,0.0
2w,FWD Slope,0.0
2w,FWD Curvature,0.0
2w,Smolt Release 5m Monthly,0.0
2w,Smolt Release 3m Monthly,0.0
2w,Smolt Release 2m Monthly,0.0
2w,Loss Rate 6m Monthly,0.0
2w,Loss Rate 3m Monthly,0.0
2w,Harvest Intensity 3m Monthly,0.0
2w,Harvest Intensity 1m Monthly,0.0
2w,YOY Avg Weight (KG) Monthly,0.0
2w,Avg Weight (KG) Monthly,0.0
2w,∆ Chilean Exports 3m,0.0
2w,∆ Chilean Exports 1m,0.0
2w,∆ Chilean Exports 2w,0.0
2w,∆ Chilean Exports 1w,0.0
2w,∆ Export Volume 1m,0.0
2w,∆ Export Volume 1w,0.0
2w,Month_11,0.0
