Horizon,Fold,Test Start,Test End,n_train,n_test,n_dropped,RMSE,MAE,R2,Hit,RW RMSE,Skill%
0w,1,2006-06-14,2011-05-18,724,0,258,,,,,,
0w,2,2011-05-25,2016-04-27,724,69,189,0.05186130866254392,0.04279352915346513,0.2818815003471721,0.6811594202898551,0.06131588698862267,15.419459442596128
0w,3,2016-05-04,2021-04-07,724,258,0,0.058875967840047456,0.046356826681056576,0.18714950559841736,0.6434108527131783,0.0653057869051975,9.84571103091374
0w,4,2021-04-14,2026-04-01,774,219,41,0.0640321252181162,0.05051407983272759,0.21630226967461574,0.6575342465753424,0.07240500015573115,11.563945749059156
1w,1,2006-06-14,2011-05-18,724,0,258,,,,,,
1w,2,2011-05-25,2016-04-27,723,69,189,0.07481807228217864,0.05966582345071534,0.3141864743117361,0.7101449275362319,0.09069504854307243,17.50589091239483
1w,3,2016-05-04,2021-04-07,723,258,0,0.0882618486546593,0.07025285745100442,0.22028244387868678,0.6589147286821705,0.09995675467935432,11.699965712382765
1w,4,2021-04-14,2026-04-01,773,219,41,0.0988139915083142,0.07706900222694786,0.24319814288904795,0.6621004566210046,0.11375946284644453,13.137782971342016
2w,1,2006-06-14,2011-05-18,723,0,258,,,,,,
2w,2,2011-05-25,2016-04-27,721,69,189,0.08616125113455245,0.06992029399396085,0.24184267268985993,0.6666666666666666,0.09987772661178188,13.733267608847832
2w,3,2016-05-04,2021-04-07,721,258,0,0.10153551189848384,0.08139828854596694,0.23415381680847946,0.689922480620155,0.1160239918554122,12.487486187325592
2w,4,2021-04-14,2026-03-25,772,218,41,0.1146370185126782,0.09108867354253589,0.2653704936332828,0.6559633027522935,0.1340913505490649,14.508267652407781
1m,1,2006-06-14,2011-05-11,722,0,257,,,,,,
1m,2,2011-05-18,2016-04-13,718,67,190,0.09398130660642631,0.07827556169527908,0.25992670049704536,0.6268656716417911,0.11204086577695503,16.118725114531628
1m,3,2016-04-20,2021-03-17,718,257,0,0.12363400225216992,0.10156420072128103,0.3062875531481214,0.6848249027237354,0.14844535086361774,16.71412979059407
1m,4,2021-03-24,2026-03-11,767,219,41,0.13139225467028567,0.09972605462096945,0.32089490179165814,0.7442922374429224,0.16023378386457482,17.999655564937044
3m,1,2006-06-14,2011-04-27,715,0,255,,,,,,
3m,2,2011-05-04,2016-03-16,702,63,192,0.18920652628892773,0.16276431674718805,-0.3620343569349844,0.5714285714285714,0.18774281661005907,-0.7796355169789493
3m,3,2016-03-23,2021-02-03,702,255,0,0.1662153157269225,0.14212204924918845,0.4589365930709445,0.7568627450980392,0.2259961683277727,26.452153168432158
3m,4,2021-02-10,2026-01-07,752,216,41,0.20449151896649836,0.16586976273126572,0.46189501620141715,0.7592592592592593,0.28155742823687296,27.371293221764837
6m,1,2006-06-14,2011-04-06,705,0,252,,,,,,
6m,2,2011-04-13,2016-02-03,679,57,195,0.2529371196141862,0.21863626432296485,-1.1727158744933512,0.6140350877192983,0.277980340864372,9.008990050272846
6m,3,2016-02-10,2020-12-02,679,252,0,0.17159090953927036,0.13929537368025918,0.4904591752883035,0.7658730158730159,0.2408591142273423,28.75880570692916
6m,4,2020-12-09,2025-10-08,730,212,41,0.2376385838982614,0.17944465917192465,0.5572624569793198,0.8679245283018868,0.3665956713148316,35.17692583604517
12m,1,2006-06-14,2011-02-16,686,0,245,,,,,,
12m,2,2011-02-23,2015-10-28,634,43,202,0.39623751511939553,0.3746798429422939,-8.447164879104685,1.0,0.4302689437102684,7.909338818975686
12m,3,2015-11-04,2020-07-08,634,245,0,0.2093292773324125,0.16754756321579364,-0.027194700950682105,0.46530612244897956,0.2082449125670786,-0.5207160895153162
12m,4,2020-07-15,2025-04-09,683,207,41,0.210322836473113,0.16472305918957209,-0.052596575247805255,0.7777777777777778,0.2527093879013296,16.77284400877359
