Horizon,Fold,Test Start,Test End,n_train,n_test,RMSE,MAE,R2,Hit,RW RMSE,Skill%
1m,1,2006-06-14,2011-05-11,722,257,0.09787328721221168,0.07666010638391844,0.269537821644924,0.6498054474708171,0.11456037553278423,14.566195547951155
1m,2,2011-05-18,2016-04-13,718,257,0.10453447926236649,0.08360268405793084,0.31581236903493237,0.6770428015564203,0.12676844544890084,17.53903828969541
1m,3,2016-04-20,2021-03-17,718,257,0.12611288606144364,0.10404804659501833,0.2781905573226934,0.6809338521400778,0.14844535086361774,15.044233229433889
1m,4,2021-03-24,2026-03-11,767,260,0.13229335105356754,0.09925681891768519,0.3303189803103246,0.7038461538461539,0.16179148201496624,18.23219034403184
3m,1,2006-06-14,2011-04-27,714,255,0.15711998329233356,0.12257562407765782,0.3015715518157901,0.6862745098039216,0.18816135962775762,16.49721090283025
3m,2,2011-05-04,2016-03-16,701,255,0.17139115085019296,0.13929766251767156,0.2933802301587072,0.6941176470588235,0.20694967824356006,17.18220955701033
3m,3,2016-03-23,2021-02-03,701,255,0.16533722640154408,0.13666612703012482,0.46463819830982944,0.7686274509803922,0.2259961683277727,26.84069485561018
3m,4,2021-02-10,2026-01-07,752,256,0.20371669059586367,0.1596310056199397,0.5064446596664034,0.78125,0.2905546557256808,29.88696392179061
6m,1,2006-06-14,2011-04-06,691,252,0.18288480151245232,0.14405076801526775,0.3876708512182212,0.7222222222222222,0.23379407724715986,21.775263229139817
6m,2,2011-04-13,2016-02-03,665,252,0.21545413234334027,0.17295736305171355,0.3001128589432731,0.7579365079365079,0.26906202566881565,19.923990831564065
6m,3,2016-02-10,2020-12-02,665,252,0.16250631166121138,0.1333259576339025,0.5429845313354887,0.8174603174603174,0.2408591142273423,32.53055331432266
6m,4,2020-12-09,2025-10-08,730,239,0.22986945504600076,0.16268014745169632,0.6213111976617617,0.895397489539749,0.3754787593347157,38.7796381735973
12m,1,2006-06-14,2011-02-16,646,245,0.2483222033772545,0.18888614894900868,0.11204826839336757,0.636734693877551,0.26357563717280674,5.787118247788481
12m,2,2011-02-23,2015-10-28,594,245,0.24413550831932837,0.20002455668703054,0.17678362564242434,0.8,0.308414704332185,20.841806538388408
12m,3,2015-11-04,2020-07-08,594,245,0.21142784351447874,0.17009377724197158,-0.04789358666841359,0.5918367346938775,0.2082449125670786,-1.5284555613692907
12m,4,2020-07-15,2025-04-09,683,208,0.22228556945035982,0.1829275343216137,-0.17894995823708904,0.7163461538461539,0.25210265256743264,11.827357948602824
