Horizon,Model,RMSE,MAE,R²,Skill vs RW (%),Hit (%),DM p
0w,HTBoost,0.06,0.0472,0.295,16.0,66.7,<0.001
0w,Lasso,0.0632,0.049,0.217,11.5,65.8,<0.001
0w,CatBoost,0.065,0.0503,0.171,9.0,61.3,<0.001
0w,SARIMA,0.0673,0.0507,0.11,5.7,61.7,<0.001
1w,HTBoost,0.0994,0.0768,0.241,12.9,64.4,<0.001
1w,Lasso,0.0996,0.0761,0.238,12.7,65.8,<0.001
1w,CatBoost,0.1008,0.0775,0.219,11.6,66.7,<0.001
1w,SARIMA,0.1105,0.0845,0.063,3.2,57.2,0.033
2w,HTBoost,0.116,0.0901,0.289,15.7,66.5,<0.001
2w,Lasso,0.1183,0.0916,0.259,14.0,67.4,<0.001
2w,CatBoost,0.1205,0.094,0.233,12.4,66.5,<0.001
2w,SARIMA,0.1321,0.1031,0.077,3.9,66.1,0.005
1m,CatBoost,0.1394,0.108,0.315,17.3,70.3,<0.001
1m,OLS,0.1398,0.1059,0.312,17.1,67.1,<0.001
1m,HTBoost,0.1411,0.1051,0.299,16.3,72.1,<0.001
1m,Lasso,0.1415,0.1054,0.295,16.1,71.2,<0.001
1m,SARIMA,0.1611,0.1247,0.087,4.5,61.2,<0.001
3m,OLS,0.2179,0.1726,0.48,27.9,75.2,0.005
3m,Lasso,0.2299,0.1865,0.422,24.0,75.2,<0.001
3m,HTBoost,0.2347,0.1888,0.397,22.4,75.7,<0.001
3m,CatBoost,0.2567,0.209,0.279,15.1,72.4,<0.001
3m,SARIMA,0.2743,0.2332,0.176,9.3,77.6,<0.001
6m,OLS,0.2234,0.1609,0.619,38.3,87.8,0.009
6m,Lasso,0.2334,0.189,0.584,35.6,85.8,<0.001
6m,HTBoost,0.2395,0.198,0.563,33.9,87.3,<0.001
6m,CatBoost,0.2892,0.2426,0.362,20.2,74.6,0.008
6m,SARIMA,0.318,0.2755,0.229,12.2,82.7,<0.001
12m,CatBoost,0.191,0.1511,0.192,10.4,70.2,0.090
12m,HTBoost,0.2054,0.1592,0.066,3.7,64.3,0.308
12m,SARIMA,0.208,0.1633,0.042,2.5,53.2,0.293
12m,Lasso,0.2204,0.1668,-0.075,-3.3,51.5,0.657
12m,OLS,0.2594,0.213,-0.49,-21.6,46.8,0.988
