Category,Variable,Definition,Publication Lag,Transformation
Price Dynamics,∆ Salmon (NOK/KG) 1w–12m,Lagged spot log-return (momentum),1 week,"MA_k of weekly Δln spot, lag 1w; k∈{1,2,4,13,26,52}"
Price Dynamics,Acc 1w,Weekly return acceleration,1 week,r(t-1) − r(t-2)
Price Dynamics,Acc 1m,Monthly return acceleration,1 week,MA4(r) ending t-1 − MA4(r) ending t-5
Price Dynamics,RVol 4w/13w/52w,Realized volatility,1 week,"Rolling std of weekly Δln spot over 4/13/52 weeks, lag 1w"
Price Dynamics,Spread (FP − SSB),FishPool–SSB price spread,1 week,"(FP spot − SSB spot), lag 1w"
Price Dynamics,∆ Spread (FP − SSB),Weekly change in spread,1 week,"First difference of the spread, lag 1w"
Biological Supply Fundamentals,∆ Total Biomass Monthly,Month-over-month change in national biomass,~20 d after month-end,MoM Δln of standing biomass (kg)
Biological Supply Fundamentals,∆YOY Total Biomass Monthly,Year-over-year change in biomass,~20 d after month-end,ln(B_t) − ln(B_{t−52w})
Biological Supply Fundamentals,Avg Weight (KG) Monthly,Mean fish weight,~20 d after month-end,Biomass (kg) ÷ fish stock
Biological Supply Fundamentals,YOY Avg Weight (KG) Monthly,YoY change in mean weight,~20 d after month-end,YoY Δln of average weight
Biological Supply Fundamentals,Harvest Intensity 1m/3m Monthly,Harvest relative to biomass,~20 d after month-end,Harvest (kg) ÷ biomass (kg); 3m = 13-week MA
Biological Supply Fundamentals,Loss Rate 1m/3m/6m Monthly,Biological loss relative to stock,~20 d after month-end,"(mortality+discard+escape+other loss, N) ÷ stock; 3m=13w MA, 6m=26w MA"
Biological Supply Fundamentals,Smolt Release 2m–18m Monthly,Smolt stocked m months earlier (supply pipeline),~20 d after month-end,"ln(smolt releases) shifted m months, m=2,…,18"
Biological Supply Fundamentals,ISA Outbreak / 1m / 3m,Active ISA-infected localities,1 week,"Level; 1m = 4-week MA, 3m = 13-week MA"
Biological Supply Fundamentals,Lice Outbreak / 1m / 3m,Average adult female lice per fish,1 week,"Level; 1m = 4-week MA, 3m = 13-week MA"
Biological Supply Fundamentals,Sea Temp / 12m Avg,Sea temperature,1 week,Level; 12m = 52-week MA
Export Flows,∆ Export Volume 1w/2w/1m,Norwegian export-volume change,1 week,"MA_k of weekly Δln export tons, lag 1w; k∈{1,2,4}"
Export Flows,∆ Chilean Exports 1w/2w/1m/3m,Chilean (competitor) export change,1 week,"MA_k of weekly Δln Chilean volume, lag 1w; k∈{1,2,4,13}"
Protein Substitutes,∆ Shrimp Price (Global) 1m–12m Monthly,Shrimp substitute price change,~4 weeks (month-end),"Monthly Δln; 1m level, 3/6/12-month MA"
Protein Substitutes,∆ Broiler Price (EU) 1w–12m,Broiler substitute price change,Same week (0),"Weekly Δln (contemporaneous); 1w level, MA over 2/4/13/26/52 weeks"
Protein Substitutes,∆ Pig Price (EU) /1w–12m,Pork substitute price change,Same week (0),"Weekly Δln (contemporaneous); level, MA over 2/3/5/14/27/53 weeks"
Protein Substitutes,Meat CPI (EU) Monthly,EU meat consumer-price inflation,~10 d after month-end,"EU meat HICP, YoY % (level)"
Monetary & Currency Conditions,∆ EURNOK /1w–12m,EUR/NOK exchange-rate change,Same week (0),"Weekly Δln; level + MA over 1/2/4/13/26/52 weeks, lag 1w"
Monetary & Currency Conditions,CPI NO Monthly,Norway consumer-price inflation,~10 d after month-end,"Norway CPI, YoY % (level)"
Monetary & Currency Conditions,NIBOR 3m,3-month Norwegian interbank rate,Same week (0),Level
Seasonality,Month_01 … Month_11,Calendar-month dummies,None (deterministic),"Indicator = 1 if month = m, for Jan–Nov (December = reference)"
Forward Basis,FWD 1m/3m/6m/12m,Salmon forward basis (market expectations vs spot),Same week (0),"ln(F_t^τ / S_{t−1}), τ∈{1,3,6,12} months"
Forward Basis,∆ FWD 1m–12m,Weekly change in forward basis,Same week (0),First difference of each basis
Forward Basis,FWD Slope,Salmon curve slope (tilting),Same week (0),ln(F^12) − ln(F^1)
Forward Basis,FWD Curvature,Salmon curve curvature (bending),Same week (0),ln(F^1) − 2·ln(F^6) + ln(F^12)
Production Input Costs,Brent FWD Slope,Energy curve slope (tilting),Same week (0),ln(C^12 / C^1)
Production Input Costs,Brent FWD Curvature,Energy curve curvature (bending),Same week (0),ln(C^1) − 2·ln(C^6) + ln(C^12)
Production Input Costs,Soybean FWD Slope,Feed (soybean meal) curve slope (tilting),Same week (0),ln(C^12 / C^1)
Production Input Costs,Soybean FWD Curvature,Feed curve curvature (bending),Same week (0),ln(C^1) − 2·ln(C^6) + ln(C^12)
Production Input Costs,∆ Fishmeal 1m–12m Monthly,Fishmeal (feed input) price change,~4 weeks (month-end),"Monthly Δln; 1m level, 3/6/12-month MA"
